Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,16:45:00,1.01,1.01,0.99,0.99,54146,0
2015-02-03,16:50:00,0.99,1.0,0.98,0.99,61526,0
2015-02-03,16:55:00,0.99,0.99,0.98,0.99,34003,0
2015-02-03,17:00:00,0.99,1.0,0.99,0.99,22187,0
2015-02-03,17:05:00,0.99,0.99,0.98,0.98,10498,0
2015-02-03,17:10:00,0.98,0.99,0.98,0.99,14035,0
2015-02-03,17:15:00,0.99,1.0,0.98,1.0,27881,0
2015-02-03,17:20:00,1.0,1.0,0.99,0.99,16900,0
2015-02-03,17:25:00,1.0,1.0,0.99,0.99,8585,0
2015-02-03,17:30:00,0.99,1.0,0.99,0.99,8060,0
2015-02-03,17:35:00,1.0,1.0,0.99,1.0,6655,0
2015-02-03,17:40:00,0.99,1.0,0.99,1.0,23979,0
2015-02-03,17:45:00,1.0,1.0,0.99,1.0,9420,0
2015-02-03,17:50:00,0.99,1.0,0.99,0.99,40558,0
2015-02-03,17:55:00,0.99,0.99,0.98,0.99,10997,0
2015-02-03,18:00:00,0.99,0.99,0.98,0.99,5300,0
2015-02-03,18:05:00,0.99,0.99,0.98,0.99,16018,0
2015-02-03,18:10:00,0.99,0.99,0.98,0.98,26100,0
2015-02-03,18:15:00,0.99,0.99,0.98,0.98,8600,0
2015-02-03,18:20:00,0.98,0.99,0.98,0.99,3593,0
2015-02-03,18:25:00,0.99,0.99,0.97,0.97,29969,0
2015-02-03,18:30:00,0.98,0.98,0.98,0.98,7232,0
2015-02-03,18:35:00,0.99,0.99,0.99,0.99,1950,0
2015-02-03,18:40:00,0.99,0.99,0.99,0.99,22700,0
2015-02-03,18:45:00,0.99,0.99,0.99,0.99,7644,0
2015-02-03,18:50:00,0.99,0.99,0.99,0.99,19600,0
2015-02-03,18:55:00,0.99,0.99,0.99,0.99,10578,0
2015-02-03,19:00:00,0.99,1.0,0.99,1.0,8299,0
2015-02-03,19:05:00,1.0,1.0,0.99,1.0,47100,0
2015-02-03,19:10:00,1.0,1.0,1.0,1.0,12100,0
2015-02-03,19:15:00,1.0,1.0,1.0,1.0,32407,0
2015-02-03,19:20:00,1.0,1.01,1.0,1.01,194657,0
2015-02-03,19:25:00,1.01,1.01,1.0,1.01,27434,0
2015-02-03,19:30:00,1.01,1.01,1.0,1.01,44356,0
2015-02-03,19:35:00,1.01,1.01,1.0,1.0,38807,0
2015-02-03,19:40:00,1.01,1.01,1.01,1.01,32132,0
2015-02-03,19:45:00,1.01,1.01,1.0,1.01,23376,0
2015-02-03,19:50:00,1.01,1.01,1.0,1.01,9271,0
2015-02-03,19:55:00,1.01,1.03,1.01,1.02,76596,0
2015-02-03,20:00:00,1.02,1.02,1.01,1.02,33230,0
2015-02-03,20:05:00,1.01,1.03,1.01,1.03,52155,0
2015-02-03,20:10:00,1.03,1.04,1.02,1.02,29358,0
2015-02-03,20:15:00,1.02,1.02,1.01,1.01,22366,0
2015-02-03,20:20:00,1.01,1.02,1.01,1.01,30049,0
2015-02-03,20:25:00,1.01,1.02,1.01,1.02,58958,0
2015-02-03,20:30:00,1.02,1.04,1.02,1.02,69137,0
2015-02-03,20:35:00,1.02,1.03,1.02,1.02,34600,0
2015-02-03,20:40:00,1.02,1.02,1.01,1.01,27440,0
2015-02-03,20:45:00,1.01,1.02,1.01,1.02,20937,0
2015-02-03,20:50:00,1.02,1.04,1.02,1.04,43300,0
2015-02-03,20:55:00,1.03,1.04,1.02,1.02,8650,0
2015-02-03,21:00:00,1.02,1.03,1.02,1.02,41333,0
2015-02-03,21:05:00,1.03,1.03,1.01,1.01,43580,0
