Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-30,19:10:00,11.11,11.11,11.11,11.11,200,0
2015-01-30,19:15:00,11.13,11.13,11.13,11.13,1107,0
2015-01-30,19:40:00,11.15,11.15,11.14,11.14,668,0
2015-01-30,19:50:00,11.16,11.16,11.16,11.16,1669,0
2015-01-30,19:55:00,11.16,11.16,11.16,11.16,200,0
2015-01-30,20:00:00,11.17,11.2,11.17,11.17,4642,0
2015-01-30,20:05:00,11.18,11.18,11.18,11.18,1459,0
2015-01-30,20:10:00,11.18,11.18,11.18,11.18,300,0
2015-01-30,20:20:00,11.22,11.3,11.22,11.3,24530,0
2015-01-30,20:25:00,11.3,11.3,11.3,11.3,369,0
2015-01-30,20:30:00,11.3,11.53,11.3,11.53,16609,0
2015-01-30,20:35:00,11.52,11.52,11.45,11.45,3692,0
2015-01-30,20:45:00,11.42,11.42,11.4,11.4,369,0
2015-01-30,20:50:00,11.38,11.38,11.38,11.38,1026,0
2015-01-30,21:10:00,11.38,11.38,11.38,11.38,200,0
2015-01-30,21:15:00,11.37,11.37,11.37,11.37,1400,0
2015-01-30,21:20:00,11.38,11.38,11.38,11.38,223,0
2015-01-30,21:25:00,11.35,11.37,11.35,11.37,273,0
2015-01-30,21:30:00,11.36,11.37,11.36,11.37,500,0
2015-01-30,21:40:00,11.36,11.37,11.35,11.36,10811,0
2015-01-30,21:45:00,11.35,11.35,11.32,11.33,10900,0
2015-01-30,21:50:00,11.33,11.35,11.31,11.31,16509,0
2015-01-30,21:55:00,11.31,11.31,11.26,11.28,21836,0
2015-01-30,22:00:00,11.28,11.36,11.22,11.24,68514,0
2015-02-02,15:35:00,11.32,11.32,11.22,11.29,8492,0
2015-02-02,15:40:00,11.25,11.33,11.25,11.28,2100,0
2015-02-02,15:45:00,11.3,11.34,11.3,11.3,1219,0
2015-02-02,15:50:00,11.33,11.33,11.33,11.33,300,0
2015-02-02,15:55:00,11.32,11.32,11.31,11.32,1382,0
2015-02-02,16:00:00,11.29,11.29,11.28,11.28,200,0
2015-02-02,16:05:00,11.29,11.29,11.29,11.29,200,0
2015-02-02,16:10:00,11.23,11.23,11.23,11.23,752,0
2015-02-02,16:20:00,11.24,11.28,11.24,11.28,12276,0
2015-02-02,16:25:00,11.21,11.21,11.2,11.2,1925,0
2015-02-02,16:30:00,11.21,11.21,11.21,11.21,400,0
2015-02-02,16:35:00,11.2,11.2,11.17,11.18,1100,0
2015-02-02,16:45:00,11.23,11.23,11.21,11.21,2616,0
2015-02-02,17:15:00,11.17,11.17,11.17,11.17,200,0
2015-02-02,17:20:00,11.19,11.19,11.19,11.19,7700,0
2015-02-02,17:25:00,11.2,11.2,11.2,11.2,246,0
2015-02-02,17:30:00,11.2,11.26,11.2,11.26,834,0
2015-02-02,17:35:00,11.26,11.27,11.26,11.27,1046,0
2015-02-02,17:45:00,11.29,11.29,11.29,11.29,200,0
2015-02-02,17:50:00,11.33,11.33,11.33,11.33,500,0
2015-02-02,17:55:00,11.31,11.32,11.3,11.31,2037,0
2015-02-02,18:00:00,11.35,11.35,11.35,11.35,600,0
2015-02-02,18:05:00,11.28,11.28,11.28,11.28,750,0
2015-02-02,18:10:00,11.3,11.31,11.29,11.31,900,0
2015-02-02,18:25:00,11.32,11.32,11.32,11.32,1000,0
2015-02-02,18:30:00,11.31,11.32,11.3,11.32,300,0
2015-02-02,18:40:00,11.33,11.33,11.3,11.33,12990,0
2015-02-02,18:45:00,11.33,11.34,11.33,11.33,575,0
2015-02-02,18:50:00,11.33,11.33,11.33,11.33,100,0
2015-02-02,18:55:00,11.29,11.29,11.29,11.29,1000,0
