Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-02,19:35:00,13.89,13.89,13.89,13.89,1412,0
2015-02-02,19:40:00,13.89,13.95,13.89,13.93,14399,0
2015-02-02,19:45:00,13.93,13.93,13.91,13.91,2538,0
2015-02-02,19:50:00,13.91,13.91,13.9,13.9,2524,0
2015-02-02,19:55:00,13.91,13.91,13.91,13.91,2720,0
2015-02-02,20:00:00,13.91,13.91,13.9,13.9,625,0
2015-02-02,20:05:00,13.91,13.91,13.9,13.9,1390,0
2015-02-02,20:10:00,13.91,13.91,13.89,13.9,6215,0
2015-02-02,20:15:00,13.9,13.9,13.89,13.9,4102,0
2015-02-02,20:20:00,13.89,13.9,13.89,13.9,705,0
2015-02-02,20:25:00,13.89,13.91,13.89,13.9,5342,0
2015-02-02,20:30:00,13.91,13.91,13.9,13.91,3115,0
2015-02-02,20:35:00,13.91,13.93,13.9,13.93,8829,0
2015-02-02,20:40:00,13.93,13.93,13.93,13.93,2322,0
2015-02-02,20:45:00,13.93,13.93,13.92,13.93,6883,0
2015-02-02,20:50:00,13.93,13.93,13.92,13.92,5706,0
2015-02-02,20:55:00,13.93,13.93,13.92,13.92,4463,0
2015-02-02,21:00:00,13.92,13.93,13.91,13.91,3710,0
2015-02-02,21:05:00,13.92,13.92,13.91,13.91,1117,0
2015-02-02,21:10:00,13.91,13.92,13.9,13.91,3041,0
2015-02-02,21:15:00,13.91,13.92,13.91,13.92,8391,0
2015-02-02,21:20:00,13.91,13.92,13.9,13.9,1720,0
2015-02-02,21:25:00,13.9,13.9,13.89,13.89,2622,0
2015-02-02,21:30:00,13.89,13.91,13.89,13.91,2420,0
2015-02-02,21:35:00,13.89,13.91,13.89,13.89,3885,0
2015-02-02,21:40:00,13.89,13.91,13.89,13.91,5557,0
2015-02-02,21:45:00,13.91,13.91,13.9,13.91,4442,0
2015-02-02,21:50:00,13.91,13.93,13.9,13.93,7753,0
2015-02-02,21:55:00,13.93,13.96,13.91,13.95,10439,0
2015-02-02,22:00:00,13.96,13.96,13.92,13.92,9521,0
2015-02-03,15:35:00,13.94,13.96,13.94,13.95,6061,0
2015-02-03,15:40:00,13.96,13.96,13.96,13.96,2922,0
2015-02-03,15:45:00,13.95,13.96,13.95,13.95,1020,0
2015-02-03,15:50:00,13.95,13.96,13.95,13.95,12190,0
2015-02-03,15:55:00,13.95,13.95,13.95,13.95,6546,0
2015-02-03,16:00:00,13.96,13.96,13.95,13.95,7615,0
2015-02-03,16:05:00,13.96,13.96,13.95,13.96,8581,0
2015-02-03,16:10:00,13.96,13.97,13.95,13.97,1049,0
2015-02-03,16:15:00,13.96,13.97,13.96,13.97,2126,0
2015-02-03,16:20:00,13.97,13.98,13.97,13.98,1211,0
2015-02-03,16:25:00,13.98,13.98,13.95,13.95,3522,0
2015-02-03,16:30:00,13.98,13.98,13.96,13.96,6425,0
2015-02-03,16:35:00,13.96,13.97,13.96,13.97,1709,0
2015-02-03,16:40:00,13.97,13.97,13.97,13.97,1360,0
2015-02-03,16:45:00,13.97,13.98,13.97,13.98,907,0
2015-02-03,16:50:00,13.96,13.98,13.95,13.98,8139,0
2015-02-03,16:55:00,13.96,13.97,13.96,13.97,1902,0
2015-02-03,17:00:00,13.98,13.98,13.95,13.95,3310,0
2015-02-03,17:05:00,13.97,13.97,13.96,13.97,1627,0
2015-02-03,17:10:00,13.95,13.97,13.95,13.97,2267,0
2015-02-03,17:15:00,13.97,13.97,13.95,13.97,1022,0
2015-02-03,17:20:00,13.97,13.97,13.96,13.97,2318,0
2015-02-03,17:25:00,13.97,13.97,13.97,13.97,1604,0
2015-02-03,17:30:00,13.96,13.98,13.96,13.98,8946,0
2015-02-03,17:35:00,13.98,13.98,13.98,13.98,2362,0
2015-02-03,17:40:00,13.98,13.98,13.97,13.98,7396,0
2015-02-03,17:45:00,13.98,13.98,13.98,13.98,806,0
2015-02-03,17:50:00,13.98,13.98,13.98,13.98,3931,0
2015-02-03,17:55:00,13.98,13.98,13.97,13.98,3046,0
2015-02-03,18:00:00,13.98,13.98,13.98,13.98,470,0
2015-02-03,18:05:00,13.98,13.98,13.97,13.98,961,0
2015-02-03,18:10:00,13.98,13.99,13.98,13.98,8079,0
2015-02-03,18:15:00,13.99,13.99,13.99,13.99,202,0
2015-02-03,18:20:00,14,14,13.99,14,2762,0
2015-02-03,18:25:00,13.99,14,13.99,13.99,16629,0
2015-02-03,18:30:00,13.99,13.99,13.98,13.98,1064,0
2015-02-03,18:35:00,13.98,13.99,13.98,13.99,706,0
2015-02-03,18:40:00,13.99,13.99,13.98,13.99,2609,0
2015-02-03,18:45:00,13.99,13.99,13.99,13.99,1261,0
2015-02-03,18:50:00,13.99,13.99,13.99,13.99,3385,0
2015-02-03,18:55:00,13.98,13.99,13.98,13.99,4663,0
2015-02-03,19:00:00,13.98,13.98,13.98,13.98,772,0
2015-02-03,19:05:00,13.98,13.98,13.98,13.98,720,0
2015-02-03,19:10:00,13.99,13.99,13.98,13.99,1915,0
2015-02-03,19:15:00,13.99,13.99,13.99,13.99,1784,0
2015-02-03,19:20:00,13.99,13.99,13.99,13.99,1147,0
2015-02-03,19:25:00,13.98,13.98,13.98,13.98,202,0
2015-02-03,19:30:00,13.98,13.98,13.98,13.98,941,0
2015-02-03,19:35:00,13.98,13.99,13.98,13.99,1207,0
2015-02-03,19:40:00,13.99,14,13.98,14,8676,0
2015-02-03,19:45:00,14.019,14.019,14.009,14.009,4450,0
2015-02-03,19:55:00,14.019,14.019,14.009,14.009,1613,0
2015-02-03,20:00:00,14,14.019,14,14.019,3220,0
2015-02-03,20:05:00,14.019,14.029,14,14.019,4230,0
2015-02-03,20:10:00,14.009,14.029,14.009,14.029,4755,0
2015-02-03,20:15:00,14.029,14.029,14.029,14.029,1109,0
2015-02-03,20:20:00,14.009,14.019,14.009,14.019,2570,0
2015-02-03,20:25:00,14.019,14.029,14.009,14.029,4410,0
2015-02-03,20:30:00,14.029,14.029,14.009,14.019,2354,0
2015-02-03,20:35:00,14.029,14.029,14.029,14.029,1518,0
2015-02-03,20:40:00,14.029,14.029,14.029,14.029,4541,0
2015-02-03,20:45:00,14.029,14.029,14.019,14.019,978,0
2015-02-03,20:50:00,14.029,14.029,14.019,14.029,2292,0
2015-02-03,20:55:00,14.029,14.029,14.009,14.009,3124,0
2015-02-03,21:00:00,14.009,14.009,13.99,14,5765,0
2015-02-03,21:05:00,14.009,14.009,14.009,14.009,302,0
2015-02-03,21:10:00,14,14.009,14,14.009,4167,0
2015-02-03,21:15:00,14.009,14.009,14.009,14.009,2493,0
2015-02-03,21:20:00,14,14.029,14,14.019,8086,0
2015-02-03,21:25:00,14.029,14.049,14.029,14.049,5749,0
2015-02-03,21:30:00,14.049,14.049,14.039,14.039,5495,0
