Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-02,20:30:00,13.04,13.05,13.04,13.05,4280,0
2015-02-02,20:35:00,13.05,13.06,13.05,13.06,4400,0
2015-02-02,20:40:00,13.06,13.06,13.05,13.06,2600,0
2015-02-02,20:45:00,13.06,13.06,13.05,13.06,7465,0
2015-02-02,20:50:00,13.06,13.06,13.04,13.05,32186,0
2015-02-02,20:55:00,13.05,13.09,13.05,13.08,154676,0
2015-02-02,21:00:00,13.08,13.08,13.05,13.06,40922,0
2015-02-02,21:05:00,13.06,13.06,13.05,13.05,6232,0
2015-02-02,21:10:00,13.06,13.06,13.03,13.05,154268,0
2015-02-02,21:15:00,13.05,13.07,13.05,13.07,18728,0
2015-02-02,21:20:00,13.06,13.07,13.05,13.06,27855,0
2015-02-02,21:25:00,13.06,13.08,13.05,13.07,11116,0
2015-02-02,21:30:00,13.07,13.07,13.05,13.06,14636,0
2015-02-02,21:35:00,13.05,13.08,13.05,13.07,39263,0
2015-02-02,21:40:00,13.07,13.11,13.07,13.1,65511,0
2015-02-02,21:45:00,13.09,13.12,13.09,13.11,37014,0
2015-02-02,21:50:00,13.12,13.12,13.1,13.1,27360,0
2015-02-02,21:55:00,13.11,13.11,13.09,13.11,39476,0
2015-02-02,22:00:00,13.1,13.1,13.09,13.09,177549,0
2015-02-03,15:35:00,13.36,13.36,13.3,13.3,107079,0
2015-02-03,15:40:00,13.31,13.32,13.3,13.3,69277,0
2015-02-03,15:45:00,13.3,13.31,13.29,13.31,55340,0
2015-02-03,15:50:00,13.31,13.32,13.31,13.32,4560,0
2015-02-03,15:55:00,13.32,13.35,13.32,13.35,36787,0
2015-02-03,16:05:00,13.36,13.37,13.34,13.34,72934,0
2015-02-03,16:10:00,13.35,13.36,13.33,13.34,50001,0
2015-02-03,16:15:00,13.35,13.35,13.31,13.33,80511,0
2015-02-03,16:20:00,13.33,13.35,13.33,13.35,20281,0
2015-02-03,16:25:00,13.35,13.36,13.33,13.35,103299,0
2015-02-03,16:30:00,13.35,13.4,13.35,13.4,21517,0
2015-02-03,16:35:00,13.4,13.4,13.38,13.38,108385,0
2015-02-03,16:40:00,13.39,13.39,13.38,13.39,6963,0
2015-02-03,16:45:00,13.39,13.4,13.37,13.37,48754,0
2015-02-03,16:50:00,13.37,13.38,13.35,13.37,62326,0
2015-02-03,16:55:00,13.37,13.38,13.36,13.37,39495,0
2015-02-03,17:00:00,13.37,13.37,13.35,13.35,45341,0
2015-02-03,17:05:00,13.35,13.36,13.35,13.36,1100,0
2015-02-03,17:10:00,13.35,13.37,13.35,13.37,17300,0
2015-02-03,17:15:00,13.36,13.4,13.36,13.39,81564,0
2015-02-03,17:20:00,13.38,13.4,13.38,13.4,23479,0
2015-02-03,17:25:00,13.39,13.42,13.39,13.42,21634,0
2015-02-03,17:30:00,13.42,13.44,13.4,13.4,52058,0
2015-02-03,17:35:00,13.4,13.41,13.39,13.41,29601,0
2015-02-03,17:40:00,13.41,13.42,13.41,13.41,14681,0
2015-02-03,17:45:00,13.41,13.41,13.4,13.41,42834,0
2015-02-03,17:50:00,13.42,13.42,13.41,13.41,3549,0
2015-02-03,17:55:00,13.41,13.42,13.38,13.38,26163,0
2015-02-03,18:00:00,13.37,13.4,13.37,13.4,49932,0
2015-02-03,18:05:00,13.39,13.39,13.38,13.38,15000,0
2015-02-03,18:10:00,13.38,13.39,13.38,13.39,5352,0
2015-02-03,18:15:00,13.39,13.41,13.39,13.41,20362,0
2015-02-03,18:20:00,13.4,13.4,13.4,13.4,3900,0
2015-02-03,18:25:00,13.38,13.38,13.36,13.36,24231,0
2015-02-03,18:30:00,13.36,13.37,13.36,13.36,23801,0
2015-02-03,18:35:00,13.36,13.36,13.35,13.35,31401,0
2015-02-03,18:40:00,13.35,13.36,13.34,13.34,26399,0
2015-02-03,18:45:00,13.34,13.35,13.34,13.35,25118,0
2015-02-03,18:50:00,13.34,13.36,13.34,13.36,75603,0
2015-02-03,18:55:00,13.36,13.36,13.33,13.33,13600,0
2015-02-03,19:00:00,13.33,13.35,13.33,13.35,89935,0
2015-02-03,19:05:00,13.34,13.35,13.34,13.35,70080,0
2015-02-03,19:10:00,13.36,13.36,13.36,13.36,340,0
2015-02-03,19:15:00,13.35,13.36,13.35,13.36,22139,0
2015-02-03,19:20:00,13.36,13.38,13.36,13.38,60770,0
2015-02-03,19:25:00,13.39,13.39,13.38,13.39,18300,0
2015-02-03,19:30:00,13.39,13.42,13.39,13.42,49500,0
2015-02-03,19:35:00,13.43,13.45,13.42,13.43,69481,0
2015-02-03,19:40:00,13.43,13.44,13.43,13.43,15257,0
2015-02-03,19:45:00,13.43,13.43,13.39,13.4,172189,0
2015-02-03,19:50:00,13.4,13.4,13.4,13.4,3318,0
2015-02-03,19:55:00,13.39,13.4,13.38,13.39,86245,0
2015-02-03,20:00:00,13.39,13.4,13.39,13.4,74997,0
2015-02-03,20:05:00,13.41,13.41,13.39,13.39,12476,0
2015-02-03,20:10:00,13.39,13.39,13.38,13.38,15557,0
2015-02-03,20:15:00,13.39,13.39,13.37,13.37,45523,0
2015-02-03,20:20:00,13.38,13.39,13.37,13.39,116078,0
2015-02-03,20:25:00,13.4,13.4,13.38,13.38,9251,0
2015-02-03,20:30:00,13.38,13.39,13.38,13.39,6920,0
2015-02-03,20:35:00,13.38,13.39,13.37,13.37,38552,0
2015-02-03,20:40:00,13.37,13.38,13.37,13.38,37970,0
2015-02-03,20:45:00,13.38,13.38,13.37,13.37,29800,0
2015-02-03,20:50:00,13.37,13.38,13.37,13.37,79723,0
2015-02-03,20:55:00,13.37,13.38,13.37,13.37,20660,0
2015-02-03,21:00:00,13.37,13.39,13.37,13.39,132014,0
2015-02-03,21:05:00,13.39,13.4,13.39,13.39,13200,0
2015-02-03,21:10:00,13.39,13.4,13.38,13.4,101341,0
2015-02-03,21:15:00,13.4,13.4,13.39,13.4,9498,0
2015-02-03,21:20:00,13.39,13.4,13.38,13.38,30152,0
2015-02-03,21:25:00,13.38,13.39,13.38,13.39,39779,0
2015-02-03,21:30:00,13.38,13.39,13.38,13.39,107138,0
2015-02-03,21:35:00,13.38,13.39,13.38,13.39,68301,0
2015-02-03,21:40:00,13.39,13.39,13.38,13.39,20006,0
2015-02-03,21:45:00,13.39,13.4,13.38,13.4,74010,0
2015-02-03,21:50:00,13.4,13.41,13.39,13.4,91868,0
2015-02-03,21:55:00,13.4,13.41,13.39,13.39,50204,0
2015-02-03,22:00:00,13.39,13.4,13.39,13.39,235959,0
2015-02-04,15:35:00,13.48,13.51,13.46,13.49,119259,0
2015-02-04,15:40:00,13.5,13.5,13.48,13.49,64653,0
2015-02-04,15:45:00,13.5,13.53,13.49,13.52,81320,0
2015-02-04,15:50:00,13.52,13.52,13.52,13.52,19926,0
2015-02-04,15:55:00,13.51,13.52,13.51,13.51,28926,0
2015-02-04,16:00:00,13.5,13.51,13.5,13.5,24426,0
2015-02-04,16:05:00,13.5,13.51,13.5,13.5,106750,0
2015-02-04,16:10:00,13.5,13.51,13.5,13.5,8440,0
2015-02-04,16:15:00,13.5,13.52,13.5,13.51,151719,0
2015-02-04,16:20:00,13.51,13.51,13.51,13.51,100,0
2015-02-04,16:25:00,13.51,13.52,13.5,13.5,28902,0
2015-02-04,16:30:00,13.5,13.5,13.5,13.5,18803,0
2015-02-04,16:35:00,13.5,13.51,13.5,13.51,110251,0
2015-02-04,16:40:00,13.5,13.5,13.48,13.5,145858,0
2015-02-04,16:45:00,13.5,13.5,13.49,13.49,11800,0
2015-02-04,16:50:00,13.49,13.5,13.48,13.5,74161,0
2015-02-04,16:55:00,13.5,13.5,13.48,13.48,37493,0
2015-02-04,17:00:00,13.48,13.49,13.48,13.48,33149,0
2015-02-04,17:05:00,13.48,13.49,13.48,13.48,25638,0
2015-02-04,17:10:00,13.48,13.49,13.48,13.49,41699,0
2015-02-04,17:15:00,13.49,13.49,13.48,13.49,30700,0
2015-02-04,17:20:00,13.49,13.49,13.48,13.49,23467,0
2015-02-04,17:25:00,13.49,13.49,13.48,13.49,35373,0
2015-02-04,17:30:00,13.49,13.5,13.48,13.5,78178,0
2015-02-04,17:35:00,13.5,13.51,13.5,13.51,21808,0
2015-02-04,17:40:00,13.51,13.51,13.5,13.51,2200,0
2015-02-04,17:45:00,13.51,13.51,13.5,13.5,17419,0
2015-02-04,17:50:00,13.5,13.51,13.5,13.51,28300,0
2015-02-04,17:55:00,13.51,13.51,13.49,13.49,20026,0
2015-02-04,18:00:00,13.49,13.5,13.49,13.49,20900,0
2015-02-04,18:05:00,13.49,13.5,13.48,13.48,22438,0
2015-02-04,18:10:00,13.48,13.48,13.48,13.48,8700,0
2015-02-04,18:15:00,13.48,13.48,13.47,13.47,27900,0
2015-02-04,18:20:00,13.47,13.47,13.47,13.47,9800,0
2015-02-04,18:25:00,13.47,13.49,13.47,13.49,55175,0
2015-02-04,18:30:00,13.49,13.49,13.47,13.47,39500,0
2015-02-04,18:35:00,13.46,13.48,13.46,13.48,47323,0
2015-02-04,18:40:00,13.48,13.48,13.46,13.47,14956,0
2015-02-04,18:45:00,13.47,13.47,13.46,13.46,37077,0
2015-02-04,18:50:00,13.46,13.46,13.45,13.45,14800,0
2015-02-04,18:55:00,13.45,13.48,13.45,13.48,75938,0
2015-02-04,19:00:00,13.48,13.48,13.47,13.47,9600,0
2015-02-04,19:05:00,13.47,13.47,13.46,13.46,14329,0
2015-02-04,19:10:00,13.46,13.47,13.45,13.45,15625,0
2015-02-04,19:15:00,13.45,13.46,13.45,13.45,12011,0
2015-02-04,19:20:00,13.45,13.46,13.44,13.44,14976,0
2015-02-04,19:25:00,13.44,13.45,13.44,13.44,9600,0
