Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-12,16:50:00,9.55,9.55,9.55,9.55,2537,0
2015-01-12,16:55:00,9.549,9.549,9.549,9.549,102,0
2015-01-12,17:00:00,9.549,9.549,9.549,9.549,304,0
2015-01-12,17:10:00,9.549,9.549,9.539,9.539,798,0
2015-01-12,17:20:00,9.549,9.549,9.549,9.549,304,0
2015-01-12,17:30:00,9.559,9.559,9.559,9.559,406,0
2015-01-12,17:35:00,9.559,9.559,9.559,9.559,102,0
2015-01-12,17:40:00,9.559,9.559,9.559,9.559,102,0
2015-01-12,17:45:00,9.559,9.559,9.559,9.559,203,0
2015-01-12,17:55:00,9.559,9.559,9.559,9.559,102,0
2015-01-12,18:00:00,9.559,9.559,9.559,9.559,203,0
2015-01-12,18:05:00,9.559,9.559,9.559,9.559,203,0
2015-01-12,18:20:00,9.559,9.559,9.559,9.559,102,0
2015-01-12,18:25:00,9.559,9.559,9.559,9.559,102,0
2015-01-12,18:30:00,9.569,9.569,9.569,9.569,102,0
2015-01-12,18:35:00,9.569,9.569,9.569,9.569,1023,0
2015-01-12,18:45:00,9.559,9.559,9.519,9.519,766,0
2015-01-12,18:50:00,9.519,9.549,9.519,9.539,1725,0
2015-01-12,18:55:00,9.559,9.559,9.559,9.559,1015,0
2015-01-12,19:00:00,9.569,9.569,9.569,9.569,102,0
2015-01-12,19:05:00,9.569,9.569,9.569,9.569,102,0
2015-01-12,19:15:00,9.569,9.569,9.569,9.569,102,0
2015-01-12,19:25:00,9.569,9.569,9.569,9.569,102,0
2015-01-12,19:30:00,9.569,9.569,9.569,9.569,203,0
2015-01-12,19:40:00,9.549,9.569,9.529,9.529,406,0
2015-01-12,19:50:00,9.578,9.578,9.578,9.578,102,0
2015-01-12,19:55:00,9.578,9.578,9.578,9.578,102,0
2015-01-12,20:00:00,9.578,9.578,9.578,9.578,102,0
2015-01-12,20:05:00,9.578,9.578,9.578,9.578,102,0
2015-01-12,20:10:00,9.578,9.578,9.578,9.578,102,0
2015-01-12,20:15:00,9.578,9.578,9.578,9.578,102,0
2015-01-12,20:25:00,9.578,9.578,9.578,9.578,102,0
2015-01-12,20:30:00,9.578,9.578,9.578,9.578,1116,0
2015-01-12,20:35:00,9.578,9.578,9.578,9.578,382,0
2015-01-12,20:40:00,9.578,9.578,9.578,9.578,1116,0
2015-01-12,20:45:00,9.578,9.578,9.578,9.578,4262,0
