Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-02,18:55:00,23.70,23.71,23.70,23.71,1898,0
2015-02-02,19:00:00,23.7,23.71,23.68,23.68,7738,0
2015-02-02,19:05:00,23.67,23.67,23.64,23.64,2151,0
2015-02-02,19:10:00,23.65,23.67,23.65,23.67,854,0
2015-02-02,19:15:00,23.71,23.71,23.7,23.7,490,0
2015-02-02,19:20:00,23.68,23.69,23.67,23.67,2170,0
2015-02-02,19:25:00,23.71,23.73,23.71,23.73,724,0
2015-02-02,19:30:00,23.72,23.73,23.7,23.71,6225,0
2015-02-02,19:35:00,23.72,23.72,23.68,23.68,300,0
2015-02-02,19:40:00,23.66,23.66,23.66,23.66,695,0
2015-02-02,19:50:00,23.62,23.64,23.62,23.64,2615,0
2015-02-02,19:55:00,23.63,23.66,23.63,23.66,3300,0
2015-02-02,20:05:00,23.62,23.65,23.62,23.65,646,0
2015-02-02,20:10:00,23.65,23.67,23.65,23.66,10127,0
2015-02-02,20:15:00,23.67,23.67,23.65,23.67,4604,0
2015-02-02,20:20:00,23.67,23.71,23.67,23.7,129451,0
2015-02-02,20:25:00,23.7,23.72,23.69,23.72,9946,0
2015-02-02,20:30:00,23.73,23.73,23.73,23.73,2942,0
2015-02-02,20:35:00,23.74,23.74,23.71,23.72,2171,0
2015-02-02,20:40:00,23.71,23.71,23.71,23.71,100,0
2015-02-02,20:45:00,23.71,23.74,23.71,23.74,5028,0
2015-02-02,20:50:00,23.74,23.74,23.7,23.72,2572,0
2015-02-02,20:55:00,23.71,23.74,23.71,23.72,4252,0
2015-02-02,21:00:00,23.71,23.71,23.71,23.71,890,0
2015-02-02,21:05:00,23.73,23.73,23.73,23.73,400,0
2015-02-02,21:15:00,23.76,23.78,23.76,23.78,4843,0
2015-02-02,21:20:00,23.76,23.76,23.75,23.76,6363,0
2015-02-02,21:25:00,23.81,23.81,23.8,23.8,4300,0
2015-02-02,21:35:00,23.8,23.82,23.8,23.82,21380,0
