Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-02,16:55:00,33.12,33.22,33.12,33.22,18397,0
2015-02-02,17:00:00,33.18,33.18,33.18,33.18,1650,0
2015-02-02,17:05:00,33.2,33.2,33.2,33.2,670,0
2015-02-02,17:10:00,33.29,33.37,33.29,33.37,3597,0
2015-02-02,17:15:00,33.42,33.42,33.37,33.37,4773,0
2015-02-02,17:20:00,33.34,33.34,33.34,33.34,610,0
2015-02-02,17:25:00,33.33,33.33,33.31,33.31,2388,0
2015-02-02,17:30:00,33.34,33.41,33.3,33.41,4263,0
2015-02-02,17:35:00,33.43,33.5,33.43,33.5,427,0
2015-02-02,17:40:00,33.49,33.49,33.48,33.48,728,0
2015-02-02,17:45:00,33.49,33.49,33.45,33.45,720,0
2015-02-02,17:50:00,33.47,33.5,33.46,33.46,2000,0
2015-02-02,17:55:00,33.45,33.45,33.45,33.45,836,0
2015-02-02,18:00:00,33.42,33.42,33.42,33.42,2736,0
2015-02-02,18:05:00,33.45,33.45,33.4,33.4,3270,0
2015-02-02,18:15:00,33.38,33.38,33.35,33.36,575,0
2015-02-02,18:20:00,33.35,33.35,33.35,33.35,2420,0
2015-02-02,18:25:00,33.37,33.37,33.31,33.31,970,0
2015-02-02,18:30:00,33.27,33.29,33.27,33.29,3910,0
2015-02-02,18:35:00,33.33,33.33,33.31,33.31,5000,0
2015-02-02,18:40:00,33.32,33.36,33.32,33.33,3185,0
2015-02-02,18:45:00,33.33,33.33,33.33,33.33,1220,0
2015-02-02,18:50:00,33.37,33.37,33.25,33.25,4570,0
2015-02-02,19:00:00,33.29,33.29,33.29,33.29,3090,0
2015-02-02,19:05:00,33.23,33.23,33.23,33.23,300,0
2015-02-02,19:10:00,33.23,33.25,33.21,33.23,1413,0
2015-02-02,19:15:00,33.24,33.24,33.22,33.22,6310,0
2015-02-02,19:20:00,33.21,33.21,33.2,33.21,3421,0
2015-02-02,19:25:00,33.29,33.29,33.28,33.28,310,0
2015-02-02,19:30:00,33.27,33.27,33.27,33.27,2970,0
2015-02-02,19:35:00,33.26,33.29,33.26,33.29,7591,0
2015-02-02,19:40:00,33.21,33.23,33.21,33.23,2391,0
2015-02-02,19:45:00,33.17,33.17,33.15,33.15,1000,0
2015-02-02,19:50:00,33.14,33.14,33.14,33.14,4100,0
2015-02-02,19:55:00,33.17,33.19,33.15,33.15,1580,0
2015-02-02,20:00:00,33.16,33.16,33.16,33.16,1872,0
2015-02-02,20:05:00,33.11,33.19,33.11,33.18,1640,0
2015-02-02,20:10:00,33.2,33.24,33.17,33.24,3197,0
2015-02-02,20:15:00,33.19,33.22,33.19,33.22,975,0
2015-02-02,20:20:00,33.22,33.22,33.22,33.22,960,0
2015-02-02,20:25:00,33.23,33.26,33.23,33.26,1070,0
2015-02-02,20:30:00,33.24,33.3,33.24,33.29,605,0
2015-02-02,20:35:00,33.33,33.33,33.31,33.31,450,0
2015-02-02,20:40:00,33.26,33.29,33.25,33.25,1640,0
2015-02-02,20:45:00,33.27,33.27,33.25,33.26,565,0
2015-02-02,20:50:00,33.21,33.21,33.21,33.21,696,0
2015-02-02,20:55:00,33.21,33.26,33.21,33.26,1014,0
2015-02-02,21:00:00,33.26,33.26,33.2,33.2,435,0
2015-02-02,21:05:00,33.23,33.23,33.23,33.23,2930,0
2015-02-02,21:10:00,33.26,33.26,33.26,33.26,820,0
2015-02-02,21:15:00,33.26,33.34,33.26,33.34,1140,0
2015-02-02,21:20:00,33.36,33.36,33.28,33.3,3757,0
2015-02-02,21:25:00,33.33,33.36,33.33,33.36,2900,0
2015-02-02,21:30:00,33.36,33.36,33.3,33.3,1800,0
2015-02-02,21:35:00,33.31,33.31,33.31,33.31,3840,0
2015-02-02,21:40:00,33.4,33.4,33.4,33.4,825,0
2015-02-02,21:45:00,33.5,33.55,33.5,33.55,7984,0
2015-02-02,21:50:00,33.55,33.57,33.52,33.54,5287,0
2015-02-02,21:55:00,33.56,33.57,33.53,33.57,7242,0
2015-02-02,22:00:00,33.56,33.56,33.54,33.55,2055,0
2015-02-03,15:35:00,33.67,33.77,33.67,33.7,1800,0
2015-02-03,15:40:00,33.71,33.78,33.69,33.69,4638,0
2015-02-03,15:45:00,33.62,33.65,33.6,33.65,5400,0
2015-02-03,15:50:00,33.65,33.65,33.64,33.64,500,0
2015-02-03,15:55:00,33.64,33.65,33.59,33.59,5420,0
2015-02-03,16:00:00,33.57,33.62,33.57,33.61,4400,0
2015-02-03,16:05:00,33.6,33.6,33.6,33.6,2222,0
2015-02-03,16:10:00,33.59,33.59,33.54,33.55,1175,0
2015-02-03,16:15:00,33.55,33.56,33.55,33.56,1650,0
2015-02-03,16:20:00,33.51,33.53,33.48,33.5,8966,0
2015-02-03,16:25:00,33.5,33.5,33.5,33.5,1500,0
2015-02-03,16:30:00,33.53,33.53,33.53,33.53,802,0
2015-02-03,16:35:00,33.53,33.53,33.48,33.48,6150,0
2015-02-03,16:40:00,33.45,33.45,33.42,33.42,2800,0
2015-02-03,16:45:00,33.46,33.46,33.4,33.4,2000,0
2015-02-03,16:50:00,33.4,33.4,33.33,33.33,2345,0
2015-02-03,16:55:00,33.36,33.36,33.36,33.36,2700,0
2015-02-03,17:00:00,33.32,33.34,33.32,33.34,2687,0
2015-02-03,17:05:00,33.32,33.35,33.3,33.35,3301,0
2015-02-03,17:10:00,33.32,33.32,33.32,33.32,1816,0
2015-02-03,17:15:00,33.35,33.38,33.35,33.38,4714,0
2015-02-03,17:25:00,33.41,33.41,33.37,33.37,3966,0
2015-02-03,17:30:00,33.37,33.39,33.36,33.36,6520,0
2015-02-03,17:35:00,33.37,33.37,33.33,33.33,2177,0
2015-02-03,17:40:00,33.37,33.38,33.37,33.38,620,0
2015-02-03,17:45:00,33.39,33.4,33.39,33.4,1425,0
2015-02-03,17:50:00,33.41,33.41,33.4,33.4,681,0
2015-02-03,17:55:00,33.4,33.4,33.32,33.32,2100,0
2015-02-03,18:00:00,33.32,33.32,33.28,33.29,17420,0
2015-02-03,18:05:00,33.25,33.25,33.25,33.25,1813,0
2015-02-03,18:10:00,33.3,33.31,33.3,33.31,1424,0
2015-02-03,18:15:00,33.35,33.35,33.35,33.35,200,0
2015-02-03,18:20:00,33.34,33.35,33.34,33.35,2125,0
2015-02-03,18:30:00,33.3,33.3,33.28,33.28,1092,0
2015-02-03,18:35:00,33.28,33.28,33.28,33.28,2341,0
2015-02-03,18:45:00,33.28,33.29,33.28,33.29,1345,0
2015-02-03,18:50:00,33.33,33.33,33.31,33.31,1575,0
