Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-15,18:15:00,29.28,29.29,29.28,29.29,28089,0
2015-01-15,18:20:00,29.24,29.26,29.24,29.26,400,0
2015-01-15,18:25:00,29.21,29.21,29.21,29.21,526,0
2015-01-15,18:40:00,29.2,29.2,29.2,29.2,100,0
2015-01-15,18:50:00,29.14,29.14,29.11,29.11,3626,0
2015-01-15,18:55:00,29.15,29.17,29.15,29.17,600,0
2015-01-15,19:05:00,29.15,29.21,29.15,29.21,1216,0
2015-01-15,19:10:00,29.21,29.21,29.21,29.21,200,0
2015-01-15,19:20:00,29.23,29.23,29.23,29.23,929,0
2015-01-15,19:30:00,29.22,29.22,29.18,29.18,300,0
2015-01-15,19:40:00,29.14,29.14,29.14,29.14,200,0
2015-01-15,19:45:00,29.14,29.16,29.13,29.15,5113,0
2015-01-15,19:50:00,29.12,29.12,29.12,29.12,490,0
2015-01-15,19:55:00,29.22,29.22,29.22,29.22,200,0
2015-01-15,20:05:00,29.15,29.18,29.15,29.18,370,0
2015-01-15,20:15:00,29.19,29.21,29.19,29.21,614,0
2015-01-15,20:20:00,29.21,29.21,29.21,29.21,100,0
2015-01-15,20:25:00,29.19,29.19,29.19,29.19,100,0
2015-01-15,20:30:00,29.2,29.2,29.2,29.2,100,0
2015-01-15,20:35:00,29.18,29.2,29.18,29.2,500,0
2015-01-15,20:40:00,29.25,29.26,29.23,29.25,45870,0
2015-01-15,20:45:00,29.24,29.24,29.24,29.24,1524,0
2015-01-15,20:50:00,29.25,29.26,29.21,29.22,4622,0
2015-01-15,20:55:00,29.22,29.22,29.21,29.21,900,0
2015-01-15,21:00:00,29.26,29.26,29.26,29.26,160,0
2015-01-15,21:05:00,29.28,29.3,29.26,29.28,7304,0
2015-01-15,21:10:00,29.26,29.26,29.25,29.25,925,0
2015-01-15,21:15:00,29.24,29.24,29.19,29.19,74640,0
2015-01-15,21:20:00,29.2,29.21,29.19,29.21,4462,0
2015-01-15,21:25:00,29.21,29.21,29.19,29.2,1400,0
2015-01-15,21:40:00,29.23,29.23,29.2,29.2,1100,0
2015-01-15,21:50:00,29.21,29.22,29.2,29.22,1300,0
2015-01-15,21:55:00,29.2,29.2,29.15,29.15,14671,0
2015-01-15,22:00:00,29.15,29.15,29.12,29.15,1374,0
2015-01-16,15:35:00,29.08,29.11,28.88,29.11,5080,0
2015-01-16,15:40:00,29.17,29.17,29.17,29.17,200,0
2015-01-16,15:45:00,29.21,29.21,29.21,29.21,300,0
2015-01-16,15:55:00,29.2,29.2,29.2,29.2,214,0
2015-01-16,16:05:00,29.13,29.19,29.12,29.13,1124,0
2015-01-16,16:10:00,29.17,29.18,29.16,29.18,3501,0
2015-01-16,16:15:00,29.13,29.14,29.07,29.07,1603,0
2015-01-16,16:20:00,29.12,29.12,29.12,29.12,303,0
