Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-08,16:10:00,20.93,20.93,20.93,20.93,300,0
2015-01-08,16:25:00,20.89,20.89,20.89,20.89,100,0
2015-01-08,16:35:00,20.93,20.93,20.93,20.93,338,0
2015-01-08,17:00:00,20.9,20.9,20.9,20.9,500,0
2015-01-08,17:05:00,20.93,20.93,20.93,20.93,100,0
2015-01-08,17:10:00,21.03,21.03,21.03,21.03,114,0
2015-01-08,17:15:00,20.97,20.97,20.97,20.97,3000,0
2015-01-08,17:50:00,20.94,20.94,20.94,20.94,600,0
2015-01-08,18:05:00,21.04,21.04,21.04,21.04,324,0
2015-01-08,18:20:00,21.06,21.06,21.06,21.06,700,0
2015-01-08,18:25:00,20.98,20.98,20.98,20.98,2000,0
2015-01-08,18:40:00,21.08,21.08,21.03,21.03,950,0
2015-01-08,19:05:00,21.11,21.11,21.1,21.11,6900,0
2015-01-08,19:35:00,21.05,21.05,21.05,21.05,300,0
2015-01-08,19:40:00,21.0,21.0,21.0,21.0,135,0
2015-01-08,19:45:00,21.07,21.09,21.07,21.09,7700,0
2015-01-08,19:50:00,21.02,21.02,21.02,21.02,100,0
2015-01-08,20:10:00,20.83,20.88,20.82,20.88,4025,0
2015-01-08,20:25:00,20.94,20.94,20.94,20.94,500,0
2015-01-08,20:30:00,20.98,20.98,20.98,20.98,100,0
2015-01-08,20:50:00,21.05,21.05,21.05,21.05,1000,0
2015-01-08,20:55:00,21.02,21.02,21.02,21.02,330,0
2015-01-08,21:15:00,20.98,20.98,20.98,20.98,200,0
2015-01-08,21:25:00,21.04,21.04,21.04,21.04,100,0
2015-01-08,21:40:00,21.03,21.03,20.98,20.98,600,0
2015-01-08,21:45:00,21.03,21.03,21.03,21.03,480,0
2015-01-08,21:50:00,20.99,21.0,20.97,20.97,900,0
2015-01-08,22:00:00,21.01,21.01,20.96,20.97,600,0
2015-01-09,15:35:00,21.07,21.11,21.03,21.03,400,0
2015-01-09,15:40:00,20.95,20.95,20.95,20.95,700,0
2015-01-09,15:45:00,21.03,21.04,21.03,21.04,300,0
2015-01-09,15:50:00,21.03,21.03,20.97,20.97,300,0
2015-01-09,15:55:00,20.97,20.98,20.97,20.97,400,0
2015-01-09,16:00:00,20.96,20.96,20.89,20.89,500,0
2015-01-09,16:10:00,20.93,20.99,20.93,20.99,600,0
2015-01-09,16:20:00,20.95,20.95,20.95,20.95,174,0
2015-01-09,16:25:00,20.94,20.94,20.94,20.94,400,0
2015-01-09,16:35:00,20.88,20.88,20.88,20.88,100,0
2015-01-09,16:40:00,20.94,20.94,20.94,20.94,100,0
2015-01-09,16:45:00,20.91,20.91,20.91,20.91,300,0
2015-01-09,17:05:00,20.91,20.91,20.91,20.91,400,0
2015-01-09,17:30:00,20.83,20.83,20.83,20.83,768,0
2015-01-09,17:45:00,20.9,20.9,20.9,20.9,3192,0
2015-01-09,17:50:00,20.83,20.83,20.83,20.83,100,0
2015-01-09,18:10:00,20.9,20.9,20.9,20.9,1000,0
2015-01-09,18:15:00,21.0,21.0,21.0,21.0,200,0
2015-01-09,18:45:00,20.96,20.96,20.96,20.96,250,0
2015-01-09,19:00:00,20.96,20.96,20.91,20.92,1187,0
2015-01-09,19:10:00,20.89,20.89,20.89,20.89,300,0
2015-01-09,19:15:00,20.94,20.94,20.94,20.94,100,0
2015-01-09,19:20:00,20.97,20.97,20.97,20.97,100,0
2015-01-09,19:25:00,20.99,20.99,20.95,20.96,800,0
2015-01-09,20:20:00,21.2,21.2,21.2,21.2,100,0
2015-01-09,20:25:00,21.23,21.23,21.23,21.23,1000,0
2015-01-09,20:45:00,21.13,21.13,21.13,21.13,1000,0
2015-01-09,20:50:00,21.18,21.18,21.13,21.13,414,0
2015-01-09,21:25:00,21.32,21.32,21.32,21.32,1000,0
2015-01-09,21:30:00,21.31,21.31,21.31,21.31,3000,0
2015-01-09,22:00:00,21.2,21.2,21.2,21.2,900,0
2015-01-12,15:35:00,20.74,20.74,20.5,20.5,600,0
2015-01-12,15:40:00,20.5,20.5,20.5,20.5,280,0
2015-01-12,15:45:00,20.33,20.33,20.33,20.33,200,0
2015-01-12,15:50:00,20.25,20.26,20.25,20.25,3500,0
2015-01-12,16:00:00,20.25,20.25,20.25,20.25,5150,0
2015-01-12,16:05:00,20.2,20.2,20.13,20.13,600,0
2015-01-12,16:10:00,20.15,20.2,20.14,20.2,1600,0
2015-01-12,16:15:00,20.23,20.23,20.17,20.17,200,0
2015-01-12,16:20:00,20.14,20.18,20.14,20.18,800,0
2015-01-12,16:25:00,20.21,20.29,20.21,20.29,700,0
2015-01-12,16:30:00,20.27,20.3,20.27,20.3,1100,0
2015-01-12,16:35:00,20.24,20.27,20.23,20.25,1300,0
2015-01-12,16:40:00,20.24,20.25,20.23,20.23,900,0
2015-01-12,16:45:00,20.24,20.28,20.24,20.28,500,0
2015-01-12,16:50:00,20.15,20.15,20.15,20.15,200,0
2015-01-12,16:55:00,20.14,20.15,20.14,20.15,200,0
2015-01-12,17:00:00,20.13,20.21,20.13,20.21,1000,0
2015-01-12,17:05:00,20.3,20.31,20.3,20.31,200,0
2015-01-12,17:10:00,20.31,20.32,20.31,20.32,800,0
2015-01-12,17:15:00,20.31,20.31,20.31,20.31,300,0
2015-01-12,17:25:00,20.24,20.29,20.24,20.29,600,0
2015-01-12,17:30:00,20.31,20.31,20.29,20.29,1500,0
2015-01-12,17:35:00,20.34,20.34,20.31,20.31,1100,0
2015-01-12,17:40:00,20.36,20.38,20.35,20.36,4462,0
2015-01-12,17:50:00,20.37,20.37,20.28,20.28,2100,0
2015-01-12,18:00:00,20.29,20.29,20.29,20.29,1700,0
2015-01-12,18:05:00,20.31,20.31,20.26,20.27,1300,0
2015-01-12,18:10:00,20.27,20.27,20.21,20.21,751,0
2015-01-12,18:15:00,20.21,20.21,20.19,20.19,1200,0
2015-01-12,18:20:00,20.18,20.21,20.17,20.21,545,0
2015-01-12,18:25:00,20.18,20.18,20.18,20.18,100,0
2015-01-12,18:30:00,20.19,20.2,20.19,20.2,200,0
2015-01-12,18:35:00,20.21,20.21,20.21,20.21,100,0
2015-01-12,18:40:00,20.23,20.24,20.23,20.24,300,0
2015-01-12,18:45:00,20.23,20.23,20.22,20.22,220,0
2015-01-12,18:50:00,20.28,20.29,20.2,20.2,1700,0
2015-01-12,18:55:00,20.23,20.23,20.22,20.22,200,0
2015-01-12,19:00:00,20.25,20.25,20.25,20.25,100,0
2015-01-12,19:05:00,20.24,20.24,20.23,20.23,400,0
2015-01-12,19:10:00,20.26,20.26,20.22,20.22,740,0
2015-01-12,19:15:00,20.21,20.21,20.21,20.21,100,0
2015-01-12,19:20:00,20.21,20.21,20.21,20.21,200,0
2015-01-12,19:25:00,20.18,20.24,20.18,20.24,300,0
2015-01-12,19:30:00,20.17,20.23,20.16,20.23,400,0
2015-01-12,19:35:00,20.16,20.2,20.16,20.2,200,0
2015-01-12,19:40:00,20.17,20.18,20.17,20.17,300,0
2015-01-12,19:45:00,20.17,20.17,20.16,20.16,200,0
2015-01-12,19:50:00,20.19,20.2,20.19,20.19,800,0
2015-01-12,19:55:00,20.19,20.22,20.19,20.2,1042,0
2015-01-12,20:00:00,20.2,20.2,20.2,20.2,100,0
2015-01-12,20:05:00,20.23,20.23,20.2,20.2,1293,0
2015-01-12,20:10:00,20.21,20.21,20.21,20.21,100,0
2015-01-12,20:15:00,20.21,20.21,20.21,20.21,200,0
2015-01-12,20:20:00,20.21,20.21,20.19,20.2,1052,0
2015-01-12,20:25:00,20.19,20.19,20.17,20.17,300,0
2015-01-12,20:30:00,20.15,20.2,20.15,20.2,600,0
2015-01-12,20:35:00,20.12,20.12,20.12,20.12,200,0
2015-01-12,20:40:00,20.09,20.09,20.07,20.07,200,0
