Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-02,19:20:00,13.81,13.81,13.80,13.80,1800,0
2015-01-02,19:25:00,13.81,13.81,13.81,13.81,200,0
2015-01-02,19:30:00,13.79,13.79,13.77,13.77,700,0
2015-01-02,19:35:00,13.77,13.78,13.77,13.77,600,0
2015-01-02,19:40:00,13.78,13.79,13.77,13.78,900,0
2015-01-02,19:45:00,13.78,13.78,13.78,13.78,600,0
2015-01-02,19:50:00,13.78,13.78,13.78,13.78,1752,0
2015-01-02,19:55:00,13.79,13.79,13.79,13.79,300,0
2015-01-02,20:00:00,13.79,13.79,13.79,13.79,1400,0
2015-01-02,20:05:00,13.78,13.79,13.78,13.79,700,0
2015-01-02,20:10:00,13.79,13.79,13.79,13.79,300,0
2015-01-02,20:15:00,13.79,13.79,13.79,13.79,1300,0
2015-01-02,20:20:00,13.79,13.79,13.78,13.78,1443,0
2015-01-02,20:25:00,13.78,13.79,13.78,13.79,2259,0
2015-01-02,20:35:00,13.79,13.79,13.79,13.79,1300,0
2015-01-02,20:40:00,13.81,13.81,13.81,13.81,160,0
2015-01-02,20:55:00,13.79,13.81,13.79,13.81,5812,0
2015-01-02,21:10:00,13.79,13.79,13.79,13.79,100,0
2015-01-02,21:15:00,13.8,13.8,13.8,13.8,2032,0
2015-01-02,22:00:00,13.8,13.8,13.8,13.8,200,0
2015-01-05,15:35:00,13.63,13.63,13.62,13.62,200,0
2015-01-05,15:40:00,13.62,13.63,13.6,13.6,4750,0
2015-01-05,15:45:00,13.6,13.6,13.6,13.6,2095,0
2015-01-05,16:00:00,13.54,13.56,13.54,13.56,200,0
2015-01-05,16:20:00,13.54,13.54,13.54,13.54,1100,0
2015-01-05,16:25:00,13.49,13.49,13.49,13.49,300,0
2015-01-05,16:35:00,13.48,13.48,13.48,13.48,200,0
2015-01-05,16:50:00,13.48,13.48,13.48,13.48,300,0
2015-01-05,16:55:00,13.47,13.47,13.47,13.47,700,0
2015-01-05,17:00:00,13.46,13.46,13.45,13.45,1000,0
2015-01-05,17:20:00,13.44,13.44,13.44,13.44,200,0
2015-01-05,17:25:00,13.44,13.44,13.44,13.44,400,0
2015-01-05,17:35:00,13.43,13.43,13.43,13.43,100,0
2015-01-05,17:40:00,13.43,13.43,13.43,13.43,400,0
2015-01-05,17:50:00,13.45,13.45,13.45,13.45,200,0
2015-01-05,17:55:00,13.44,13.44,13.44,13.44,754,0
2015-01-05,18:05:00,13.44,13.44,13.44,13.44,148,0
2015-01-05,18:15:00,13.43,13.43,13.43,13.43,400,0
2015-01-05,18:35:00,13.43,13.43,13.43,13.43,2500,0
2015-01-05,19:35:00,13.44,13.44,13.44,13.44,1400,0
2015-01-05,19:40:00,13.44,13.44,13.44,13.44,2070,0
2015-01-05,20:40:00,13.44,13.44,13.43,13.43,1374,0
2015-01-05,20:45:00,13.43,13.43,13.43,13.43,298,0
2015-01-05,20:55:00,13.42,13.43,13.42,13.42,1811,0
2015-01-05,21:00:00,13.43,13.43,13.43,13.43,156,0
2015-01-05,21:05:00,13.42,13.42,13.41,13.41,1000,0
2015-01-05,21:10:00,13.42,13.42,13.42,13.42,1200,0
2015-01-05,21:25:00,13.41,13.41,13.41,13.41,534,0
2015-01-05,21:40:00,13.42,13.42,13.42,13.42,1200,0
2015-01-05,21:55:00,13.41,13.41,13.41,13.41,600,0
2015-01-05,22:00:00,13.41,13.41,13.41,13.41,200,0
2015-01-06,15:40:00,13.3,13.3,13.3,13.3,200,0
2015-01-06,15:45:00,13.3,13.3,13.3,13.3,352,0
2015-01-06,15:55:00,13.33,13.33,13.33,13.33,480,0
2015-01-06,16:15:00,13.32,13.32,13.32,13.32,600,0
2015-01-06,16:35:00,13.35,13.35,13.34,13.34,500,0
2015-01-06,17:05:00,13.3,13.3,13.3,13.3,900,0
2015-01-06,17:30:00,13.28,13.28,13.28,13.28,120,0
2015-01-06,17:35:00,13.27,13.27,13.27,13.27,3750,0
2015-01-06,17:40:00,13.26,13.26,13.24,13.24,2370,0
2015-01-06,18:40:00,13.22,13.22,13.22,13.22,200,0
2015-01-06,18:55:00,13.25,13.25,13.25,13.25,600,0
2015-01-06,19:00:00,13.25,13.25,13.25,13.25,900,0
2015-01-06,19:45:00,13.22,13.22,13.22,13.22,2326,0
2015-01-06,20:00:00,13.22,13.22,13.22,13.22,251,0
2015-01-06,20:05:00,13.23,13.23,13.22,13.22,700,0
2015-01-06,20:10:00,13.24,13.24,13.24,13.24,470,0
2015-01-06,20:30:00,13.25,13.25,13.25,13.25,845,0
2015-01-06,20:35:00,13.25,13.27,13.25,13.26,1036,0
2015-01-06,20:40:00,13.25,13.25,13.25,13.25,928,0
2015-01-06,20:45:00,13.25,13.25,13.25,13.25,200,0
2015-01-06,20:50:00,13.25,13.25,13.25,13.25,100,0
2015-01-06,20:55:00,13.26,13.27,13.26,13.27,9392,0
2015-01-06,21:00:00,13.27,13.3,13.27,13.3,7543,0
2015-01-06,21:05:00,13.3,13.31,13.3,13.31,17720,0
2015-01-06,21:35:00,13.3,13.3,13.3,13.3,275,0
2015-01-06,21:50:00,13.31,13.32,13.3,13.31,2339,0
