Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-30,19:30:00,42.36,42.36,42.36,42.36,615,0
2015-01-30,19:35:00,42.4,42.45,42.4,42.45,1930,0
2015-01-30,19:40:00,42.45,42.45,42.45,42.45,810,0
2015-01-30,19:50:00,42.54,42.54,42.54,42.54,1200,0
2015-01-30,19:55:00,42.57,42.59,42.57,42.59,5688,0
2015-01-30,20:00:00,42.6,42.6,42.6,42.6,900,0
2015-01-30,20:05:00,42.68,42.68,42.68,42.68,500,0
2015-01-30,20:10:00,42.72,42.75,42.72,42.75,511,0
2015-01-30,20:15:00,42.72,42.73,42.69,42.73,1297,0
2015-01-30,20:20:00,42.71,42.85,42.71,42.85,13876,0
2015-01-30,20:25:00,42.84,42.86,42.82,42.84,17976,0
2015-01-30,20:30:00,42.87,42.9,42.87,42.9,456,0
2015-01-30,20:35:00,42.99,42.99,42.91,42.92,1441,0
2015-01-30,20:45:00,42.86,42.86,42.83,42.83,1308,0
2015-01-30,20:50:00,42.83,42.83,42.83,42.83,699,0
2015-01-30,20:55:00,42.68,42.7,42.68,42.7,400,0
2015-01-30,21:00:00,42.62,42.62,42.6,42.6,1097,0
2015-01-30,21:05:00,42.7,42.7,42.7,42.7,400,0
2015-01-30,21:10:00,42.6,42.62,42.58,42.62,1072,0
2015-01-30,21:15:00,42.66,42.66,42.66,42.66,618,0
2015-01-30,21:20:00,42.68,42.68,42.58,42.58,1875,0
2015-01-30,21:25:00,42.56,42.56,42.46,42.54,2525,0
2015-01-30,21:30:00,42.53,42.55,42.53,42.55,800,0
2015-01-30,21:35:00,42.54,42.54,42.54,42.54,1560,0
2015-01-30,21:40:00,42.61,42.63,42.58,42.59,1700,0
2015-01-30,21:45:00,42.56,42.56,42.44,42.48,4968,0
2015-01-30,21:50:00,42.51,42.52,42.45,42.45,17456,0
2015-01-30,21:55:00,42.45,42.45,42.39,42.39,10366,0
2015-01-30,22:00:00,42.41,42.41,42.39,42.39,1300,0
2015-02-02,15:35:00,42.79,42.79,42.73,42.73,400,0
2015-02-02,15:40:00,42.67,42.77,42.64,42.64,7477,0
2015-02-02,15:45:00,42.63,42.63,42.63,42.63,1200,0
2015-02-02,15:50:00,42.68,42.7,42.67,42.67,4586,0
2015-02-02,15:55:00,42.71,42.74,42.69,42.69,8159,0
2015-02-02,16:05:00,42.6,42.6,42.6,42.6,4000,0
2015-02-02,16:10:00,42.51,42.51,42.48,42.48,1075,0
2015-02-02,16:15:00,42.42,42.42,42.39,42.39,1700,0
2015-02-02,16:25:00,42.46,42.46,42.45,42.45,605,0
2015-02-02,16:30:00,42.52,42.52,42.48,42.48,200,0
2015-02-02,16:35:00,42.52,42.52,42.49,42.49,1773,0
2015-02-02,16:40:00,42.47,42.52,42.47,42.52,660,0
2015-02-02,16:45:00,42.59,42.59,42.59,42.59,552,0
2015-02-02,16:55:00,42.58,42.58,42.55,42.55,319,0
2015-02-02,17:00:00,42.56,42.57,42.56,42.57,433,0
2015-02-02,17:05:00,42.61,42.64,42.61,42.64,1628,0
2015-02-02,17:10:00,42.7,42.72,42.7,42.72,905,0
2015-02-02,17:15:00,42.72,42.73,42.69,42.69,67771,0
2015-02-02,17:20:00,42.71,42.71,42.69,42.71,5409,0
2015-02-02,17:25:00,42.67,42.72,42.67,42.72,1502,0
2015-02-02,17:35:00,42.81,42.88,42.81,42.88,4762,0
2015-02-02,17:40:00,42.94,42.95,42.9,42.95,1655,0
2015-02-02,17:45:00,42.91,42.93,42.91,42.93,642,0
2015-02-02,17:55:00,42.97,42.98,42.95,42.95,1857,0
2015-02-02,18:00:00,42.96,42.97,42.96,42.97,200,0
2015-02-02,18:05:00,42.96,42.96,42.89,42.89,4000,0
2015-02-02,18:10:00,42.86,42.86,42.83,42.86,500,0
