Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-30,21:40:00,22.44,22.47,22.44,22.45,16510,0
2015-01-30,21:45:00,22.42,22.42,22.38,22.39,973,0
2015-01-30,21:50:00,22.42,22.42,22.39,22.39,3273,0
2015-01-30,21:55:00,22.39,22.39,22.37,22.38,2784,0
2015-01-30,22:00:00,22.37,22.37,22.36,22.37,9984,0
2015-02-02,15:35:00,22.43,22.43,22.41,22.41,2446,0
2015-02-02,15:40:00,22.4,22.41,22.39,22.4,11928,0
2015-02-02,15:45:00,22.35,22.35,22.35,22.35,1110,0
2015-02-02,15:50:00,22.34,22.34,22.34,22.34,200,0
2015-02-02,15:55:00,22.34,22.34,22.31,22.31,3158,0
2015-02-02,16:05:00,22.26,22.27,22.25,22.26,7793,0
2015-02-02,16:10:00,22.23,22.23,22.21,22.22,6680,0
2015-02-02,16:15:00,22.19,22.25,22.19,22.25,36613,0
2015-02-02,16:20:00,22.25,22.26,22.25,22.26,661,0
2015-02-02,16:25:00,22.28,22.29,22.28,22.29,3459,0
2015-02-02,16:30:00,22.29,22.29,22.28,22.28,4618,0
2015-02-02,16:35:00,22.28,22.28,22.26,22.27,3744,0
2015-02-02,16:40:00,22.27,22.33,22.27,22.33,1887,0
2015-02-02,16:45:00,22.33,22.34,22.33,22.34,407,0
2015-02-02,16:50:00,22.32,22.32,22.32,22.32,1134,0
2015-02-02,16:55:00,22.33,22.37,22.32,22.37,78239,0
2015-02-02,17:00:00,22.36,22.37,22.35,22.37,267831,0
2015-02-02,17:05:00,22.37,22.4,22.35,22.4,3251,0
2015-02-02,17:10:00,22.4,22.41,22.4,22.4,3600,0
2015-02-02,17:15:00,22.41,22.43,22.41,22.43,6531,0
2015-02-02,17:20:00,22.41,22.41,22.4,22.4,71728,0
2015-02-02,17:25:00,22.4,22.41,22.39,22.4,5637,0
2015-02-02,17:30:00,22.39,22.41,22.38,22.41,4957,0
2015-02-02,17:35:00,22.41,22.44,22.41,22.44,5339,0
2015-02-02,17:40:00,22.44,22.46,22.44,22.44,111418,0
2015-02-02,17:45:00,22.46,22.46,22.45,22.46,2590,0
2015-02-02,17:50:00,22.46,22.46,22.46,22.46,600,0
2015-02-02,17:55:00,22.43,22.44,22.42,22.42,120116,0
2015-02-02,18:00:00,22.42,22.42,22.39,22.39,4275,0
2015-02-02,18:05:00,22.4,22.4,22.34,22.34,16473,0
2015-02-02,18:10:00,22.35,22.37,22.35,22.37,5301,0
2015-02-02,18:15:00,22.36,22.36,22.35,22.36,65548,0
2015-02-02,18:20:00,22.37,22.38,22.37,22.38,1610,0
2015-02-02,18:25:00,22.39,22.39,22.37,22.37,1059,0
2015-02-02,18:30:00,22.38,22.39,22.37,22.39,21789,0
2015-02-02,18:35:00,22.39,22.39,22.38,22.39,1947,0
2015-02-02,18:40:00,22.39,22.4,22.38,22.38,5322,0
2015-02-02,18:45:00,22.39,22.39,22.37,22.39,5348,0
2015-02-02,18:50:00,22.37,22.37,22.33,22.33,5632,0
2015-02-02,19:00:00,22.35,22.37,22.35,22.35,3302,0
2015-02-02,19:05:00,22.34,22.34,22.33,22.33,4181,0
2015-02-02,19:10:00,22.36,22.36,22.34,22.35,16987,0
2015-02-02,19:15:00,22.38,22.38,22.37,22.38,12940,0
2015-02-02,19:20:00,22.36,22.36,22.35,22.36,5118,0
2015-02-02,19:25:00,22.37,22.42,22.37,22.42,1991,0
2015-02-02,19:30:00,22.41,22.41,22.4,22.4,759,0
2015-02-02,19:35:00,22.41,22.42,22.39,22.39,4558,0
2015-02-02,19:40:00,22.38,22.38,22.36,22.36,2073,0
2015-02-02,19:45:00,22.36,22.37,22.34,22.34,4498,0
2015-02-02,19:50:00,22.34,22.36,22.34,22.36,3800,0
2015-02-02,19:55:00,22.36,22.36,22.35,22.35,400,0
2015-02-02,20:00:00,22.34,22.34,22.32,22.34,4060,0
2015-02-02,20:05:00,22.33,22.34,22.33,22.34,2008,0
2015-02-02,20:10:00,22.36,22.37,22.36,22.37,1947,0
2015-02-02,20:15:00,22.38,22.38,22.36,22.36,4683,0
2015-02-02,20:20:00,22.38,22.39,22.38,22.38,829,0
2015-02-02,20:25:00,22.39,22.41,22.39,22.4,1935,0
2015-02-02,20:30:00,22.4,22.43,22.4,22.43,4733,0
2015-02-02,20:35:00,22.44,22.44,22.41,22.43,3271,0
2015-02-02,20:40:00,22.44,22.44,22.41,22.41,791,0
2015-02-02,20:45:00,22.42,22.42,22.41,22.42,39360,0
2015-02-02,20:50:00,22.42,22.42,22.39,22.39,4995,0
2015-02-02,20:55:00,22.4,22.44,22.4,22.43,47133,0
2015-02-02,21:00:00,22.43,22.43,22.4,22.4,4400,0
2015-02-02,21:05:00,22.4,22.42,22.4,22.42,4266,0
2015-02-02,21:10:00,22.43,22.44,22.41,22.44,4452,0
2015-02-02,21:15:00,22.44,22.47,22.44,22.47,7875,0
2015-02-02,21:20:00,22.47,22.47,22.45,22.47,10000,0
2015-02-02,21:25:00,22.46,22.5,22.46,22.48,7168,0
2015-02-02,21:30:00,22.48,22.5,22.48,22.5,3892,0
2015-02-02,21:35:00,22.5,22.52,22.5,22.52,2375,0
2015-02-02,21:40:00,22.51,22.58,22.51,22.58,42651,0
2015-02-02,21:45:00,22.59,22.66,22.59,22.65,3395,0
2015-02-02,21:50:00,22.65,22.66,22.63,22.63,11376,0
2015-02-02,21:55:00,22.64,22.64,22.63,22.63,6495,0
2015-02-02,22:00:00,22.63,22.64,22.61,22.63,23606,0
2015-02-03,15:35:00,22.78,22.78,22.77,22.78,1368,0
2015-02-03,15:40:00,22.83,22.83,22.83,22.83,2000,0
2015-02-03,15:45:00,22.83,22.86,22.82,22.86,800,0
2015-02-03,15:50:00,22.85,22.85,22.84,22.84,13214,0
2015-02-03,15:55:00,22.83,22.83,22.83,22.83,1748,0
2015-02-03,16:00:00,22.85,22.87,22.85,22.87,2116,0
2015-02-03,16:05:00,22.87,22.87,22.87,22.87,1406,0
