Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,16:50:00,121.11,121.11,120.97,121.00,59889,0
2015-02-03,16:55:00,121.02,121.02,120.81,120.87,137376,0
2015-02-03,17:00:00,120.86,120.95,120.81,120.87,74456,0
2015-02-03,17:05:00,120.87,120.87,120.6,120.61,251135,0
2015-02-03,17:10:00,120.61,120.8,120.56,120.76,241883,0
2015-02-03,17:15:00,120.77,120.83,120.7,120.78,73274,0
2015-02-03,17:20:00,120.77,120.94,120.76,120.93,61835,0
2015-02-03,17:25:00,120.92,121.03,120.88,121.01,93959,0
2015-02-03,17:30:00,121.01,121.21,120.95,121.14,73927,0
2015-02-03,17:35:00,121.13,121.19,121.05,121.09,85286,0
2015-02-03,17:40:00,121.1,121.14,120.96,120.98,79838,0
2015-02-03,17:45:00,120.97,121.06,120.95,120.96,55710,0
2015-02-03,17:50:00,120.95,120.98,120.92,120.94,61441,0
2015-02-03,17:55:00,120.95,121.07,120.95,120.99,99321,0
2015-02-03,18:00:00,120.99,121.24,120.99,121.17,88830,0
2015-02-03,18:05:00,121.17,121.17,121.04,121.06,53854,0
2015-02-03,18:10:00,121.06,121.06,120.96,120.98,50483,0
2015-02-03,18:15:00,120.99,121.07,120.96,120.97,34327,0
2015-02-03,18:20:00,120.97,121.01,120.81,120.86,107785,0
2015-02-03,18:25:00,120.86,120.92,120.78,120.88,112437,0
2015-02-03,18:30:00,120.88,120.9,120.81,120.85,55200,0
2015-02-03,18:35:00,120.84,120.9,120.77,120.88,113508,0
2015-02-03,18:40:00,120.86,121.04,120.86,121.02,98754,0
2015-02-03,18:45:00,121.02,121.04,120.9,120.95,65335,0
2015-02-03,18:50:00,120.94,121.07,120.92,121.0,72640,0
2015-02-03,18:55:00,120.99,120.99,120.86,120.92,91381,0
2015-02-03,19:00:00,120.92,121.01,120.91,120.94,54712,0
2015-02-03,19:05:00,120.92,120.94,120.86,120.89,46339,0
2015-02-03,19:10:00,120.9,120.91,120.87,120.89,35716,0
2015-02-03,19:15:00,120.9,120.98,120.89,120.97,55052,0
