Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-12-22,15:55:00,0.16,0.16,0.16,0.16,4800,0
2014-12-22,16:00:00,0.16,0.17,0.16,0.17,1250,0
2014-12-22,16:15:00,0.16,0.16,0.16,0.16,1325,0
2014-12-22,16:25:00,0.16,0.17,0.16,0.17,4000,0
2014-12-22,16:35:00,0.17,0.17,0.17,0.17,300,0
2014-12-22,16:40:00,0.17,0.17,0.17,0.17,15400,0
2014-12-22,16:45:00,0.18,0.18,0.18,0.18,800,0
2014-12-22,16:50:00,0.18,0.18,0.18,0.18,300,0
2014-12-22,16:55:00,0.18,0.18,0.18,0.18,1800,0
2014-12-22,17:00:00,0.18,0.18,0.16,0.18,12902,0
2014-12-22,17:10:00,0.18,0.18,0.16,0.17,14713,0
2014-12-22,17:15:00,0.17,0.17,0.17,0.17,1000,0
2014-12-22,17:20:00,0.17,0.17,0.17,0.17,1100,0
2014-12-22,17:25:00,0.17,0.17,0.17,0.17,100,0
2014-12-22,17:30:00,0.17,0.17,0.17,0.17,400,0
2014-12-22,17:35:00,0.18,0.18,0.18,0.18,1000,0
2014-12-22,18:05:00,0.18,0.18,0.18,0.18,100,0
2014-12-22,18:40:00,0.17,0.17,0.17,0.17,3000,0
2014-12-22,18:45:00,0.18,0.18,0.18,0.18,642,0
2014-12-22,19:00:00,0.17,0.17,0.17,0.17,561,0
2014-12-22,19:20:00,0.17,0.17,0.17,0.17,900,0
2014-12-22,19:40:00,0.17,0.17,0.17,0.17,500,0
2014-12-22,20:00:00,0.17,0.17,0.17,0.17,200,0
2014-12-22,20:25:00,0.17,0.17,0.17,0.17,2000,0
2014-12-22,20:40:00,0.17,0.17,0.17,0.17,100,0
2014-12-22,21:00:00,0.17,0.17,0.17,0.17,4000,0
2014-12-22,21:05:00,0.17,0.17,0.17,0.17,100,0
2014-12-22,21:10:00,0.17,0.17,0.17,0.17,1662,0
2014-12-22,21:15:00,0.17,0.17,0.17,0.17,456,0
2014-12-22,21:20:00,0.17,0.17,0.17,0.17,100,0
2014-12-22,21:25:00,0.17,0.17,0.17,0.17,200,0
2014-12-22,21:30:00,0.17,0.17,0.17,0.17,200,0
2014-12-22,21:35:00,0.17,0.17,0.17,0.17,7045,0
2014-12-22,21:40:00,0.17,0.18,0.17,0.18,837,0
2014-12-22,21:50:00,0.17,0.18,0.17,0.18,4400,0
2014-12-22,21:55:00,0.18,0.18,0.17,0.17,3377,0
2014-12-22,22:00:00,0.17,0.19,0.17,0.19,3252,0
2014-12-23,15:35:00,0.2,0.2,0.2,0.2,10100,0
2014-12-23,15:40:00,0.2,0.2,0.2,0.2,100,0
2014-12-23,15:55:00,0.2,0.2,0.18,0.18,16985,0
2014-12-23,16:00:00,0.18,0.18,0.18,0.18,300,0
2014-12-23,16:05:00,0.18,0.18,0.18,0.18,100,0
2014-12-23,16:15:00,0.18,0.18,0.18,0.18,300,0
2014-12-23,16:35:00,0.18,0.18,0.18,0.18,2000,0
2014-12-23,16:40:00,0.18,0.18,0.18,0.18,200,0
2014-12-23,16:55:00,0.17,0.17,0.17,0.17,500,0
2014-12-23,17:05:00,0.18,0.18,0.18,0.18,1600,0
2014-12-23,17:10:00,0.17,0.17,0.17,0.17,800,0
2014-12-23,17:15:00,0.18,0.18,0.18,0.18,1280,0
2014-12-23,17:40:00,0.18,0.18,0.18,0.18,6500,0
2014-12-23,17:45:00,0.18,0.18,0.18,0.18,766,0
2014-12-23,18:00:00,0.17,0.17,0.17,0.17,225,0
2014-12-23,18:10:00,0.17,0.17,0.17,0.17,100,0
2014-12-23,18:20:00,0.17,0.17,0.17,0.17,100,0
2014-12-23,18:25:00,0.17,0.17,0.17,0.17,22157,0
2014-12-23,18:30:00,0.17,0.18,0.17,0.18,800,0
2014-12-23,19:20:00,0.17,0.17,0.17,0.17,600,0
2014-12-23,19:25:00,0.17,0.17,0.17,0.17,100,0
2014-12-23,19:45:00,0.17,0.17,0.17,0.17,3600,0
2014-12-23,20:05:00,0.17,0.18,0.17,0.18,500,0
2014-12-23,20:25:00,0.17,0.17,0.17,0.17,300,0
2014-12-23,20:40:00,0.17,0.17,0.17,0.17,3800,0
2014-12-23,20:45:00,0.17,0.17,0.17,0.17,3000,0
2014-12-23,20:50:00,0.17,0.17,0.17,0.17,100,0
2014-12-23,21:05:00,0.18,0.18,0.17,0.17,900,0
2014-12-23,21:10:00,0.17,0.18,0.17,0.18,2600,0
2014-12-23,21:25:00,0.17,0.18,0.17,0.17,350,0
2014-12-23,21:35:00,0.17,0.17,0.17,0.17,100,0
2014-12-23,21:40:00,0.18,0.18,0.18,0.18,700,0
2014-12-23,21:50:00,0.18,0.18,0.17,0.17,300,0
2014-12-23,21:55:00,0.17,0.17,0.17,0.17,300,0
2014-12-23,22:00:00,0.18,0.18,0.17,0.17,4282,0
2014-12-24,16:10:00,0.17,0.17,0.17,0.17,4000,0
