Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-21,16:15:00,33.24,33.25,33.21,33.25,11214,0
2015-01-21,16:25:00,33.22,33.22,33.19,33.19,600,0
2015-01-21,16:30:00,33.2,33.2,33.16,33.16,3338,0
2015-01-21,16:35:00,33.15,33.15,33.15,33.15,500,0
2015-01-21,16:50:00,33.07,33.08,33.06,33.06,10000,0
2015-01-21,16:55:00,33.06,33.12,33.06,33.12,10700,0
2015-01-21,17:00:00,33.1,33.13,33.1,33.1,590,0
2015-01-21,17:20:00,33.09,33.14,33.09,33.1,401416,0
2015-01-21,17:30:00,33.09,33.14,33.09,33.14,600,0
2015-01-21,17:40:00,33.07,33.08,33.07,33.08,6000,0
2015-01-21,17:50:00,33.07,33.07,33.07,33.07,6100,0
2015-01-21,17:55:00,33.05,33.08,33.02,33.08,300298,0
2015-01-21,18:00:00,33.12,33.12,33.05,33.05,6647,0
2015-01-21,18:05:00,33.11,33.12,33.06,33.06,3168,0
2015-01-21,18:15:00,33.04,33.04,33.04,33.04,1500,0
2015-01-21,18:40:00,33.04,33.09,33.04,33.09,431,0
2015-01-21,18:45:00,33.08,33.08,33.04,33.04,606,0
2015-01-21,18:50:00,33.05,33.05,33.05,33.05,34395,0
2015-01-21,18:55:00,33.06,33.08,33.06,33.08,415,0
2015-01-21,19:05:00,33.08,33.08,33.07,33.07,228,0
2015-01-21,19:15:00,33.08,33.08,33.08,33.08,900,0
2015-01-21,19:20:00,33.07,33.07,33.07,33.07,100,0
2015-01-21,19:25:00,33.08,33.08,33.08,33.08,400,0
2015-01-21,19:30:00,33.07,33.09,33.07,33.09,4500,0
2015-01-21,19:35:00,33.06,33.09,33.05,33.05,1700,0
2015-01-21,19:45:00,33.05,33.05,33.05,33.05,417,0
2015-01-21,19:50:00,33.09,33.09,33.09,33.09,400,0
2015-01-21,19:55:00,33.09,33.09,33.06,33.08,2188,0
2015-01-21,20:05:00,33.09,33.09,33.09,33.09,339,0
2015-01-21,20:10:00,33.07,33.07,33.07,33.07,300,0
2015-01-21,20:15:00,33.08,33.08,33.08,33.08,5585,0
2015-01-21,20:25:00,33.1,33.1,33.08,33.08,980,0
2015-01-21,20:30:00,33.13,33.14,33.09,33.14,3600,0
2015-01-21,20:35:00,33.09,33.09,33.09,33.09,831,0
2015-01-21,20:45:00,33.12,33.15,33.12,33.15,300,0
2015-01-21,20:55:00,33.12,33.13,33.1,33.11,41213,0
2015-01-21,21:05:00,33.12,33.12,33.11,33.11,250,0
2015-01-21,21:10:00,33.11,33.16,33.11,33.11,4117,0
2015-01-21,21:15:00,33.1,33.11,33.09,33.09,800,0
2015-01-21,21:20:00,33.14,33.14,33.1,33.1,405,0
2015-01-21,21:25:00,33.11,33.11,33.1,33.1,1960,0
2015-01-21,21:35:00,33.1,33.12,33.1,33.12,985,0
2015-01-21,21:40:00,33.12,33.12,33.09,33.09,10742,0
2015-01-21,21:45:00,33.13,33.13,33.13,33.13,2544,0
2015-01-21,21:50:00,33.13,33.13,33.09,33.09,916,0
2015-01-21,21:55:00,33.12,33.12,33.1,33.12,843,0
2015-01-21,22:00:00,33.13,33.13,33.11,33.11,1016,0
2015-01-22,15:35:00,32.91,32.91,32.91,32.91,900,0
2015-01-22,15:40:00,32.91,32.97,32.91,32.97,3200,0
2015-01-22,15:55:00,32.8,32.81,32.8,32.8,7101,0
2015-01-22,16:15:00,32.87,32.87,32.87,32.87,232,0
2015-01-22,16:25:00,32.84,32.84,32.84,32.84,1734,0
2015-01-22,16:45:00,32.82,32.82,32.8,32.8,3048,0
2015-01-22,17:05:00,32.76,32.76,32.76,32.76,450,0
2015-01-22,17:20:00,32.73,32.73,32.73,32.73,824,0
2015-01-22,17:45:00,32.76,32.76,32.73,32.73,2728,0
2015-01-22,17:50:00,32.77,32.77,32.74,32.74,908,0
2015-01-22,17:55:00,32.73,32.73,32.73,32.73,538,0
2015-01-22,18:00:00,32.75,32.75,32.75,32.75,805,0
2015-01-22,18:20:00,32.73,32.73,32.73,32.73,6900,0
2015-01-22,18:25:00,32.71,32.73,32.71,32.73,728,0
2015-01-22,18:35:00,32.74,32.74,32.74,32.74,589,0
2015-01-22,18:45:00,32.7,32.7,32.65,32.67,2506,0
2015-01-22,18:50:00,32.7,32.7,32.7,32.7,238,0
2015-01-22,18:55:00,32.66,32.66,32.66,32.66,642,0
2015-01-22,19:00:00,32.68,32.68,32.68,32.68,159,0
2015-01-22,19:15:00,32.61,32.61,32.6,32.6,4026,0
2015-01-22,19:20:00,32.61,32.61,32.6,32.6,900,0
2015-01-22,19:25:00,32.61,32.65,32.6,32.6,3251,0
2015-01-22,19:30:00,32.65,32.65,32.65,32.65,1996,0
2015-01-22,19:55:00,32.64,32.64,32.64,32.64,906,0
2015-01-22,20:00:00,32.63,32.63,32.63,32.63,102,0
2015-01-22,20:05:00,32.61,32.65,32.61,32.65,422,0
2015-01-22,20:10:00,32.65,32.65,32.65,32.65,854,0
2015-01-22,20:15:00,32.65,32.65,32.65,32.65,200,0
2015-01-22,20:25:00,32.68,32.68,32.68,32.68,125,0
2015-01-22,20:30:00,32.67,32.67,32.67,32.67,3605,0
2015-01-22,20:50:00,32.64,32.67,32.64,32.65,3036,0
2015-01-22,20:55:00,32.67,32.67,32.67,32.67,770,0
2015-01-22,21:10:00,32.63,32.63,32.63,32.63,3292,0
2015-01-22,21:15:00,32.62,32.65,32.6,32.6,6516,0
2015-01-22,21:20:00,32.61,32.61,32.59,32.59,4260,0
2015-01-22,21:25:00,32.58,32.59,32.58,32.58,531,0
2015-01-22,21:30:00,32.58,32.6,32.58,32.6,1405,0
2015-01-22,21:35:00,32.6,32.61,32.57,32.58,11410,0
2015-01-22,21:40:00,32.58,32.58,32.58,32.58,1120,0
2015-01-22,21:45:00,32.58,32.58,32.57,32.57,1149,0
2015-01-22,21:50:00,32.55,32.55,32.55,32.55,290,0
