Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-04-09,20:45:00,24.59,24.59,24.59,24.59,141,0
2014-04-10,17:15:00,24.426,24.426,24.426,24.426,241,0
2014-04-10,17:45:00,24.436,24.445,24.426,24.436,1422,0
2014-04-10,21:10:00,24.201,24.201,24.201,24.201,501,0
2014-04-10,22:00:00,24.26,24.26,24.26,24.26,579,0
2014-04-11,15:35:00,24.054,24.054,24.054,24.054,307,0
2014-04-11,20:45:00,24.035,24.035,24.035,24.035,205,0
2014-04-11,21:15:00,23.996,24.035,23.996,24.035,211,0
2014-04-14,16:35:00,23.888,23.888,23.888,23.888,1227,0
2014-04-14,21:35:00,23.849,23.849,23.849,23.849,433,0
2014-04-15,16:15:00,23.898,23.898,23.898,23.898,1023,0
2014-04-16,19:30:00,24.083,24.083,24.083,24.083,46666,0
2014-04-17,15:35:00,24.368,24.368,24.368,24.368,613,0
2014-04-17,16:35:00,24.25,24.25,24.221,24.221,512,0
2014-04-21,16:25:00,24.289,24.298,24.289,24.289,1186,0
2014-04-21,18:05:00,24.298,24.298,24.298,24.298,205,0
2014-04-21,21:00:00,24.338,24.348,24.338,24.348,759,0
2014-04-21,21:05:00,24.348,24.348,24.298,24.348,762,0
2014-04-22,16:35:00,24.298,24.298,24.298,24.298,205,0
2014-04-22,19:30:00,24.298,24.298,24.298,24.298,264,0
2014-04-22,20:20:00,24.26,24.26,24.26,24.26,197,0
2014-04-22,20:50:00,24.308,24.308,24.308,24.308,137,0
2014-04-22,21:00:00,24.269,24.269,24.269,24.269,137,0
2014-04-22,21:10:00,24.289,24.289,24.289,24.289,1057,0
2014-04-23,19:35:00,24.279,24.279,24.279,24.279,1023,0
2014-04-23,19:40:00,24.279,24.279,24.279,24.279,1534,0
2014-04-23,22:00:00,24.328,24.328,24.328,24.328,102,0
2014-04-24,16:55:00,24.318,24.318,24.318,24.318,245,0
2014-04-24,18:55:00,24.376,24.386,24.368,24.386,2552,0
2014-04-24,19:00:00,24.396,24.406,24.386,24.386,9804,0
2014-04-24,19:05:00,24.386,24.406,24.386,24.396,2966,0
2014-04-24,19:10:00,24.396,24.406,24.386,24.386,2045,0
2014-04-24,19:15:00,24.386,24.386,24.368,24.368,309,0
2014-04-24,20:40:00,24.368,24.368,24.348,24.348,1738,0
2014-04-25,20:15:00,24.358,24.368,24.358,24.368,6546,0
2014-04-25,21:45:00,24.368,24.368,24.358,24.358,205,0
2014-04-28,20:05:00,24.279,24.279,24.279,24.279,641,0
2014-04-28,20:20:00,24.338,24.338,24.338,24.338,7056,0
2014-04-28,20:35:00,24.338,24.338,24.338,24.338,512,0
2014-04-28,20:50:00,24.338,24.338,24.338,24.338,1534,0
2014-04-28,21:10:00,24.338,24.338,24.338,24.338,512,0
