Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-12-10,18:45:00,8.71,8.71,8.70,8.70,1051,0
2014-12-10,18:50:00,8.7115,8.7115,8.7115,8.7115,210,0
2014-12-10,19:15:00,8.7115,8.7115,8.7019,8.7115,2376,0
2014-12-10,19:35:00,8.7019,8.721,8.7019,8.721,525,0
2014-12-10,20:05:00,8.721,8.721,8.721,8.721,105,0
2014-12-10,20:30:00,8.7019,8.7115,8.6829,8.6924,6273,0
2014-12-10,20:35:00,8.7019,8.7019,8.7019,8.7019,1682,0
2014-12-10,20:45:00,8.6924,8.6924,8.6924,8.6924,526,0
2014-12-10,20:50:00,8.7115,8.7115,8.7115,8.7115,631,0
2014-12-10,21:00:00,8.7115,8.7115,8.7019,8.7019,763,0
2014-12-10,21:15:00,8.6924,8.6924,8.6924,8.6924,355,0
2014-12-10,21:30:00,8.7115,8.7115,8.7115,8.7115,105,0
2014-12-10,22:00:00,8.721,8.721,8.721,8.721,842,0
2014-12-11,15:35:00,8.721,8.721,8.721,8.721,1440,0
2014-12-11,15:50:00,8.7305,8.7305,8.7305,8.7305,210,0
2014-12-11,16:20:00,8.7305,8.7305,8.7305,8.7305,1156,0
2014-12-11,16:25:00,8.7305,8.7305,8.7305,8.7305,3376,0
2014-12-11,16:35:00,8.7305,8.7305,8.721,8.721,2522,0
2014-12-11,16:50:00,8.7305,8.7305,8.7305,8.7305,1051,0
2014-12-11,16:55:00,8.7305,8.7305,8.7305,8.7305,315,0
2014-12-11,17:00:00,8.721,8.721,8.721,8.721,1051,0
2014-12-11,17:15:00,8.7305,8.7305,8.7305,8.7305,946,0
2014-12-11,17:20:00,8.7305,8.7305,8.721,8.721,210,0
2014-12-11,17:25:00,8.7305,8.7305,8.7305,8.7305,1156,0
2014-12-11,17:35:00,8.7305,8.7305,8.7305,8.7305,610,0
2014-12-11,17:40:00,8.7305,8.7305,8.7305,8.7305,210,0
2014-12-11,17:45:00,8.721,8.721,8.721,8.721,3154,0
2014-12-11,18:00:00,8.7305,8.7305,8.7305,8.7305,1051,0
2014-12-11,18:20:00,8.721,8.721,8.721,8.721,1367,0
2014-12-11,18:25:00,8.721,8.721,8.7019,8.7019,631,0
2014-12-11,18:55:00,8.7115,8.7115,8.7115,8.7115,105,0
2014-12-11,19:25:00,8.721,8.721,8.721,8.721,1052,0
2014-12-11,19:30:00,8.721,8.721,8.721,8.721,1052,0
2014-12-11,19:40:00,8.7115,8.7115,8.7115,8.7115,526,0
2014-12-11,19:45:00,8.7115,8.7115,8.7115,8.7115,105,0
2014-12-11,19:50:00,8.7019,8.7019,8.6829,8.6829,2838,0
2014-12-11,20:00:00,8.7019,8.7019,8.7019,8.7019,105,0
2014-12-11,20:25:00,8.6924,8.6924,8.6924,8.6924,630,0
2014-12-11,20:55:00,8.6829,8.6924,8.6449,8.6924,9119,0
2014-12-11,21:50:00,8.6829,8.6924,8.6829,8.6924,841,0
2014-12-11,21:55:00,8.6829,8.6829,8.6734,8.6734,1577,0
2014-12-11,22:00:00,8.6829,8.7019,8.6829,8.7019,473,0
2014-12-12,15:50:00,8.74,8.74,8.74,8.74,525,0
2014-12-12,15:55:00,8.7305,8.7305,8.7305,8.7305,315,0
2014-12-12,16:00:00,8.7115,8.7305,8.7115,8.7305,1368,0
2014-12-12,16:05:00,8.7019,8.7019,8.7019,8.7019,946,0
2014-12-12,16:35:00,8.721,8.721,8.721,8.721,105,0
2014-12-12,16:40:00,8.721,8.721,8.721,8.721,1366,0
2014-12-12,16:45:00,8.721,8.721,8.721,8.721,630,0
2014-12-12,16:50:00,8.7115,8.7115,8.7019,8.7019,550,0
2014-12-12,17:05:00,8.7019,8.7019,8.7019,8.7019,1260,0
2014-12-12,18:25:00,8.7019,8.7115,8.6924,8.6924,1473,0
2014-12-12,18:30:00,8.7115,8.7115,8.7115,8.7115,315,0
2014-12-12,18:40:00,8.721,8.721,8.721,8.721,105,0
2014-12-12,19:00:00,8.7115,8.7115,8.7115,8.7115,688,0
2014-12-12,19:10:00,8.721,8.721,8.721,8.721,130,0
2014-12-12,19:15:00,8.7115,8.7115,8.7115,8.7115,158,0
2014-12-12,19:20:00,8.7115,8.7115,8.7115,8.7115,130,0
2014-12-12,19:25:00,8.7115,8.721,8.7019,8.7019,550,0
2014-12-12,19:40:00,8.7019,8.7019,8.6734,8.7019,4806,0
2014-12-12,19:45:00,8.6829,8.6829,8.6639,8.6639,1785,0
2014-12-12,20:40:00,8.6639,8.6639,8.6639,8.6639,105,0
2014-12-12,21:00:00,8.6544,8.6544,8.6544,8.6544,563,0
2014-12-12,21:05:00,8.6544,8.6544,8.6544,8.6544,346,0
2014-12-12,21:20:00,8.6544,8.6734,8.6544,8.6734,1050,0
2014-12-12,21:25:00,8.6734,8.6734,8.6734,8.6734,1378,0
2014-12-12,21:45:00,8.6734,8.6734,8.6734,8.6734,105,0
2014-12-12,21:50:00,8.6734,8.6734,8.6639,8.6639,1891,0
2014-12-12,21:55:00,8.6639,8.6639,8.6544,8.6544,525,0
2014-12-12,22:00:00,8.6829,8.7115,8.6544,8.7019,5885,0
2014-12-15,15:35:00,8.6734,8.6734,8.6734,8.6734,1051,0
2014-12-15,15:40:00,8.6734,8.6734,8.6354,8.6639,4715,0
2014-12-15,15:45:00,8.6354,8.6354,8.6354,8.6354,631,0
2014-12-15,15:55:00,8.6259,8.6259,8.6259,8.6259,297,0
2014-12-15,16:00:00,8.6354,8.6354,8.6354,8.6354,105,0
2014-12-15,16:15:00,8.6259,8.6354,8.6163,8.6163,4522,0
2014-12-15,16:40:00,8.6068,8.6068,8.6068,8.6068,210,0
2014-12-15,16:45:00,8.6068,8.6068,8.6068,8.6068,210,0
2014-12-15,16:55:00,8.5878,8.5878,8.5403,8.5403,10304,0
2014-12-15,17:15:00,8.5403,8.5498,8.5403,8.5498,1093,0
2014-12-15,17:20:00,8.5593,8.5593,8.5498,8.5593,1261,0
2014-12-15,17:25:00,8.5593,8.5783,8.5593,8.5783,210,0
2014-12-15,17:30:00,8.5783,8.5783,8.5593,8.5593,1472,0
2014-12-15,17:35:00,8.5688,8.5688,8.5688,8.5688,1263,0
2014-12-15,17:40:00,8.5593,8.5593,8.5593,8.5593,2104,0
2014-12-15,17:50:00,8.5403,8.5403,8.4642,8.4832,735,0
2014-12-15,17:55:00,8.4642,8.4642,8.4642,8.4642,1168,0
2014-12-15,19:10:00,8.5593,8.5593,8.5593,8.5593,315,0
2014-12-15,19:40:00,8.5212,8.5212,8.5212,8.5212,526,0
2014-12-15,20:05:00,8.5308,8.5308,8.5308,8.5308,210,0
2014-12-15,20:30:00,8.5498,8.5498,8.5498,8.5498,421,0
2014-12-15,20:40:00,8.5498,8.5498,8.5498,8.5498,210,0
2014-12-15,20:45:00,8.5212,8.5212,8.5212,8.5212,210,0
2014-12-15,21:20:00,8.5593,8.5593,8.5593,8.5593,315,0
2014-12-15,21:25:00,8.5308,8.5308,8.5308,8.5308,421,0
2014-12-15,21:40:00,8.5498,8.5498,8.5498,8.5498,210,0
2014-12-15,21:55:00,8.5403,8.5403,8.5403,8.5403,1051,0
2014-12-15,22:00:00,8.5308,8.5593,8.5308,8.5593,1367,0
2014-12-16,15:35:00,8.4452,8.4452,8.4452,8.4452,2103,0
2014-12-16,15:45:00,8.4452,8.4547,8.4452,8.4547,1840,0
2014-12-16,15:55:00,8.4357,8.4357,8.4357,8.4357,2103,0
2014-12-16,16:05:00,8.4547,8.4547,8.4547,8.4547,105,0
2014-12-16,16:10:00,8.4452,8.4642,8.4452,8.4547,3055,0
2014-12-16,16:20:00,8.4547,8.4547,8.4547,8.4547,105,0
2014-12-16,16:35:00,8.4927,8.4927,8.4737,8.4737,1156,0
2014-12-16,16:40:00,8.4832,8.4832,8.4832,8.4832,1052,0
2014-12-16,17:00:00,8.4927,8.4927,8.4927,8.4927,841,0
2014-12-16,17:05:00,8.4737,8.4737,8.4737,8.4737,631,0
2014-12-16,17:20:00,8.5022,8.5022,8.5022,8.5022,2103,0
2014-12-16,17:25:00,8.5403,8.5403,8.5403,8.5403,105,0
2014-12-16,17:30:00,8.5212,8.5212,8.5212,8.5212,841,0
