Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-22,16:30:00,155.85,155.85,155.85,155.85,1900,0
2015-01-22,16:50:00,156.08,156.08,156.08,156.08,800,0
2015-01-22,17:10:00,156.36,156.36,156.28,156.32,2426,0
2015-01-22,17:25:00,156.54,156.55,156.54,156.55,940,0
2015-01-22,17:30:00,156.53,156.53,156.48,156.48,1700,0
2015-01-22,17:35:00,156.32,156.32,156.32,156.32,100,0
2015-01-22,17:45:00,156.29,156.29,156.29,156.29,200,0
2015-01-22,17:50:00,156.2,156.2,156.2,156.2,3332,0
2015-01-22,17:55:00,156.12,156.12,156.12,156.12,122,0
2015-01-22,18:00:00,156.25,156.35,156.25,156.35,775,0
2015-01-22,18:10:00,156.36,156.36,156.31,156.31,1100,0
2015-01-22,18:30:00,156.55,156.55,156.55,156.55,600,0
2015-01-22,18:45:00,156.46,156.46,156.46,156.46,200,0
2015-01-22,18:50:00,156.46,156.48,156.45,156.45,5121,0
2015-01-22,19:00:00,156.3,156.39,156.3,156.39,1100,0
2015-01-22,19:20:00,156.38,156.38,156.38,156.38,882,0
2015-01-22,19:25:00,156.16,156.16,156.1,156.1,700,0
2015-01-22,19:35:00,156.13,156.24,156.1,156.24,3100,0
2015-01-22,20:05:00,156.27,156.27,156.27,156.27,600,0
2015-01-22,20:10:00,156.41,156.42,156.41,156.42,800,0
2015-01-22,20:15:00,156.35,156.35,156.23,156.31,1900,0
2015-01-22,20:30:00,156.55,156.55,156.55,156.55,567,0
2015-01-22,20:35:00,156.87,156.87,156.8,156.8,1788,0
2015-01-22,20:40:00,156.78,156.94,156.77,156.94,1309,0
2015-01-22,20:45:00,156.87,156.87,156.87,156.87,800,0
2015-01-22,20:50:00,156.94,156.97,156.94,156.97,3700,0
2015-01-22,21:00:00,157.14,157.19,157.14,157.18,2066,0
2015-01-22,21:05:00,157.29,157.29,157.18,157.18,640,0
2015-01-22,21:10:00,157.26,157.26,157.26,157.26,585,0
2015-01-22,21:15:00,157.31,157.31,157.21,157.21,500,0
2015-01-22,21:20:00,157.38,157.38,157.37,157.37,2366,0
2015-01-22,21:25:00,157.28,157.28,157.28,157.28,800,0
2015-01-22,21:30:00,157.12,157.19,157.12,157.19,1100,0
2015-01-22,21:55:00,157.25,157.25,157.25,157.25,1590,0
2015-01-22,22:00:00,157.47,157.47,157.47,157.47,600,0
2015-01-23,15:50:00,157.68,157.68,157.52,157.52,700,0
2015-01-23,15:55:00,157.59,157.59,157.59,157.59,300,0
2015-01-23,16:00:00,157.64,157.64,157.64,157.64,1000,0
2015-01-23,16:05:00,157.86,157.86,157.86,157.86,2000,0
2015-01-23,16:10:00,157.74,157.8,157.74,157.8,800,0
2015-01-23,16:15:00,157.86,157.86,157.86,157.86,464,0
2015-01-23,16:20:00,157.73,157.73,157.7,157.7,748,0
2015-01-23,16:35:00,157.66,157.66,157.65,157.65,500,0
2015-01-23,16:40:00,157.27,157.27,157.27,157.27,3160,0
2015-01-23,16:45:00,157.32,157.32,157.32,157.32,700,0
2015-01-23,17:05:00,157.64,157.65,157.64,157.65,1800,0
2015-01-23,17:15:00,157.31,157.36,157.31,157.36,560,0
2015-01-23,17:20:00,157.6,157.6,157.6,157.6,660,0
2015-01-23,17:30:00,158.0,158.0,158.0,158.0,1029,0
2015-01-23,17:40:00,158.1,158.11,158.09,158.11,6285,0
2015-01-23,17:50:00,158.08,158.08,158.08,158.08,200,0
2015-01-23,17:55:00,157.96,157.96,157.96,157.96,2700,0
2015-01-23,18:05:00,157.96,157.96,157.96,157.96,1600,0
2015-01-23,18:55:00,157.83,157.83,157.8,157.8,1000,0
2015-01-23,19:05:00,157.79,157.79,157.72,157.72,6900,0
2015-01-23,19:25:00,157.77,157.77,157.77,157.77,800,0
2015-01-23,19:40:00,157.79,157.81,157.79,157.81,1400,0
2015-01-23,19:50:00,157.87,157.87,157.87,157.87,100,0
2015-01-23,19:55:00,157.91,157.93,157.87,157.89,1760,0
2015-01-23,20:00:00,157.9,157.9,157.86,157.86,2000,0
2015-01-23,20:25:00,157.73,157.73,157.73,157.73,1400,0
2015-01-23,20:35:00,157.64,157.7,157.64,157.7,456,0
2015-01-23,20:40:00,157.62,157.69,157.62,157.68,1200,0
2015-01-23,20:50:00,157.6,157.6,157.49,157.49,857,0
2015-01-23,20:55:00,157.49,157.49,157.49,157.49,501,0
2015-01-23,21:05:00,157.53,157.53,157.53,157.53,1360,0
2015-01-23,21:15:00,157.54,157.56,157.54,157.56,580,0
