Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-07-24,17:30:00,50.16,50.16,50.16,50.16,972,0
2014-07-24,18:15:00,49.864,49.864,49.864,49.864,428,0
2014-07-24,18:25:00,49.835,49.961,49.835,49.961,1241,0
2014-07-24,18:50:00,49.855,49.874,49.855,49.874,828,0
2014-07-24,18:55:00,49.904,49.904,49.904,49.904,103,0
2014-07-24,19:15:00,49.894,49.971,49.894,49.971,433,0
2014-07-24,19:30:00,49.99,50.029,49.99,50.029,3145,0
2014-07-24,19:40:00,49.952,49.952,49.952,49.952,208,0
2014-07-24,19:45:00,49.942,49.942,49.942,49.942,310,0
2014-07-24,20:05:00,49.777,49.777,49.777,49.777,658,0
2014-07-24,20:10:00,49.749,49.749,49.749,49.749,208,0
2014-07-24,21:30:00,49.749,49.749,49.749,49.749,240,0
2014-07-24,21:50:00,49.749,49.767,49.749,49.767,310,0
2014-07-24,22:00:00,49.777,49.777,49.777,49.777,285,0
2014-07-25,17:15:00,49.739,49.739,49.739,49.739,310,0
2014-07-25,17:20:00,49.796,49.796,49.796,49.796,932,0
2014-07-25,19:20:00,49.71,49.71,49.71,49.71,208,0
2014-07-25,19:30:00,49.72,49.72,49.72,49.72,103,0
2014-07-25,19:35:00,49.72,49.72,49.72,49.72,414,0
2014-07-25,20:05:00,49.71,49.71,49.71,49.71,103,0
2014-07-25,20:10:00,49.71,49.71,49.681,49.681,585,0
2014-07-25,22:00:00,49.681,49.681,49.681,49.681,238,0
2014-07-28,15:55:00,49.681,49.681,49.681,49.681,1448,0
2014-07-28,17:25:00,49.786,49.786,49.786,49.786,399,0
2014-07-28,17:45:00,50.029,50.029,50.029,50.029,300,0
2014-07-28,18:25:00,50.029,50.029,50.029,50.029,616,0
2014-07-28,19:50:00,49.681,49.681,49.681,49.681,212,0
2014-07-28,20:05:00,49.942,49.942,49.942,49.942,218,0
2014-07-28,20:30:00,49.691,49.691,49.691,49.691,208,0
2014-07-28,21:05:00,49.701,49.701,49.691,49.691,208,0
2014-07-28,21:50:00,49.961,49.961,49.961,49.961,310,0
2014-07-28,22:00:00,49.961,49.961,49.961,49.961,310,0
2014-07-29,15:45:00,49.641,49.641,49.641,49.641,518,0
2014-07-29,17:10:00,50.029,50.029,50.029,50.029,428,0
2014-07-29,17:20:00,49.621,49.621,49.621,49.621,208,0
2014-07-29,19:10:00,49.73,49.73,49.72,49.72,620,0
2014-07-29,19:15:00,49.73,49.777,49.73,49.777,1448,0
2014-07-29,19:20:00,49.651,49.651,49.651,49.651,620,0
2014-07-29,20:55:00,49.923,49.923,49.631,49.777,6088,0
2014-07-29,22:00:00,49.621,49.621,49.621,49.621,620,0
2014-07-30,17:30:00,49.409,49.409,49.399,49.399,209,0
2014-07-30,18:05:00,49.409,49.409,49.409,49.409,103,0
2014-07-30,18:10:00,49.399,49.399,49.399,49.399,310,0
2014-07-30,18:35:00,49.469,49.469,49.469,49.469,2960,0
2014-07-30,21:30:00,49.469,49.469,49.409,49.409,1169,0
2014-07-31,15:45:00,49.196,49.236,49.196,49.236,1252,0
2014-07-31,16:35:00,48.964,48.964,48.964,48.964,516,0
2014-07-31,17:55:00,49.05,49.05,49.05,49.05,1232,0
2014-07-31,19:55:00,49.137,49.137,49.137,49.137,133,0
2014-07-31,20:15:00,49.147,49.147,49.147,49.147,1184,0
2014-07-31,20:45:00,49.06,49.06,49.06,49.06,438,0
2014-08-01,16:15:00,48.954,49.04,48.954,48.964,1237,0
2014-08-01,18:55:00,49.06,49.06,49.06,49.06,220,0
2014-08-01,19:05:00,49.03,49.03,49.03,49.03,1088,0
2014-08-01,20:30:00,49.274,49.332,49.274,49.332,533,0
2014-08-04,15:35:00,48.874,48.874,48.874,48.874,1010,0
2014-08-04,15:45:00,49.088,49.088,49.078,49.078,207,0
2014-08-04,16:55:00,49.117,49.117,49.117,49.117,999,0
2014-08-04,21:10:00,49.088,49.088,49.088,49.088,426,0
2014-08-05,16:45:00,49.828,49.828,49.828,49.828,207,0
2014-08-05,17:15:00,49.828,49.828,49.828,49.828,440,0
2014-08-05,19:15:00,49.633,49.633,49.342,49.342,213,0
2014-08-05,19:25:00,48.214,48.214,48.214,48.214,878,0
2014-08-05,20:35:00,48.807,48.807,48.807,48.807,102,0
2014-08-05,21:55:00,48.924,48.924,48.924,48.924,919,0
2014-08-06,17:05:00,48.758,48.758,48.758,48.758,412,0
2014-08-06,18:20:00,48.904,48.904,48.904,48.904,824,0
2014-08-06,20:00:00,48.944,48.944,48.904,48.904,309,0
2014-08-06,20:10:00,48.954,48.954,48.954,48.954,665,0
2014-08-06,21:25:00,48.884,48.884,48.884,48.884,207,0
2014-08-06,21:40:00,48.904,48.904,48.904,48.904,412,0
2014-08-06,21:55:00,48.904,48.934,48.904,48.934,1378,0
2014-08-07,17:15:00,49.001,49.001,49.001,49.001,579,0
2014-08-07,17:30:00,49.078,49.078,49.078,49.078,516,0
2014-08-07,20:10:00,49.245,49.245,49.245,49.245,389,0
2014-08-08,19:45:00,49.177,49.177,49.177,49.177,516,0
2014-08-11,16:05:00,49.362,49.362,49.362,49.362,207,0
2014-08-11,19:55:00,49.362,49.362,49.284,49.284,626,0
2014-08-12,17:30:00,49.585,49.585,49.469,49.469,4110,0
2014-08-12,19:10:00,49.537,49.537,49.537,49.537,366,0
2014-08-12,20:45:00,49.527,49.557,49.527,49.557,1256,0
2014-08-12,20:50:00,49.537,49.537,49.537,49.537,412,0
2014-08-13,16:25:00,49.078,49.078,49.078,49.078,102,0
2014-08-13,16:45:00,49.098,49.108,49.098,49.108,3256,0
2014-08-13,20:05:00,49.399,49.399,49.399,49.399,223,0
2014-08-13,20:20:00,49.389,49.409,49.38,49.409,3387,0
2014-08-13,20:55:00,49.284,49.284,49.284,49.284,207,0
2014-08-13,21:05:00,49.284,49.284,49.284,49.284,516,0
2014-08-13,21:35:00,49.078,49.078,49.078,49.078,548,0
2014-08-13,22:00:00,49.342,49.38,49.342,49.362,926,0
2014-08-14,16:05:00,49.489,49.489,49.489,49.489,1131,0
2014-08-14,17:10:00,49.469,49.469,49.469,49.469,581,0
2014-08-14,18:15:00,49.206,49.206,49.206,49.206,1027,0
2014-08-14,19:35:00,49.226,49.226,49.226,49.226,412,0
2014-08-14,20:05:00,49.38,49.38,49.38,49.38,1280,0
2014-08-14,21:20:00,49.167,49.167,49.157,49.157,309,0
2014-08-14,21:40:00,49.177,49.177,49.177,49.177,146,0
2014-08-15,17:10:00,49.439,49.439,49.439,49.439,330,0
2014-08-15,20:10:00,49.439,49.439,49.439,49.439,663,0
2014-08-15,21:05:00,48.224,48.224,48.224,48.224,201,0
2014-08-18,15:50:00,49.098,49.673,49.098,49.673,1099,0
2014-08-18,16:30:00,49.751,49.751,49.751,49.751,207,0
2014-08-18,16:50:00,48.224,48.224,48.224,48.224,2875,0
2014-08-19,16:35:00,49.965,49.965,49.965,49.965,214,0
2014-08-19,16:40:00,49.623,49.623,49.623,49.623,4111,0
2014-08-19,18:40:00,49.623,49.623,49.623,49.623,118,0
2014-08-19,18:55:00,49.449,49.449,49.449,49.449,207,0
2014-08-19,19:10:00,49.459,49.459,49.449,49.449,309,0
2014-08-19,19:15:00,49.518,49.518,49.459,49.459,617,0
2014-08-19,19:30:00,49.459,49.469,49.459,49.469,412,0
2014-08-19,19:35:00,49.469,49.537,49.469,49.537,1236,0
2014-08-19,19:40:00,49.479,49.489,49.479,49.489,309,0
2014-08-19,19:45:00,49.498,49.508,49.498,49.508,1854,0
2014-08-19,19:50:00,49.537,49.575,49.489,49.489,2160,0
2014-08-19,19:55:00,49.527,49.537,49.449,49.449,926,0
2014-08-19,20:05:00,49.459,49.489,49.459,49.489,721,0
2014-08-19,20:10:00,49.761,49.761,49.489,49.489,620,0
2014-08-19,20:15:00,49.527,49.527,49.489,49.489,927,0
2014-08-19,20:30:00,49.489,49.489,49.489,49.489,412,0
2014-08-19,20:35:00,49.489,49.527,49.489,49.527,516,0
2014-08-19,20:40:00,49.489,49.498,49.489,49.489,412,0
2014-08-19,20:45:00,49.537,49.537,49.537,49.537,309,0
2014-08-19,20:50:00,49.489,49.498,49.489,49.498,309,0
2014-08-19,20:55:00,49.489,49.489,49.489,49.489,102,0
2014-08-19,21:00:00,49.479,49.479,49.479,49.479,412,0
2014-08-19,21:10:00,49.489,49.489,49.489,49.489,102,0
2014-08-19,21:20:00,49.518,49.518,49.508,49.508,675,0
2014-08-19,21:25:00,49.489,49.489,49.469,49.469,516,0
2014-08-19,21:30:00,49.479,49.479,49.469,49.469,824,0
2014-08-19,21:35:00,49.469,49.469,49.469,49.469,102,0
2014-08-19,21:40:00,49.449,49.449,49.449,49.449,102,0
2014-08-19,21:50:00,49.439,49.449,49.38,49.38,6268,0
2014-08-20,16:10:00,49.595,49.595,49.595,49.595,102,0
2014-08-20,16:15:00,49.547,49.547,49.547,49.547,309,0
2014-08-20,16:20:00,49.429,49.429,49.429,49.429,617,0
2014-08-20,21:20:00,49.322,49.322,49.322,49.322,102,0
2014-08-21,17:10:00,49.595,49.595,49.595,49.595,952,0
2014-08-21,20:10:00,49.575,49.575,49.575,49.575,342,0
2014-08-21,20:55:00,49.206,49.206,49.206,49.206,247,0
2014-08-22,16:55:00,49.439,49.439,49.206,49.206,309,0
2014-08-22,17:05:00,49.206,49.206,49.206,49.206,516,0
2014-08-22,19:45:00,49.255,49.255,49.255,49.255,207,0
2014-08-25,16:00:00,49.459,49.459,49.459,49.459,102,0
2014-08-25,16:05:00,49.108,49.108,49.108,49.108,207,0
2014-08-25,16:20:00,49.117,49.117,49.117,49.117,308,0
2014-08-25,16:50:00,49.409,49.409,49.409,49.409,617,0
2014-08-26,17:05:00,49.187,49.245,49.187,49.245,412,0
2014-08-26,17:30:00,49.245,49.245,49.245,49.245,207,0
2014-08-26,17:45:00,49.479,49.479,49.479,49.479,412,0
2014-08-26,18:05:00,49.489,49.489,49.489,49.489,706,0
2014-08-26,18:10:00,49.479,49.479,49.479,49.479,154,0
2014-08-26,18:20:00,49.479,49.479,49.479,49.479,207,0
2014-08-26,18:40:00,49.527,49.527,49.527,49.527,102,0
2014-08-26,20:10:00,49.226,49.226,49.226,49.226,721,0
2014-08-27,16:30:00,49.527,49.527,49.527,49.527,516,0
2014-08-27,17:35:00,49.489,49.508,49.489,49.508,516,0
2014-08-27,17:55:00,49.508,49.508,49.508,49.508,102,0
2014-08-27,18:00:00,49.489,49.498,49.489,49.489,2897,0
2014-08-27,18:25:00,49.508,49.508,49.508,49.508,941,0
2014-08-27,20:05:00,49.508,49.508,49.508,49.508,652,0
2014-08-27,20:35:00,49.508,49.508,49.508,49.508,1751,0
2014-08-27,20:55:00,49.498,49.498,49.498,49.498,1233,0
2014-08-27,21:10:00,49.527,49.613,49.527,49.605,4409,0
2014-08-27,21:15:00,49.613,49.613,49.613,49.613,309,0
2014-08-27,21:20:00,49.605,49.605,49.585,49.585,2470,0
2014-08-27,21:25:00,49.575,49.575,49.566,49.566,616,0
2014-08-27,21:30:00,49.537,49.537,49.537,49.537,2364,0
2014-08-27,21:35:00,49.78,49.78,49.78,49.78,191,0
2014-08-27,22:00:00,49.818,49.818,49.818,49.818,102,0
2014-08-28,18:40:00,49.663,49.663,49.663,49.663,412,0
2014-08-28,19:25:00,49.927,49.927,49.927,49.927,744,0
2014-08-29,16:05:00,50.318,50.318,50.318,50.318,101,0
2014-08-29,16:10:00,50.309,50.309,50.309,50.309,1577,0
2014-08-29,16:25:00,50.27,50.27,50.27,50.27,205,0
2014-08-29,17:55:00,50.25,50.25,50.132,50.151,1937,0
2014-08-29,18:45:00,50.211,50.211,50.211,50.211,306,0
2014-09-02,15:35:00,49.043,49.043,49.043,49.043,408,0
2014-09-02,15:50:00,49.2,49.2,49.2,49.2,101,0
2014-09-02,16:05:00,49.612,49.612,49.612,49.612,101,0
2014-09-02,16:10:00,50.092,50.092,50.092,50.092,275,0
2014-09-02,16:30:00,49.435,49.435,49.435,49.435,101,0
2014-09-02,16:55:00,49.435,49.435,49.435,49.435,306,0
2014-09-02,17:35:00,49.435,49.435,49.435,49.435,205,0
2014-09-02,18:20:00,49.435,49.435,49.435,49.435,111,0
2014-09-02,18:30:00,49.445,49.445,49.445,49.445,101,0
2014-09-02,19:30:00,49.455,49.455,49.455,49.455,205,0
2014-09-02,20:00:00,49.465,49.465,49.465,49.465,205,0
2014-09-02,20:10:00,49.75,49.75,49.75,49.75,798,0
2014-09-03,15:35:00,49.75,49.75,49.75,49.75,326,0
2014-09-03,16:00:00,49.769,49.769,49.769,49.769,408,0
2014-09-03,16:40:00,49.661,49.661,49.661,49.661,1793,0
2014-09-03,19:40:00,50.005,50.005,50.005,50.005,1217,0
2014-09-03,21:25:00,49.779,49.857,49.779,49.857,2089,0
2014-09-03,21:50:00,49.779,49.798,49.779,49.798,557,0
2014-09-03,22:00:00,49.995,49.995,49.995,49.995,101,0
2014-09-04,16:05:00,50.211,50.211,50.211,50.211,611,0
2014-09-04,17:10:00,49.602,49.602,49.602,49.602,205,0
2014-09-04,17:30:00,49.701,49.701,49.701,49.701,205,0
2014-09-04,19:05:00,49.602,49.602,49.602,49.602,101,0
2014-09-04,19:10:00,49.681,49.681,49.525,49.681,499,0
2014-09-04,19:40:00,49.534,49.534,49.534,49.534,101,0
2014-09-04,20:05:00,49.681,49.681,49.681,49.681,419,0
2014-09-04,22:00:00,49.505,49.505,49.505,49.505,464,0
2014-09-05,19:00:00,49.641,49.641,49.641,49.641,408,0
2014-09-05,19:30:00,49.641,49.641,49.641,49.641,881,0
2014-09-05,21:10:00,49.534,49.534,49.534,49.534,128,0
2014-09-05,21:55:00,49.602,49.602,49.602,49.602,1019,0
2014-09-08,15:35:00,49.72,49.72,49.72,49.72,1453,0
2014-09-08,15:50:00,49.651,49.661,49.651,49.651,611,0
2014-09-08,15:55:00,49.661,49.661,49.651,49.661,2141,0
2014-09-08,19:05:00,49.534,49.534,49.308,49.308,1355,0
2014-09-08,20:10:00,49.308,49.308,49.308,49.308,1112,0
