Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-12-15,17:25:00,6.32,6.32,6.32,6.32,100,0
2014-12-15,17:30:00,6.32,6.32,6.32,6.32,400,0
2014-12-15,17:40:00,6.32,6.32,6.32,6.32,100,0
2014-12-15,17:45:00,6.33,6.33,6.33,6.33,570,0
2014-12-15,17:55:00,6.3,6.3,6.3,6.3,200,0
2014-12-15,18:10:00,6.31,6.31,6.3,6.3,300,0
2014-12-15,18:35:00,6.3,6.3,6.3,6.3,200,0
2014-12-15,20:20:00,6.3,6.3,6.3,6.3,100,0
2014-12-15,21:00:00,6.29,6.29,6.29,6.29,240,0
2014-12-15,21:25:00,6.28,6.28,6.28,6.28,100,0
2014-12-15,21:35:00,6.28,6.28,6.27,6.27,1500,0
2014-12-16,15:40:00,6.24,6.24,6.24,6.24,1000,0
2014-12-16,16:00:00,6.22,6.23,6.2,6.2,900,0
2014-12-16,16:05:00,6.21,6.21,6.21,6.21,1500,0
2014-12-16,16:15:00,6.21,6.36,6.21,6.36,3500,0
2014-12-16,16:20:00,6.31,6.31,6.23,6.23,305,0
2014-12-16,16:45:00,6.22,6.22,6.22,6.22,100,0
2014-12-16,17:30:00,6.24,6.24,6.24,6.24,900,0
2014-12-16,20:20:00,6.28,6.28,6.28,6.28,400,0
2014-12-16,22:00:00,6.2,6.28,6.2,6.2,400,0
2014-12-17,15:35:00,6.24,6.24,6.22,6.22,300,0
2014-12-17,16:20:00,6.32,6.32,6.32,6.32,100,0
2014-12-17,16:55:00,6.31,6.31,6.31,6.31,200,0
2014-12-17,17:50:00,6.3,6.3,6.3,6.3,749,0
2014-12-17,18:40:00,6.3,6.3,6.3,6.3,500,0
2014-12-17,19:00:00,6.33,6.33,6.33,6.33,100,0
2014-12-17,19:15:00,6.33,6.33,6.33,6.33,1500,0
2014-12-17,19:20:00,6.3,6.3,6.3,6.3,500,0
2014-12-17,19:40:00,6.3,6.3,6.3,6.3,210,0
2014-12-17,20:05:00,6.3,6.3,6.3,6.3,8000,0
2014-12-17,21:55:00,6.32,6.32,6.32,6.32,400,0
2014-12-18,15:40:00,6.32,6.32,6.3,6.3,493,0
2014-12-18,16:05:00,6.35,6.35,6.35,6.35,300,0
2014-12-18,16:20:00,6.36,6.36,6.36,6.36,200,0
2014-12-18,16:45:00,6.4,6.4,6.4,6.4,712,0
2014-12-18,18:55:00,6.38,6.38,6.38,6.38,1400,0
2014-12-19,15:35:00,6.37,6.37,6.37,6.37,500,0
2014-12-19,15:55:00,6.37,6.37,6.37,6.37,678,0
2014-12-19,16:05:00,6.36,6.36,6.36,6.36,400,0
2014-12-19,16:10:00,6.36,6.36,6.36,6.36,900,0
2014-12-19,16:55:00,6.36,6.36,6.36,6.36,200,0
2014-12-19,17:45:00,6.37,6.37,6.37,6.37,100,0
2014-12-19,17:50:00,6.35,6.35,6.35,6.35,500,0
2014-12-19,18:25:00,6.35,6.35,6.35,6.35,500,0
2014-12-19,18:40:00,6.38,6.38,6.38,6.38,500,0
2014-12-19,19:15:00,6.36,6.36,6.36,6.36,200,0
2014-12-19,19:50:00,6.36,6.36,6.34,6.34,2386,0
2014-12-19,20:40:00,6.34,6.34,6.34,6.34,100,0
2014-12-19,21:00:00,6.32,6.33,6.32,6.33,4500,0
2014-12-19,21:10:00,6.34,6.34,6.34,6.34,200,0
2014-12-19,21:55:00,6.38,6.38,6.38,6.38,100,0
2014-12-19,22:00:00,6.33,6.33,6.32,6.32,1327,0
2014-12-22,15:40:00,6.13,6.13,6.1,6.1,2800,0
2014-12-22,16:25:00,6.3,6.3,6.3,6.3,1500,0
2014-12-22,17:35:00,6.27,6.38,6.26,6.27,700,0
2014-12-22,18:10:00,6.32,6.32,6.32,6.32,500,0
2014-12-22,19:05:00,6.28,6.28,6.28,6.28,200,0
2014-12-22,19:10:00,6.28,6.28,6.27,6.27,1070,0
2014-12-22,19:15:00,6.28,6.28,6.28,6.28,100,0
2014-12-22,19:20:00,6.28,6.28,6.28,6.28,600,0
2014-12-22,21:45:00,6.3,6.3,6.3,6.3,1900,0
2014-12-22,21:50:00,6.31,6.31,6.31,6.31,100,0
2014-12-22,21:55:00,6.28,6.28,6.28,6.28,100,0
2014-12-23,16:00:00,6.27,6.27,6.23,6.27,4600,0
2014-12-23,16:10:00,6.24,6.24,6.24,6.24,800,0
2014-12-23,16:40:00,6.23,6.25,6.23,6.25,1800,0
2014-12-23,16:55:00,6.23,6.23,6.23,6.23,100,0
2014-12-23,17:00:00,6.23,6.23,6.23,6.23,200,0
2014-12-23,17:10:00,6.25,6.25,6.25,6.25,1200,0
2014-12-23,17:20:00,6.26,6.3,6.26,6.3,2706,0
2014-12-23,17:50:00,6.27,6.27,6.27,6.27,2100,0
2014-12-23,17:55:00,6.3,6.3,6.3,6.3,1149,0
2014-12-23,18:25:00,6.28,6.28,6.28,6.28,600,0
2014-12-23,19:10:00,6.34,6.34,6.34,6.34,446,0
2014-12-23,20:00:00,6.33,6.33,6.33,6.33,200,0
2014-12-23,20:10:00,6.32,6.34,6.32,6.33,2200,0
2014-12-23,20:15:00,6.33,6.33,6.3,6.3,300,0
2014-12-23,20:40:00,6.34,6.34,6.31,6.31,2000,0
2014-12-23,21:10:00,6.34,6.34,6.34,6.34,100,0
2014-12-23,21:45:00,6.33,6.33,6.31,6.31,500,0
2014-12-24,15:55:00,6.29,6.29,6.29,6.29,100,0
2014-12-24,16:10:00,6.35,6.35,6.35,6.35,360,0
2014-12-24,16:40:00,6.38,6.38,6.38,6.38,750,0
2014-12-24,16:45:00,6.39,6.39,6.37,6.38,2800,0
2014-12-24,16:50:00,6.34,6.34,6.33,6.33,300,0
2014-12-24,17:25:00,6.34,6.34,6.34,6.34,100,0
2014-12-24,17:45:00,6.25,6.25,6.05,6.12,6700,0
2014-12-24,17:50:00,6.13,6.13,6.13,6.13,800,0
2014-12-24,18:00:00,6.18,6.18,6.18,6.18,450,0
2014-12-24,18:15:00,6.23,6.23,6.23,6.23,100,0
2014-12-24,18:40:00,6.3,6.3,6.3,6.3,200,0
2014-12-24,18:55:00,6.25,6.25,6.25,6.25,100,0
2014-12-24,19:00:00,6.24,6.24,6.21,6.22,1031,0
2014-12-24,19:05:00,6.25,6.25,6.25,6.25,205,0
2014-12-26,15:35:00,6.2,6.2,6.2,6.2,2300,0
2014-12-26,15:40:00,6.34,6.34,6.34,6.34,9600,0
2014-12-26,15:55:00,6.17,6.19,6.15,6.15,2340,0
2014-12-26,16:05:00,6.18,6.18,6.18,6.18,1700,0
2014-12-26,16:50:00,6.19,6.19,6.19,6.19,100,0
2014-12-26,16:55:00,6.19,6.19,6.19,6.19,230,0
2014-12-26,17:10:00,6.19,6.19,6.19,6.19,100,0
2014-12-26,17:15:00,6.19,6.19,6.19,6.19,400,0
2014-12-26,17:30:00,6.19,6.19,6.19,6.19,100,0
2014-12-26,17:55:00,6.19,6.2,6.18,6.2,570,0
2014-12-26,18:00:00,6.18,6.18,6.18,6.18,300,0
2014-12-26,18:20:00,6.18,6.18,6.18,6.18,100,0
2014-12-26,18:50:00,6.18,6.18,6.18,6.18,100,0
2014-12-26,18:55:00,6.18,6.18,6.18,6.18,100,0
2014-12-26,19:10:00,6.2,6.2,6.2,6.2,600,0
2014-12-26,19:20:00,6.19,6.19,6.19,6.19,200,0
2014-12-26,19:35:00,6.19,6.19,6.19,6.19,1350,0
2014-12-26,19:45:00,6.19,6.19,6.19,6.19,300,0
2014-12-26,20:10:00,6.21,6.21,6.21,6.21,100,0
2014-12-26,20:35:00,6.2,6.2,6.2,6.2,100,0
2014-12-26,20:50:00,6.24,6.24,6.24,6.24,100,0
2014-12-26,21:00:00,6.2,6.2,6.2,6.2,100,0
2014-12-26,21:20:00,6.21,6.21,6.21,6.21,100,0
2014-12-26,21:25:00,6.23,6.23,6.23,6.23,500,0
2014-12-26,21:35:00,6.2,6.24,6.18,6.24,698,0
2014-12-26,21:45:00,6.2,6.2,6.2,6.2,100,0
2014-12-26,21:55:00,6.19,6.19,6.19,6.19,400,0
2014-12-26,22:00:00,6.2,6.2,6.18,6.18,600,0
2014-12-29,15:35:00,6.18,6.18,6.18,6.18,534,0
2014-12-29,17:00:00,6.26,6.26,6.26,6.26,100,0
2014-12-29,17:05:00,6.2,6.2,6.2,6.2,100,0
2014-12-29,17:25:00,6.21,6.21,6.21,6.21,100,0
2014-12-29,17:30:00,6.26,6.26,6.26,6.26,190,0
2014-12-29,17:50:00,6.19,6.19,6.19,6.19,1400,0
2014-12-29,18:30:00,6.18,6.25,6.18,6.25,587,0
2014-12-29,18:45:00,6.25,6.25,6.25,6.25,300,0
2014-12-29,20:25:00,6.19,6.19,6.18,6.18,1400,0
2014-12-29,20:40:00,6.08,6.15,6.08,6.15,500,0
2014-12-29,20:50:00,6.19,6.19,6.19,6.19,100,0
2014-12-29,20:55:00,6.23,6.23,6.23,6.23,100,0
2014-12-29,21:25:00,6.19,6.19,6.19,6.19,450,0
2014-12-29,21:40:00,6.21,6.22,6.21,6.22,1588,0
2014-12-29,21:45:00,6.21,6.22,6.21,6.22,3618,0
2014-12-29,21:55:00,6.18,6.18,6.18,6.18,620,0
2014-12-29,22:00:00,6.18,6.18,6.16,6.16,1726,0
2014-12-30,15:50:00,6.24,6.24,6.24,6.24,500,0
2014-12-30,17:00:00,6.22,6.24,6.22,6.24,1233,0
2014-12-30,17:05:00,6.33,6.33,6.33,6.33,400,0
