Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,16:45:00,32.63,32.64,32.63,32.63,28813,0
2015-02-03,16:50:00,32.63,32.64,32.62,32.62,12132,0
2015-02-03,16:55:00,32.62,32.62,32.61,32.62,17337,0
2015-02-03,17:00:00,32.63,32.64,32.61,32.62,51675,0
2015-02-03,17:05:00,32.62,32.62,32.61,32.61,4100,0
2015-02-03,17:10:00,32.61,32.62,32.61,32.61,20267,0
2015-02-03,17:15:00,32.62,32.66,32.62,32.65,9698,0
2015-02-03,17:20:00,32.65,32.69,32.64,32.69,6713,0
2015-02-03,17:25:00,32.68,32.68,32.67,32.67,3300,0
2015-02-03,17:30:00,32.67,32.68,32.67,32.68,11665,0
2015-02-03,17:35:00,32.69,32.69,32.68,32.69,7400,0
2015-02-03,17:40:00,32.7,32.7,32.68,32.69,4559,0
2015-02-03,17:45:00,32.69,32.71,32.68,32.71,5300,0
2015-02-03,17:50:00,32.71,32.72,32.68,32.69,8100,0
2015-02-03,17:55:00,32.69,32.7,32.67,32.67,10815,0
2015-02-03,18:00:00,32.66,32.66,32.63,32.65,8193,0
2015-02-03,18:05:00,32.63,32.63,32.61,32.61,1650,0
2015-02-03,18:10:00,32.6,32.61,32.6,32.61,6047,0
2015-02-03,18:15:00,32.6,32.62,32.6,32.62,7544,0
2015-02-03,18:20:00,32.61,32.61,32.61,32.61,1300,0
2015-02-03,18:25:00,32.61,32.63,32.61,32.61,7470,0
2015-02-03,18:30:00,32.62,32.64,32.62,32.63,6600,0
2015-02-03,18:35:00,32.62,32.63,32.61,32.63,25220,0
2015-02-03,18:40:00,32.62,32.64,32.61,32.61,8350,0
2015-02-03,18:45:00,32.62,32.64,32.62,32.64,2400,0
2015-02-03,18:50:00,32.65,32.65,32.63,32.64,3300,0
2015-02-03,18:55:00,32.64,32.64,32.62,32.62,12245,0
2015-02-03,19:00:00,32.63,32.63,32.62,32.63,800,0
2015-02-03,19:05:00,32.62,32.63,32.62,32.63,1353,0
2015-02-03,19:10:00,32.62,32.62,32.62,32.62,600,0
2015-02-03,19:15:00,32.63,32.66,32.63,32.66,3100,0
2015-02-03,19:20:00,32.66,32.66,32.64,32.64,5537,0
2015-02-03,19:25:00,32.64,32.68,32.64,32.68,15763,0
2015-02-03,19:30:00,32.67,32.68,32.67,32.68,2848,0
2015-02-03,19:35:00,32.67,32.68,32.67,32.68,5350,0
2015-02-03,19:40:00,32.68,32.68,32.66,32.66,6100,0
2015-02-03,19:45:00,32.65,32.65,32.64,32.65,20300,0
2015-02-03,19:50:00,32.67,32.67,32.66,32.66,6100,0
2015-02-03,19:55:00,32.66,32.68,32.64,32.68,9747,0
2015-02-03,20:00:00,32.68,32.68,32.65,32.65,6948,0
2015-02-03,20:05:00,32.66,32.7,32.65,32.69,7700,0
2015-02-03,20:10:00,32.68,32.69,32.63,32.63,12198,0
2015-02-03,20:15:00,32.64,32.64,32.62,32.62,6202,0
2015-02-03,20:20:00,32.61,32.62,32.61,32.62,4328,0
2015-02-03,20:25:00,32.62,32.62,32.61,32.61,9100,0
2015-02-03,20:30:00,32.61,32.61,32.58,32.58,8298,0
2015-02-03,20:35:00,32.59,32.59,32.58,32.58,6632,0
2015-02-03,20:40:00,32.58,32.6,32.57,32.58,19072,0
2015-02-03,20:45:00,32.59,32.61,32.59,32.61,8438,0
2015-02-03,20:50:00,32.62,32.62,32.61,32.62,3924,0
2015-02-03,20:55:00,32.61,32.65,32.61,32.65,9797,0
2015-02-03,21:00:00,32.66,32.69,32.65,32.69,8700,0
2015-02-03,21:05:00,32.7,32.72,32.7,32.71,20000,0
2015-02-03,21:10:00,32.72,32.72,32.69,32.69,12643,0
