Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-29,21:10:00,9.61,9.61,9.61,9.61,300,0
2015-01-29,21:30:00,9.62,9.62,9.61,9.61,4300,0
2015-01-29,21:35:00,9.62,9.62,9.62,9.62,100,0
2015-01-29,21:40:00,9.61,9.61,9.61,9.61,900,0
2015-01-29,21:45:00,9.62,9.62,9.61,9.61,5000,0
2015-01-29,21:50:00,9.61,9.62,9.61,9.62,385,0
2015-01-29,21:55:00,9.61,9.61,9.61,9.61,500,0
2015-01-29,22:00:00,9.62,9.63,9.61,9.63,3818,0
2015-01-30,15:35:00,9.63,9.64,9.63,9.64,200,0
2015-01-30,15:40:00,9.63,9.63,9.63,9.63,3200,0
2015-01-30,15:45:00,9.64,9.64,9.63,9.63,600,0
2015-01-30,16:00:00,9.63,9.63,9.63,9.63,284,0
2015-01-30,16:05:00,9.6,9.61,9.6,9.61,400,0
2015-01-30,16:20:00,9.6,9.61,9.54,9.54,7092,0
2015-01-30,16:25:00,9.57,9.57,9.57,9.57,200,0
2015-01-30,16:35:00,9.58,9.58,9.58,9.58,980,0
2015-01-30,16:40:00,9.57,9.57,9.57,9.57,1000,0
2015-01-30,16:50:00,9.57,9.57,9.57,9.57,1200,0
2015-01-30,16:55:00,9.57,9.57,9.57,9.57,200,0
2015-01-30,17:05:00,9.57,9.57,9.57,9.57,200,0
2015-01-30,17:10:00,9.55,9.56,9.55,9.56,500,0
2015-01-30,17:15:00,9.57,9.57,9.57,9.57,100,0
2015-01-30,17:20:00,9.56,9.56,9.55,9.56,1260,0
2015-01-30,17:25:00,9.55,9.57,9.55,9.55,8187,0
2015-01-30,17:35:00,9.54,9.54,9.54,9.54,405,0
2015-01-30,17:40:00,9.55,9.55,9.53,9.53,205,0
2015-01-30,17:45:00,9.53,9.53,9.49,9.49,13525,0
2015-01-30,18:00:00,9.5,9.51,9.5,9.51,6000,0
2015-01-30,18:05:00,9.52,9.52,9.52,9.52,1500,0
2015-01-30,18:15:00,9.52,9.53,9.52,9.52,400,0
2015-01-30,18:20:00,9.53,9.54,9.53,9.54,1000,0
2015-01-30,18:25:00,9.54,9.54,9.54,9.54,200,0
2015-01-30,18:30:00,9.52,9.54,9.52,9.52,2000,0
2015-01-30,18:50:00,9.52,9.52,9.52,9.52,422,0
2015-01-30,19:00:00,9.52,9.53,9.52,9.53,800,0
2015-01-30,19:05:00,9.55,9.55,9.55,9.55,600,0
2015-01-30,19:20:00,9.53,9.53,9.53,9.53,400,0
2015-01-30,19:40:00,9.54,9.54,9.53,9.53,1200,0
2015-01-30,19:50:00,9.54,9.54,9.54,9.54,280,0
2015-01-30,20:05:00,9.54,9.54,9.5,9.5,7070,0
2015-01-30,20:10:00,9.49,9.49,9.4,9.4,10628,0
2015-01-30,20:15:00,9.43,9.45,9.4,9.43,7200,0
2015-01-30,20:20:00,9.42,9.44,9.42,9.44,515,0
2015-01-30,20:25:00,9.44,9.44,9.42,9.44,1200,0
2015-01-30,20:30:00,9.44,9.44,9.44,9.44,1700,0
2015-01-30,20:35:00,9.44,9.47,9.44,9.44,6085,0
2015-01-30,20:40:00,9.43,9.45,9.43,9.45,1975,0
2015-01-30,20:45:00,9.44,9.45,9.44,9.45,1100,0
2015-01-30,20:50:00,9.45,9.46,9.43,9.45,2620,0
2015-01-30,20:55:00,9.46,9.48,9.46,9.47,7695,0
2015-01-30,21:00:00,9.47,9.48,9.47,9.48,7949,0
2015-01-30,21:05:00,9.48,9.48,9.48,9.48,800,0
2015-01-30,21:10:00,9.47,9.47,9.47,9.47,100,0
2015-01-30,21:15:00,9.47,9.47,9.46,9.47,900,0
2015-01-30,21:20:00,9.47,9.5,9.47,9.5,5212,0
2015-01-30,21:25:00,9.49,9.5,9.49,9.49,2472,0
2015-01-30,21:30:00,9.5,9.5,9.5,9.5,400,0
2015-01-30,21:35:00,9.5,9.5,9.49,9.5,4300,0
2015-01-30,21:40:00,9.5,9.5,9.5,9.5,1000,0
2015-01-30,21:45:00,9.49,9.51,9.46,9.49,5324,0
2015-01-30,21:50:00,9.51,9.52,9.5,9.52,1700,0
2015-01-30,21:55:00,9.52,9.54,9.5,9.53,6508,0
2015-01-30,22:00:00,9.54,9.54,9.51,9.52,3086,0
2015-02-02,15:35:00,9.56,9.56,9.53,9.53,1400,0
2015-02-02,15:40:00,9.54,9.54,9.52,9.52,500,0
2015-02-02,15:45:00,9.52,9.52,9.52,9.52,2100,0
2015-02-02,15:50:00,9.51,9.51,9.5,9.51,1370,0
2015-02-02,15:55:00,9.51,9.51,9.5,9.51,1400,0
2015-02-02,16:00:00,9.52,9.52,9.47,9.49,3800,0
2015-02-02,16:05:00,9.49,9.49,9.45,9.46,3400,0
2015-02-02,16:10:00,9.45,9.46,9.45,9.45,3475,0
2015-02-02,16:15:00,9.44,9.47,9.42,9.46,12210,0
2015-02-02,16:30:00,9.45,9.45,9.45,9.45,823,0
2015-02-02,16:35:00,9.45,9.46,9.42,9.44,13800,0
2015-02-02,16:40:00,9.42,9.44,9.4,9.41,7396,0
2015-02-02,16:45:00,9.41,9.41,9.38,9.38,967,0
2015-02-02,16:50:00,9.39,9.39,9.39,9.39,400,0
2015-02-02,16:55:00,9.39,9.39,9.37,9.37,2851,0
2015-02-02,17:00:00,9.35,9.36,9.34,9.36,1800,0
2015-02-02,17:05:00,9.36,9.38,9.36,9.38,600,0
2015-02-02,17:10:00,9.4,9.42,9.4,9.4,1654,0
2015-02-02,17:15:00,9.4,9.42,9.39,9.39,4050,0
2015-02-02,17:25:00,9.42,9.42,9.42,9.42,175,0
2015-02-02,17:30:00,9.4,9.44,9.4,9.44,6794,0
2015-02-02,17:35:00,9.44,9.44,9.42,9.42,2570,0
2015-02-02,17:45:00,9.45,9.47,9.44,9.46,1200,0
2015-02-02,17:50:00,9.48,9.48,9.45,9.45,800,0
2015-02-02,17:55:00,9.46,9.47,9.46,9.47,1500,0
2015-02-02,18:00:00,9.47,9.48,9.47,9.48,900,0
2015-02-02,18:05:00,9.47,9.47,9.46,9.46,300,0
2015-02-02,18:15:00,9.47,9.48,9.47,9.48,2200,0
2015-02-02,18:20:00,9.45,9.45,9.44,9.45,1812,0
2015-02-02,18:25:00,9.43,9.44,9.43,9.44,255,0
2015-02-02,18:30:00,9.45,9.45,9.44,9.44,400,0
2015-02-02,18:35:00,9.43,9.43,9.43,9.43,200,0
2015-02-02,18:45:00,9.42,9.42,9.42,9.42,850,0
2015-02-02,18:50:00,9.44,9.45,9.44,9.45,400,0
2015-02-02,19:20:00,9.45,9.45,9.45,9.45,400,0
2015-02-02,19:25:00,9.45,9.47,9.45,9.45,600,0
2015-02-02,19:30:00,9.45,9.47,9.45,9.47,200,0
2015-02-02,19:40:00,9.47,9.48,9.46,9.48,2570,0
2015-02-02,19:45:00,9.46,9.49,9.46,9.49,1708,0
2015-02-02,19:50:00,9.46,9.46,9.46,9.46,270,0
2015-02-02,19:55:00,9.47,9.47,9.44,9.44,2400,0
2015-02-02,20:00:00,9.44,9.44,9.39,9.4,1415,0
2015-02-02,20:05:00,9.39,9.43,9.39,9.43,2995,0
2015-02-02,20:10:00,9.43,9.43,9.41,9.41,392,0
2015-02-02,20:15:00,9.43,9.43,9.4,9.4,559,0
2015-02-02,20:20:00,9.43,9.43,9.41,9.41,2300,0
2015-02-02,20:25:00,9.46,9.46,9.46,9.46,100,0
2015-02-02,20:30:00,9.45,9.45,9.45,9.45,100,0
2015-02-02,20:35:00,9.45,9.46,9.45,9.46,420,0
2015-02-02,20:40:00,9.46,9.48,9.46,9.48,1200,0
2015-02-02,20:45:00,9.48,9.48,9.48,9.48,300,0
2015-02-02,20:50:00,9.46,9.46,9.46,9.46,200,0
2015-02-02,20:55:00,9.46,9.47,9.46,9.47,1100,0
2015-02-02,21:00:00,9.45,9.45,9.45,9.45,500,0
2015-02-02,21:05:00,9.45,9.46,9.45,9.45,2214,0
2015-02-02,21:10:00,9.47,9.47,9.47,9.47,200,0
2015-02-02,21:15:00,9.47,9.48,9.46,9.48,3100,0
2015-02-02,21:20:00,9.48,9.49,9.48,9.49,900,0
2015-02-02,21:25:00,9.47,9.49,9.47,9.47,1180,0
2015-02-02,21:30:00,9.49,9.5,9.49,9.49,2000,0
2015-02-02,21:35:00,9.49,9.5,9.47,9.5,3000,0
2015-02-02,21:40:00,9.51,9.51,9.48,9.48,1400,0
2015-02-02,21:45:00,9.5,9.52,9.49,9.52,4200,0
2015-02-02,21:50:00,9.5,9.5,9.5,9.5,400,0
2015-02-02,21:55:00,9.5,9.53,9.5,9.51,6808,0
2015-02-02,22:00:00,9.51,9.54,9.51,9.52,8682,0
2015-02-03,15:35:00,9.4,9.4,9.4,9.4,400,0
2015-02-03,15:40:00,9.43,9.5,9.43,9.5,1503,0
2015-02-03,15:45:00,9.43,9.44,9.43,9.44,600,0
2015-02-03,15:50:00,9.43,9.45,9.43,9.45,8803,0
2015-02-03,15:55:00,9.43,9.44,9.43,9.43,3900,0
2015-02-03,16:00:00,9.45,9.45,9.44,9.44,2400,0
2015-02-03,16:05:00,9.44,9.46,9.44,9.45,7207,0
2015-02-03,16:10:00,9.47,9.48,9.45,9.47,700,0
2015-02-03,16:15:00,9.45,9.51,9.45,9.48,1100,0
2015-02-03,16:20:00,9.5,9.5,9.49,9.5,300,0
2015-02-03,16:25:00,9.48,9.52,9.48,9.52,2700,0
2015-02-03,16:30:00,9.48,9.48,9.46,9.48,800,0
2015-02-03,16:35:00,9.47,9.49,9.46,9.48,2445,0
2015-02-03,16:40:00,9.47,9.51,9.47,9.51,1465,0
2015-02-03,16:45:00,9.46,9.48,9.44,9.44,700,0
2015-02-03,16:50:00,9.47,9.47,9.45,9.45,200,0
2015-02-03,16:55:00,9.46,9.48,9.45,9.45,1300,0
2015-02-03,17:00:00,9.45,9.45,9.43,9.43,800,0
2015-02-03,17:05:00,9.43,9.43,9.43,9.43,200,0
2015-02-03,17:10:00,9.42,9.42,9.41,9.42,780,0
2015-02-03,17:15:00,9.44,9.45,9.42,9.45,1465,0
2015-02-03,17:20:00,9.45,9.46,9.45,9.45,2900,0
2015-02-03,17:25:00,9.45,9.46,9.45,9.46,600,0
2015-02-03,17:30:00,9.45,9.45,9.45,9.45,600,0
2015-02-03,17:35:00,9.45,9.45,9.45,9.45,1000,0
2015-02-03,17:40:00,9.45,9.49,9.44,9.44,1797,0
2015-02-03,17:45:00,9.42,9.45,9.42,9.45,600,0
2015-02-03,17:50:00,9.42,9.42,9.42,9.42,100,0
2015-02-03,17:55:00,9.42,9.44,9.42,9.42,600,0
2015-02-03,18:00:00,9.42,9.42,9.42,9.42,400,0
2015-02-03,18:05:00,9.46,9.46,9.42,9.45,900,0
2015-02-03,18:10:00,9.45,9.46,9.45,9.46,800,0
2015-02-03,18:15:00,9.46,9.46,9.45,9.46,500,0
2015-02-03,18:20:00,9.45,9.46,9.45,9.46,500,0
2015-02-03,18:25:00,9.45,9.45,9.45,9.45,200,0
2015-02-03,18:30:00,9.45,9.45,9.45,9.45,400,0
2015-02-03,18:35:00,9.46,9.48,9.46,9.48,1600,0
2015-02-03,18:40:00,9.47,9.47,9.45,9.45,500,0
2015-02-03,18:45:00,9.47,9.49,9.47,9.48,1000,0
2015-02-03,18:50:00,9.48,9.51,9.48,9.51,3271,0
2015-02-03,18:55:00,9.51,9.51,9.5,9.5,3635,0
2015-02-03,19:00:00,9.5,9.51,9.5,9.51,400,0
2015-02-03,19:05:00,9.51,9.51,9.51,9.51,100,0
2015-02-03,19:10:00,9.52,9.52,9.52,9.52,1300,0
2015-02-03,19:15:00,9.52,9.53,9.52,9.52,500,0
2015-02-03,19:20:00,9.53,9.53,9.52,9.52,300,0
2015-02-03,19:25:00,9.52,9.55,9.52,9.55,4300,0
2015-02-03,19:30:00,9.55,9.55,9.53,9.53,2600,0
2015-02-03,19:35:00,9.55,9.55,9.53,9.53,200,0
2015-02-03,19:40:00,9.54,9.55,9.54,9.54,5585,0
2015-02-03,19:45:00,9.52,9.53,9.52,9.52,1000,0
2015-02-03,19:50:00,9.53,9.53,9.52,9.52,700,0
2015-02-03,19:55:00,9.52,9.53,9.5,9.5,1650,0
2015-02-03,20:00:00,9.48,9.48,9.47,9.48,500,0
2015-02-03,20:05:00,9.46,9.46,9.46,9.46,200,0
2015-02-03,20:10:00,9.46,9.48,9.46,9.47,1300,0
2015-02-03,20:15:00,9.47,9.47,9.47,9.47,900,0
2015-02-03,20:20:00,9.47,9.47,9.47,9.47,300,0
2015-02-03,20:25:00,9.47,9.47,9.46,9.46,680,0
2015-02-03,20:30:00,9.46,9.46,9.46,9.46,800,0
2015-02-03,20:35:00,9.46,9.46,9.46,9.46,100,0
2015-02-03,20:40:00,9.45,9.45,9.45,9.45,1145,0
2015-02-03,20:45:00,9.45,9.46,9.45,9.45,2009,0
2015-02-03,20:50:00,9.45,9.46,9.45,9.46,600,0
2015-02-03,20:55:00,9.45,9.46,9.45,9.45,500,0
2015-02-03,21:00:00,9.45,9.45,9.45,9.45,1080,0
2015-02-03,21:05:00,9.45,9.49,9.45,9.49,325,0
2015-02-03,21:10:00,9.45,9.47,9.45,9.45,2400,0
2015-02-03,21:15:00,9.45,9.51,9.45,9.45,2700,0
2015-02-03,21:20:00,9.47,9.47,9.46,9.46,200,0
2015-02-03,21:25:00,9.46,9.47,9.46,9.46,814,0
2015-02-03,21:30:00,9.47,9.47,9.45,9.45,938,0
2015-02-03,21:35:00,9.45,9.46,9.41,9.45,2300,0
2015-02-03,21:40:00,9.45,9.45,9.45,9.45,900,0
2015-02-03,21:45:00,9.47,9.47,9.45,9.45,1600,0
2015-02-03,21:50:00,9.49,9.49,9.45,9.46,1200,0
2015-02-03,21:55:00,9.47,9.49,9.45,9.49,2100,0
2015-02-03,22:00:00,9.49,9.52,9.47,9.52,2840,0
2015-02-04,15:35:00,9.4,9.53,9.4,9.44,600,0
2015-02-04,15:40:00,9.47,9.47,9.46,9.46,700,0
2015-02-04,15:45:00,9.47,9.49,9.47,9.48,400,0
2015-02-04,15:50:00,9.48,9.48,9.43,9.43,1452,0
2015-02-04,15:55:00,9.47,9.47,9.41,9.41,900,0
2015-02-04,16:00:00,9.41,9.45,9.4,9.43,2130,0
2015-02-04,16:05:00,9.45,9.45,9.44,9.45,600,0
2015-02-04,16:10:00,9.44,9.52,9.44,9.52,7400,0
2015-02-04,16:15:00,9.47,9.47,9.44,9.44,400,0
2015-02-04,16:20:00,9.45,9.45,9.45,9.45,100,0
2015-02-04,16:25:00,9.43,9.45,9.42,9.43,1600,0
2015-02-04,16:30:00,9.43,9.43,9.43,9.43,400,0
2015-02-04,16:35:00,9.48,9.48,9.43,9.46,800,0
2015-02-04,16:40:00,9.44,9.44,9.41,9.41,700,0
2015-02-04,16:45:00,9.4,9.41,9.4,9.4,700,0
