Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-08-18,21:30:00,16.66,16.66,16.63,16.63,2176,0
2014-08-19,16:05:00,16.697,16.697,16.697,16.697,414,0
2014-08-19,19:50:00,16.629,16.629,16.629,16.629,2072,0
2014-08-19,20:40:00,16.629,16.629,16.629,16.629,314,0
2014-08-19,21:55:00,16.6,16.6,16.6,16.6,105,0
2014-08-20,16:05:00,16.562,16.562,16.562,16.562,1554,0
2014-08-20,17:35:00,16.658,16.658,16.658,16.658,1036,0
2014-08-21,17:05:00,16.513,16.513,16.513,16.513,207,0
2014-08-21,18:20:00,16.812,16.812,16.812,16.812,1036,0
2014-08-21,19:35:00,16.793,16.793,16.793,16.793,1616,0
2014-08-21,20:50:00,16.745,16.745,16.745,16.745,414,0
2014-08-21,21:30:00,16.745,16.745,16.745,16.745,310,0
2014-08-21,21:40:00,16.773,16.773,16.755,16.755,518,0
2014-08-22,15:35:00,16.87,16.87,16.87,16.87,1747,0
2014-08-22,18:10:00,16.59,16.59,16.59,16.59,207,0
2014-08-22,19:40:00,16.58,16.58,16.58,16.58,207,0
2014-08-22,21:30:00,16.58,16.58,16.58,16.58,622,0
2014-08-25,16:00:00,16.773,16.773,16.773,16.773,310,0
2014-08-25,16:25:00,16.735,16.735,16.735,16.735,1593,0
2014-08-25,16:55:00,16.697,16.697,16.697,16.697,103,0
2014-08-25,17:10:00,16.755,16.755,16.755,16.755,207,0
2014-08-25,17:15:00,16.745,16.745,16.745,16.745,155,0
2014-08-25,17:20:00,16.745,16.745,16.745,16.745,352,0
2014-08-25,18:00:00,16.755,16.755,16.755,16.755,288,0
2014-08-25,19:35:00,16.745,16.745,16.745,16.745,1139,0
2014-08-25,19:55:00,16.697,16.697,16.697,16.697,518,0
2014-08-25,20:30:00,16.667,16.667,16.638,16.638,1606,0
2014-08-25,20:35:00,16.61,16.61,16.61,16.61,310,0
2014-08-25,21:50:00,16.474,16.474,16.474,16.474,310,0
2014-08-26,15:45:00,16.735,16.735,16.735,16.735,414,0
