Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-12-19,15:35:00,25.70,25.70,25.70,25.70,190,0
2014-12-19,15:35:00,25.7,25.7,25.7,25.7,190,0
2014-12-19,16:10:00,25.67,25.67,25.67,25.67,100,0
2014-12-19,16:30:00,25.7,25.7,25.7,25.7,700,0
2014-12-19,16:35:00,25.71,25.71,25.71,25.71,200,0
2014-12-19,16:55:00,25.7,25.7,25.7,25.7,500,0
2014-12-19,17:00:00,25.7,25.7,25.7,25.7,500,0
2014-12-19,17:10:00,25.66,25.66,25.66,25.66,500,0
2014-12-19,17:20:00,25.68,25.68,25.68,25.68,500,0
2014-12-19,17:35:00,25.66,25.66,25.65,25.65,800,0
2014-12-19,18:05:00,25.62,25.62,25.62,25.62,500,0
2014-12-19,18:25:00,25.61,25.61,25.61,25.61,150,0
2014-12-19,18:30:00,25.62,25.62,25.62,25.62,300,0
2014-12-19,19:30:00,25.65,25.65,25.65,25.65,100,0
2014-12-19,19:45:00,25.67,25.67,25.67,25.67,500,0
2014-12-19,20:05:00,25.68,25.68,25.68,25.68,400,0
2014-12-19,20:15:00,25.69,25.69,25.69,25.69,100,0
2014-12-19,20:40:00,25.7,25.7,25.7,25.7,100,0
2014-12-19,20:50:00,25.7,25.7,25.7,25.7,600,0
2014-12-19,21:35:00,25.74,25.75,25.74,25.75,1400,0
2014-12-19,21:40:00,25.75,25.75,25.75,25.75,500,0
2014-12-19,21:45:00,25.74,25.74,25.74,25.74,135,0
2014-12-19,21:50:00,25.72,25.72,25.72,25.72,400,0
2014-12-19,21:55:00,25.71,25.71,25.57,25.57,900,0
2014-12-22,15:40:00,25.62,25.62,25.62,25.62,200,0
2014-12-22,15:45:00,25.61,25.61,25.61,25.61,500,0
2014-12-22,16:10:00,25.6,25.61,25.6,25.6,700,0
2014-12-22,16:15:00,25.59,25.59,25.59,25.59,500,0
2014-12-22,16:20:00,25.6,25.6,25.6,25.6,1000,0
2014-12-22,16:25:00,25.59,25.59,25.59,25.59,500,0
2014-12-22,16:40:00,25.59,25.59,25.59,25.59,500,0
2014-12-22,17:00:00,25.63,25.63,25.63,25.63,500,0
2014-12-22,17:35:00,25.63,25.63,25.63,25.63,500,0
2014-12-22,17:40:00,25.63,25.63,25.63,25.63,500,0
2014-12-22,18:00:00,25.63,25.63,25.63,25.63,500,0
2014-12-22,18:05:00,25.63,25.63,25.63,25.63,500,0
2014-12-22,18:40:00,25.62,25.62,25.62,25.62,500,0
2014-12-22,18:50:00,25.63,25.63,25.63,25.63,500,0
2014-12-22,19:15:00,25.65,25.65,25.65,25.65,500,0
2014-12-22,19:45:00,25.65,25.65,25.65,25.65,500,0
2014-12-22,20:45:00,25.65,25.65,25.65,25.65,500,0
2014-12-22,21:15:00,25.65,25.65,25.65,25.65,500,0
2014-12-22,21:20:00,25.64,25.64,25.64,25.64,1000,0
2014-12-22,21:40:00,25.64,25.65,25.64,25.65,1000,0
2014-12-22,21:45:00,25.64,25.64,25.64,25.64,300,0
2014-12-22,21:50:00,25.63,25.63,25.63,25.63,1100,0
2014-12-22,22:00:00,25.63,25.63,25.63,25.63,100,0
2014-12-23,15:40:00,25.61,25.61,25.6,25.6,500,0
2014-12-23,15:55:00,25.57,25.57,25.57,25.57,100,0
2014-12-23,17:15:00,25.59,25.59,25.59,25.59,1500,0
2014-12-23,17:20:00,25.59,25.59,25.59,25.59,500,0
2014-12-23,17:25:00,25.6,25.6,25.6,25.6,500,0
2014-12-23,17:35:00,25.61,25.61,25.61,25.61,200,0
2014-12-23,17:50:00,25.61,25.61,25.61,25.61,500,0
2014-12-23,18:00:00,25.61,25.61,25.61,25.61,500,0
2014-12-23,19:00:00,25.65,25.65,25.65,25.65,500,0
2014-12-23,19:05:00,25.65,25.65,25.65,25.65,100,0
2014-12-23,19:25:00,25.64,25.64,25.64,25.64,100,0
2014-12-23,19:35:00,25.64,25.64,25.64,25.64,500,0
2014-12-23,19:40:00,25.64,25.64,25.64,25.64,1000,0
2014-12-23,19:55:00,25.65,25.65,25.65,25.65,500,0
2014-12-23,20:05:00,25.61,25.61,25.61,25.61,100,0
2014-12-23,21:30:00,25.61,25.61,25.61,25.61,300,0
2014-12-23,21:35:00,25.6,25.6,25.6,25.6,1200,0
2014-12-24,15:35:00,26.92,31.15,26.92,31.15,400,0
2014-12-24,16:35:00,25.58,25.58,25.58,25.58,1000,0
2014-12-24,16:40:00,25.58,25.58,25.58,25.58,700,0
2014-12-24,17:20:00,25.63,25.63,25.63,25.63,1000,0
2014-12-24,17:25:00,25.63,25.63,25.63,25.63,100,0
2014-12-24,17:40:00,25.64,25.64,25.64,25.64,500,0
2014-12-24,17:45:00,25.63,25.63,25.63,25.63,600,0
2014-12-24,17:50:00,25.64,25.64,25.64,25.64,300,0
2014-12-24,18:00:00,25.64,25.64,25.64,25.64,215,0
2014-12-24,18:10:00,25.64,25.64,25.64,25.64,100,0
2014-12-24,18:35:00,25.65,25.65,25.65,25.65,100,0
2014-12-26,18:15:00,25.75,25.75,25.75,25.75,306,0
2014-12-26,18:55:00,25.77,25.77,25.77,25.77,1000,0
2014-12-26,19:00:00,25.78,25.78,25.78,25.78,200,0
2014-12-29,16:20:00,25.47,25.47,25.47,25.47,500,0
2014-12-29,17:00:00,25.51,25.51,25.51,25.51,500,0
2014-12-29,17:10:00,25.49,25.49,25.49,25.49,1000,0
2014-12-29,17:30:00,25.49,25.49,25.49,25.49,1000,0
2014-12-29,17:35:00,25.49,25.49,25.49,25.49,500,0
2014-12-29,17:45:00,25.49,25.49,25.49,25.49,900,0
2014-12-29,17:50:00,25.5,25.5,25.5,25.5,100,0
2014-12-29,18:00:00,25.49,25.49,25.49,25.49,1000,0
2014-12-29,18:15:00,25.49,25.5,25.49,25.5,12500,0
2014-12-29,18:35:00,25.47,25.49,25.47,25.48,11000,0
2014-12-29,18:45:00,25.47,25.47,25.46,25.47,3764,0
2014-12-29,18:55:00,25.46,25.46,25.46,25.46,200,0
2014-12-29,19:05:00,25.45,25.45,25.44,25.44,2000,0
2014-12-29,19:50:00,25.46,25.46,25.45,25.45,500,0
2014-12-29,20:20:00,25.45,25.45,25.45,25.45,393,0
2014-12-29,20:30:00,25.46,25.46,25.46,25.46,100,0
2014-12-29,21:40:00,25.48,25.48,25.48,25.48,100,0
2014-12-29,21:55:00,25.46,25.46,25.46,25.46,300,0
2014-12-29,22:00:00,25.47,25.49,25.46,25.46,3439,0
2014-12-30,16:05:00,25.42,25.42,25.42,25.42,500,0
2014-12-30,16:10:00,25.4,25.41,25.4,25.41,400,0
2014-12-30,19:45:00,25.38,25.38,25.38,25.38,200,0
2014-12-30,20:00:00,25.36,25.36,25.36,25.36,280,0
2014-12-30,20:35:00,25.4,25.4,25.4,25.4,100,0
2014-12-30,20:40:00,25.39,25.39,25.39,25.39,217,0
2014-12-30,21:20:00,25.38,25.38,25.38,25.38,2000,0
2014-12-30,22:00:00,25.36,25.36,25.36,25.36,693,0
2014-12-31,17:25:00,25.43,25.43,25.43,25.43,392,0
2014-12-31,18:05:00,25.3,25.3,25.25,25.25,2700,0
2014-12-31,18:10:00,25.23,25.23,25.23,25.23,1400,0
2014-12-31,20:50:00,25.31,25.31,25.31,25.31,100,0
2014-12-31,20:55:00,25.31,25.31,25.31,25.31,120,0
2014-12-31,21:55:00,25.29,25.29,25.29,25.29,1820,0
2014-12-31,22:00:00,25.27,25.27,25.27,25.27,2000,0
2015-01-02,16:05:00,25.27,25.27,25.27,25.27,3000,0
2015-01-02,16:35:00,25.24,25.24,25.24,25.24,500,0
2015-01-02,16:40:00,25.23,25.23,25.23,25.23,1500,0
2015-01-02,16:45:00,25.21,25.21,25.21,25.21,100,0
2015-01-02,17:50:00,25.2,25.2,25.2,25.2,125,0
2015-01-02,18:30:00,25.2,25.2,25.2,25.2,200,0
2015-01-02,18:40:00,25.21,25.21,25.21,25.21,1400,0
2015-01-02,19:00:00,25.2,25.2,25.2,25.2,400,0
2015-01-02,20:05:00,25.21,25.21,25.21,25.21,400,0
2015-01-02,20:30:00,25.19,25.19,25.19,25.19,2000,0
2015-01-02,21:10:00,25.16,25.16,25.16,25.16,100,0
2015-01-05,15:40:00,25.0,25.04,25.0,25.0,800,0
2015-01-05,15:50:00,24.84,24.84,24.84,24.84,160,0
2015-01-05,16:10:00,24.82,24.82,24.82,24.82,100,0
2015-01-05,16:15:00,24.8,24.8,24.8,24.8,100,0
