Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,16:50:00,44.99,45.02,44.95,44.98,7145,0
2015-02-03,16:55:00,44.97,45.02,44.94,44.97,18018,0
2015-02-03,17:00:00,44.98,44.99,44.88,44.89,16418,0
2015-02-03,17:05:00,44.9,44.92,44.77,44.77,8449,0
2015-02-03,17:10:00,44.73,44.84,44.7,44.82,12861,0
2015-02-03,17:15:00,44.79,44.84,44.77,44.79,29827,0
2015-02-03,17:20:00,44.78,44.88,44.74,44.88,13223,0
2015-02-03,17:25:00,44.9,44.95,44.84,44.94,10069,0
2015-02-03,17:30:00,44.93,44.96,44.86,44.87,15379,0
2015-02-03,17:35:00,44.87,44.93,44.86,44.92,3250,0
2015-02-03,17:40:00,44.92,44.92,44.78,44.81,19846,0
2015-02-03,17:45:00,44.81,44.94,44.81,44.89,4825,0
2015-02-03,17:50:00,44.92,44.92,44.78,44.82,7533,0
2015-02-03,17:55:00,44.88,44.91,44.83,44.83,39623,0
2015-02-03,18:00:00,44.83,44.83,44.77,44.82,4930,0
2015-02-03,18:05:00,44.78,44.78,44.7,44.71,25400,0
2015-02-03,18:10:00,44.72,44.75,44.68,44.73,37095,0
2015-02-03,18:15:00,44.74,44.86,44.73,44.78,14207,0
2015-02-03,18:20:00,44.79,44.84,44.77,44.83,15041,0
2015-02-03,18:25:00,44.85,44.87,44.79,44.79,6622,0
2015-02-03,18:30:00,44.78,44.85,44.76,44.85,8420,0
2015-02-03,18:35:00,44.86,44.86,44.8,44.86,8205,0
2015-02-03,18:40:00,44.85,44.89,44.85,44.89,6162,0
2015-02-03,18:45:00,44.89,44.93,44.89,44.92,5315,0
2015-02-03,18:50:00,44.98,45.05,44.95,44.99,20271,0
2015-02-03,18:55:00,44.99,45.06,44.95,45.05,12869,0
2015-02-03,19:00:00,45.04,45.1,44.98,44.99,5677,0
2015-02-03,19:05:00,45.01,45.08,44.97,45.06,22018,0
2015-02-03,19:10:00,45.05,45.14,45.05,45.12,24847,0
2015-02-03,19:15:00,45.12,45.25,45.11,45.23,13384,0
2015-02-03,19:20:00,45.21,45.23,45.18,45.18,14025,0
2015-02-03,19:25:00,45.2,45.3,45.2,45.29,22115,0
2015-02-03,19:30:00,45.31,45.34,45.26,45.32,35124,0
2015-02-03,19:35:00,45.35,45.36,45.27,45.27,22491,0
2015-02-03,19:40:00,45.28,45.3,45.18,45.18,30424,0
2015-02-03,19:45:00,45.19,45.32,45.19,45.3,11131,0
2015-02-03,19:50:00,45.31,45.31,45.27,45.3,9878,0
2015-02-03,19:55:00,45.26,45.38,45.25,45.35,22019,0
2015-02-03,20:00:00,45.34,45.42,45.32,45.42,14871,0
2015-02-03,20:05:00,45.41,45.47,45.4,45.44,28533,0
2015-02-03,20:10:00,45.4,45.43,45.27,45.3,61376,0
2015-02-03,20:15:00,45.31,45.36,45.27,45.28,19382,0
2015-02-03,20:20:00,45.28,45.35,45.27,45.28,21899,0
2015-02-03,20:25:00,45.27,45.29,45.15,45.15,18495,0
2015-02-03,20:30:00,45.14,45.16,45.04,45.05,23616,0
