Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,16:50:00,8.85,9.02,8.84,8.96,83936,0
2015-02-03,16:55:00,8.97,9.07,8.96,9.04,155903,0
2015-02-03,17:00:00,9.03,9.06,8.97,9.06,136233,0
2015-02-03,17:05:00,9.07,9.16,9.07,9.16,242696,0
2015-02-03,17:10:00,9.16,9.25,9.14,9.18,184270,0
2015-02-03,17:15:00,9.19,9.21,9.08,9.11,114493,0
2015-02-03,17:20:00,9.12,9.15,9.0,9.05,153414,0
2015-02-03,17:25:00,9.06,9.12,8.91,8.94,176405,0
2015-02-03,17:30:00,8.96,9.03,8.78,8.83,165498,0
2015-02-03,17:35:00,8.83,8.92,8.8,8.91,104466,0
2015-02-03,17:40:00,8.88,9.04,8.88,9.03,67392,0
2015-02-03,17:45:00,9.03,9.04,8.92,9.0,44607,0
2015-02-03,17:50:00,9.0,9.07,9.0,9.05,33808,0
2015-02-03,17:55:00,9.04,9.07,8.98,9.04,60950,0
2015-02-03,18:00:00,9.03,9.03,8.85,8.88,146313,0
2015-02-03,18:05:00,8.88,8.96,8.84,8.93,30977,0
2015-02-03,18:10:00,8.93,9.03,8.91,9.0,73575,0
2015-02-03,18:15:00,9.0,9.03,8.97,9.02,26685,0
2015-02-03,18:20:00,9.02,9.07,8.98,9.01,40046,0
2015-02-03,18:25:00,9.0,9.0,8.91,9.0,44266,0
2015-02-03,18:30:00,8.97,9.04,8.97,8.99,19996,0
2015-02-03,18:35:00,9.01,9.01,8.95,8.96,25390,0
2015-02-03,18:40:00,8.96,9.0,8.85,8.9,57368,0
2015-02-03,18:45:00,8.9,8.98,8.88,8.93,66730,0
2015-02-03,18:50:00,8.96,8.96,8.87,8.91,26562,0
2015-02-03,18:55:00,8.94,8.96,8.87,8.87,31399,0
2015-02-03,19:00:00,8.87,8.91,8.84,8.91,77949,0
2015-02-03,19:05:00,8.92,8.92,8.84,8.89,48850,0
2015-02-03,19:10:00,8.88,8.94,8.86,8.93,26714,0
2015-02-03,19:15:00,8.91,8.91,8.79,8.8,249432,0
2015-02-03,19:20:00,8.81,8.85,8.72,8.84,123606,0
2015-02-03,19:25:00,8.83,8.88,8.79,8.82,97978,0
2015-02-03,19:30:00,8.82,8.82,8.65,8.72,94146,0
2015-02-03,19:35:00,8.75,8.75,8.48,8.54,144864,0
2015-02-03,19:40:00,8.54,8.65,8.54,8.58,143134,0
2015-02-03,19:45:00,8.56,8.58,8.34,8.36,226823,0
2015-02-03,19:50:00,8.36,8.48,8.32,8.39,203594,0
2015-02-03,19:55:00,8.38,8.49,8.33,8.45,141362,0
2015-02-03,20:00:00,8.46,8.51,8.43,8.43,96959,0
2015-02-03,20:05:00,8.43,8.44,8.29,8.29,180791,0
2015-02-03,20:10:00,8.31,8.37,8.31,8.36,71769,0
2015-02-03,20:15:00,8.36,8.43,8.35,8.41,85490,0
2015-02-03,20:20:00,8.42,8.42,8.31,8.34,68228,0
2015-02-03,20:25:00,8.36,8.39,8.32,8.38,53383,0
2015-02-03,20:30:00,8.39,8.45,8.36,8.36,76927,0
2015-02-03,20:35:00,8.37,8.48,8.37,8.48,114530,0
2015-02-03,20:40:00,8.48,8.54,8.39,8.42,141618,0
2015-02-03,20:45:00,8.42,8.46,8.38,8.39,70954,0
2015-02-03,20:50:00,8.39,8.59,8.38,8.59,58012,0
2015-02-03,20:55:00,8.6,8.7,8.52,8.68,64772,0
2015-02-03,21:00:00,8.68,8.69,8.55,8.62,93726,0
2015-02-03,21:05:00,8.6,8.63,8.54,8.61,46039,0
2015-02-03,21:10:00,8.63,8.84,8.63,8.77,136923,0
2015-02-03,21:15:00,8.79,8.82,8.72,8.79,85556,0
2015-02-03,21:20:00,8.79,8.89,8.77,8.81,146736,0
2015-02-03,21:25:00,8.81,8.91,8.79,8.9,137079,0
2015-02-03,21:30:00,8.9,9.03,8.89,9.02,201078,0
2015-02-03,21:35:00,9.03,9.05,8.9,8.98,163419,0
2015-02-03,21:40:00,8.98,9.13,8.98,9.05,261453,0
2015-02-03,21:45:00,9.06,9.13,9.04,9.08,140578,0
2015-02-03,21:50:00,9.08,9.09,8.95,8.98,144839,0
2015-02-03,21:55:00,8.98,9.0,8.92,9.0,148369,0
