Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,16:50:00,38.93,38.93,38.91,38.92,154033,0
2015-02-03,16:55:00,38.92,38.92,38.91,38.92,120388,0
2015-02-03,17:00:00,38.92,38.92,38.91,38.92,22829,0
2015-02-03,17:05:00,38.92,38.92,38.91,38.91,37480,0
2015-02-03,17:10:00,38.92,38.92,38.91,38.92,122128,0
2015-02-03,17:15:00,38.92,38.92,38.91,38.92,45031,0
2015-02-03,17:20:00,38.92,38.93,38.92,38.93,42990,0
2015-02-03,17:25:00,38.93,38.93,38.92,38.93,54109,0
2015-02-03,17:30:00,38.93,38.93,38.92,38.93,47531,0
2015-02-03,17:35:00,38.93,38.94,38.93,38.94,61383,0
2015-02-03,17:40:00,38.94,38.95,38.93,38.95,246227,0
2015-02-03,17:45:00,38.94,38.97,38.93,38.96,237758,0
2015-02-03,17:50:00,38.96,38.96,38.94,38.96,86803,0
2015-02-03,17:55:00,38.95,38.97,38.95,38.95,109477,0
2015-02-03,18:00:00,38.95,38.96,38.94,38.95,74890,0
2015-02-03,18:05:00,38.95,38.95,38.94,38.94,23144,0
2015-02-03,18:10:00,38.95,38.96,38.94,38.95,57375,0
2015-02-03,18:15:00,38.95,38.96,38.94,38.96,40298,0
2015-02-03,18:20:00,38.95,38.96,38.95,38.96,27823,0
2015-02-03,18:25:00,38.96,38.96,38.94,38.94,114000,0
2015-02-03,18:30:00,38.95,38.96,38.95,38.96,18536,0
2015-02-03,18:35:00,38.96,38.96,38.95,38.96,28895,0
2015-02-03,18:40:00,38.96,38.97,38.96,38.97,37426,0
2015-02-03,18:45:00,38.97,38.99,38.96,38.99,85291,0
2015-02-03,18:50:00,38.99,39.0,38.98,38.99,74612,0
2015-02-03,18:55:00,38.99,39.0,38.98,39.0,76574,0
2015-02-03,19:00:00,38.99,39.0,38.99,39.0,41901,0
2015-02-03,19:05:00,39.0,39.0,38.99,39.0,61077,0
2015-02-03,19:10:00,39.0,39.02,39.0,39.01,46961,0
2015-02-03,19:15:00,39.01,39.02,39.01,39.02,60952,0
2015-02-03,19:20:00,39.02,39.03,39.01,39.02,99401,0
2015-02-03,19:25:00,39.02,39.04,39.02,39.03,164838,0
2015-02-03,19:30:00,39.03,39.05,39.02,39.04,91713,0
2015-02-03,19:35:00,39.04,39.05,39.02,39.04,58859,0
2015-02-03,19:40:00,39.03,39.04,39.02,39.02,39206,0
2015-02-03,19:45:00,39.02,39.03,39.02,39.02,19574,0
2015-02-03,19:50:00,39.02,39.03,39.02,39.03,27008,0
2015-02-03,19:55:00,39.02,39.03,39.02,39.03,34014,0
2015-02-03,20:00:00,39.02,39.04,39.02,39.04,50011,0
2015-02-03,20:05:00,39.04,39.04,39.02,39.04,157004,0
2015-02-03,20:10:00,39.03,39.06,39.03,39.04,97835,0
2015-02-03,20:15:00,39.05,39.05,39.03,39.03,72071,0
2015-02-03,20:20:00,39.02,39.05,39.02,39.05,102889,0
2015-02-03,20:25:00,39.05,39.05,39.04,39.05,131149,0
2015-02-03,20:30:00,39.05,39.05,39.03,39.04,129691,0
2015-02-03,20:35:00,39.04,39.05,39.04,39.05,74657,0
2015-02-03,20:40:00,39.05,39.05,39.04,39.05,106982,0
2015-02-03,20:45:00,39.04,39.08,39.04,39.08,254496,0
2015-02-03,20:50:00,39.07,39.07,39.04,39.05,63284,0
2015-02-03,20:55:00,39.05,39.06,39.04,39.05,62270,0
2015-02-03,21:00:00,39.04,39.07,39.04,39.06,114669,0
2015-02-03,21:05:00,39.07,39.08,39.06,39.08,43772,0
2015-02-03,21:10:00,39.08,39.08,39.07,39.07,25607,0
2015-02-03,21:15:00,39.08,39.08,39.07,39.07,263600,0
2015-02-03,21:20:00,39.08,39.08,39.07,39.07,23510,0
2015-02-03,21:25:00,39.08,39.09,39.07,39.08,61944,0
2015-02-03,21:30:00,39.09,39.09,39.06,39.07,102480,0
2015-02-03,21:35:00,39.08,39.09,39.07,39.08,104634,0
2015-02-03,21:40:00,39.08,39.09,39.07,39.08,65577,0
2015-02-03,21:45:00,39.08,39.09,39.06,39.07,148339,0
2015-02-03,21:50:00,39.07,39.08,39.05,39.06,418005,0
2015-02-03,21:55:00,39.05,39.07,39.05,39.07,294195,0
2015-02-03,22:00:00,39.06,39.07,39.03,39.03,2396166,0
2015-02-04,15:35:00,39.01,39.03,38.97,38.99,92777,0
2015-02-04,15:40:00,38.98,39.02,38.97,39.02,20095,0
2015-02-04,15:45:00,39.02,39.03,39.01,39.02,91540,0
2015-02-04,15:50:00,39.02,39.03,39.0,39.02,34411,0
2015-02-04,15:55:00,39.02,39.03,38.98,39.0,113926,0
2015-02-04,16:00:00,39.0,39.01,38.99,39.01,80460,0
2015-02-04,16:05:00,39.0,39.02,38.99,38.99,200815,0
2015-02-04,16:10:00,38.99,39.02,38.99,39.0,76534,0
2015-02-04,16:15:00,39.0,39.0,38.99,39.0,75864,0
2015-02-04,16:20:00,38.99,39.0,38.99,38.99,69444,0
2015-02-04,16:25:00,38.99,38.99,38.97,38.98,46201,0
2015-02-04,16:30:00,38.98,38.99,38.96,38.96,75834,0
2015-02-04,16:35:00,38.96,38.97,38.96,38.97,45349,0
2015-02-04,16:40:00,38.97,38.98,38.96,38.98,68415,0
2015-02-04,16:45:00,38.98,39.01,38.97,39.01,74533,0
2015-02-04,16:50:00,39.01,39.02,39.0,39.01,83362,0
2015-02-04,16:55:00,39.01,39.02,39.0,39.02,18485,0
2015-02-04,17:00:00,39.02,39.02,39.01,39.02,23086,0
2015-02-04,17:05:00,39.02,39.02,39.01,39.01,25460,0
2015-02-04,17:10:00,39.02,39.02,39.01,39.02,18763,0
2015-02-04,17:15:00,39.02,39.02,39.01,39.02,21988,0
2015-02-04,17:20:00,39.02,39.02,39.01,39.02,53110,0
2015-02-04,17:25:00,39.01,39.02,39.01,39.02,183861,0
2015-02-04,17:30:00,39.02,39.02,39.01,39.02,63982,0
2015-02-04,17:35:00,39.01,39.02,39.01,39.01,63882,0
2015-02-04,17:40:00,39.01,39.02,39.01,39.02,141196,0
2015-02-04,17:45:00,39.02,39.02,39.01,39.02,141155,0
2015-02-04,17:50:00,39.02,39.02,39.01,39.02,109739,0
2015-02-04,17:55:00,39.02,39.02,39.01,39.02,90700,0
2015-02-04,18:00:00,39.01,39.02,38.99,39.0,227264,0
2015-02-04,18:05:00,39.0,39.0,38.99,39.0,14527,0
2015-02-04,18:10:00,39.0,39.0,38.99,39.0,27511,0
2015-02-04,18:15:00,39.0,39.0,38.99,39.0,19585,0
