Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-03-13,19:45:00,47.32,47.32,47.32,47.32,404,0
2014-03-13,20:15:00,47.282,47.282,47.282,47.282,151,0
2014-03-13,20:30:00,47.202,47.202,47.202,47.202,404,0
2014-03-13,20:50:00,47.302,47.302,47.302,47.302,202,0
2014-03-13,20:55:00,47.262,47.262,47.262,47.262,101,0
2014-03-14,14:40:00,46.658,46.658,46.658,46.658,808,0
2014-03-14,15:05:00,46.658,46.658,46.658,46.658,101,0
2014-03-14,16:10:00,46.658,46.658,46.658,46.658,1212,0
2014-03-14,16:50:00,46.648,46.658,46.648,46.658,8586,0
2014-03-14,19:15:00,46.678,46.678,46.678,46.678,107,0
2014-03-14,19:35:00,46.807,46.807,46.807,46.807,151,0
2014-03-14,19:40:00,46.609,46.609,46.609,46.609,404,0
2014-03-17,14:45:00,46.559,46.559,46.559,46.559,606,0
2014-03-17,20:55:00,46.609,46.628,46.609,46.628,606,0
2014-03-18,20:00:00,47.461,47.461,47.451,47.451,606,0
2014-03-19,16:20:00,47.054,47.104,47.054,47.094,1819,0
2014-03-19,20:10:00,46.658,46.658,46.658,46.658,101,0
2014-03-19,20:15:00,46.49,46.539,46.49,46.539,303,0
2014-03-19,20:20:00,46.579,46.668,46.579,46.658,707,0
2014-03-19,20:25:00,46.698,46.698,46.698,46.698,404,0
2014-03-19,20:30:00,46.698,46.698,46.698,46.698,606,0
2014-03-19,20:35:00,46.698,46.698,46.698,46.698,606,0
2014-03-19,20:40:00,46.738,46.827,46.738,46.827,404,0
2014-03-19,20:45:00,46.797,46.797,46.797,46.797,606,0
2014-03-19,20:50:00,46.797,46.827,46.797,46.827,909,0
2014-03-19,20:55:00,46.827,46.837,46.827,46.827,1717,0
2014-03-19,21:00:00,46.827,46.876,46.579,46.579,6470,0
2014-03-20,14:35:00,45.807,45.807,45.807,45.807,574,0
2014-03-20,15:05:00,45.935,45.955,45.935,45.955,7589,0
2014-03-20,15:10:00,46.005,46.005,46.005,46.005,7659,0
2014-03-20,15:30:00,46.114,46.114,46.114,46.114,404,0
2014-03-20,16:05:00,46.035,46.035,45.965,45.965,303,0
2014-03-20,16:35:00,46.055,46.055,46.055,46.055,303,0
2014-03-20,17:15:00,46.134,46.134,46.134,46.134,116,0
2014-03-20,17:25:00,46.134,46.134,46.134,46.134,382,0
2014-03-20,19:45:00,46.064,46.262,46.064,46.262,606,0
2014-03-20,20:20:00,46.035,46.045,45.935,46.005,3636,0
2014-03-20,20:50:00,45.995,45.995,45.995,45.995,1616,0
2014-03-20,21:00:00,46.035,46.035,46.025,46.025,404,0
2014-03-21,14:35:00,46.252,46.252,46.252,46.252,552,0
2014-03-21,14:40:00,46.312,46.312,46.312,46.312,101,0
2014-03-21,15:25:00,46.361,46.361,46.361,46.361,2829,0
2014-03-21,15:30:00,46.361,46.361,46.361,46.361,8641,0
2014-03-21,15:45:00,46.361,46.361,46.361,46.361,5556,0
2014-03-21,15:50:00,46.332,46.341,46.332,46.332,10135,0
2014-03-21,16:00:00,46.371,46.371,46.371,46.371,10727,0
2014-03-21,16:05:00,46.391,46.391,46.381,46.391,10556,0
2014-03-21,16:10:00,46.411,46.411,46.401,46.411,14647,0
2014-03-21,16:45:00,46.381,46.381,46.381,46.381,1717,0
2014-03-21,20:30:00,46.094,46.094,46.094,46.094,404,0
2014-03-21,20:35:00,46.124,46.124,46.094,46.094,404,0
2014-03-21,21:00:00,45.906,45.906,45.896,45.896,303,0
2014-03-24,15:00:00,46.708,46.708,46.708,46.708,556,0
2014-03-24,19:00:00,46.708,46.728,46.708,46.728,8788,0
2014-03-24,19:05:00,46.728,46.728,46.728,46.728,3939,0
2014-03-24,19:45:00,46.797,46.807,46.797,46.797,8098,0
2014-03-24,19:50:00,46.807,46.906,46.807,46.906,5535,0
2014-03-24,20:10:00,46.777,46.777,46.777,46.777,9495,0
2014-03-24,20:15:00,46.777,46.777,46.767,46.767,3737,0
2014-03-24,20:25:00,46.777,46.777,46.777,46.777,5590,0
2014-03-24,20:40:00,46.876,46.876,46.866,46.866,7688,0
2014-03-24,20:50:00,46.866,46.866,46.866,46.866,887,0
2014-03-25,17:40:00,46.797,46.797,46.797,46.797,101,0
2014-03-25,19:00:00,46.886,46.886,46.876,46.876,11168,0
2014-03-25,19:25:00,46.856,46.856,46.856,46.856,9216,0
2014-03-25,19:35:00,46.827,46.827,46.767,46.767,808,0
2014-03-25,21:00:00,46.965,46.965,46.965,46.965,101,0
2014-03-26,15:10:00,47.361,47.371,47.361,47.371,6768,0
2014-03-26,15:15:00,47.371,47.371,47.371,47.371,13402,0
