Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-23,17:45:00,70.32,70.32,70.32,70.32,275,0
2015-01-23,17:50:00,70.35,70.35,70.35,70.35,800,0
2015-01-23,18:20:00,70.36,70.38,70.34,70.34,2065,0
2015-01-23,18:40:00,70.44,70.44,70.41,70.41,1276,0
2015-01-23,18:45:00,70.41,70.41,70.41,70.41,600,0
2015-01-23,19:00:00,70.4,70.4,70.4,70.4,600,0
2015-01-23,19:10:00,70.36,70.36,70.36,70.36,957,0
2015-01-23,19:20:00,70.37,70.4,70.33,70.33,1766,0
2015-01-23,19:25:00,70.33,70.34,70.3,70.34,2000,0
2015-01-23,19:35:00,70.35,70.35,70.35,70.35,6493,0
2015-01-23,19:40:00,70.36,70.36,70.36,70.36,1320,0
2015-01-23,19:45:00,70.44,70.45,70.44,70.45,1625,0
2015-01-23,19:50:00,70.42,70.45,70.42,70.45,2022,0
2015-01-23,19:55:00,70.43,70.45,70.43,70.45,800,0
2015-01-23,20:00:00,70.4,70.41,70.4,70.41,561,0
2015-01-23,20:10:00,70.41,70.41,70.4,70.4,500,0
2015-01-23,20:15:00,70.38,70.38,70.38,70.38,286,0
2015-01-23,20:20:00,70.37,70.37,70.35,70.35,600,0
2015-01-23,20:30:00,70.37,70.38,70.37,70.38,2200,0
2015-01-23,20:35:00,70.35,70.35,70.35,70.35,178,0
2015-01-23,20:40:00,70.34,70.34,70.32,70.32,1500,0
2015-01-23,20:45:00,70.32,70.32,70.31,70.31,300,0
2015-01-23,20:50:00,70.3,70.3,70.3,70.3,309,0
2015-01-23,20:55:00,70.21,70.27,70.21,70.27,3623,0
2015-01-23,21:05:00,70.21,70.21,70.21,70.21,1068,0
2015-01-23,21:15:00,70.23,70.23,70.22,70.22,1650,0
2015-01-23,21:25:00,70.21,70.21,70.21,70.21,3575,0
2015-01-23,21:50:00,70.16,70.16,70.16,70.16,5000,0
2015-01-23,21:55:00,70.12,70.12,70.12,70.12,600,0
2015-01-23,22:00:00,70.03,70.04,70.03,70.04,1590,0
2015-01-26,15:35:00,70.0,70.0,69.93,69.93,1875,0
2015-01-26,15:40:00,69.83,69.9,69.83,69.9,1292,0
2015-01-26,15:45:00,69.85,69.85,69.82,69.82,636,0
2015-01-26,15:55:00,69.8,69.84,69.8,69.84,1428,0
2015-01-26,16:00:00,69.84,69.84,69.84,69.84,2388,0
2015-01-26,16:05:00,69.89,69.89,69.84,69.84,629,0
2015-01-26,16:10:00,69.92,69.97,69.92,69.97,1467,0
2015-01-26,16:15:00,69.92,69.92,69.92,69.92,325,0
2015-01-26,16:20:00,69.88,69.88,69.88,69.88,642,0
2015-01-26,16:30:00,69.93,69.93,69.9,69.93,2215,0
2015-01-26,16:45:00,70.04,70.04,70.03,70.03,200,0
2015-01-26,16:50:00,70.04,70.11,70.04,70.1,2550,0
2015-01-26,17:00:00,70.09,70.09,70.09,70.09,200,0
2015-01-26,17:05:00,70.1,70.1,70.06,70.06,728,0
2015-01-26,17:10:00,70.11,70.11,70.11,70.11,100,0
2015-01-26,17:15:00,70.08,70.08,70.08,70.08,2400,0
2015-01-26,17:20:00,70.03,70.04,70.03,70.04,2936,0
2015-01-26,17:25:00,70.08,70.08,70.08,70.08,710,0
2015-01-26,17:30:00,70.0,70.0,70.0,70.0,1358,0
2015-01-26,17:35:00,70.01,70.01,70.01,70.01,127,0
2015-01-26,17:40:00,69.97,69.97,69.97,69.97,1420,0
2015-01-26,17:45:00,70.01,70.01,70.01,70.01,690,0
2015-01-26,17:55:00,70.06,70.06,70.06,70.06,100,0
2015-01-26,18:00:00,70.13,70.13,70.13,70.13,2500,0
2015-01-26,18:05:00,70.1,70.1,70.1,70.1,5700,0
2015-01-26,18:10:00,70.15,70.15,70.15,70.15,200,0
2015-01-26,18:15:00,70.18,70.18,70.16,70.16,1562,0
2015-01-26,18:20:00,70.13,70.13,70.13,70.13,508,0
2015-01-26,18:25:00,70.16,70.16,70.12,70.13,2400,0
2015-01-26,18:40:00,70.03,70.03,70.03,70.03,2300,0
2015-01-26,18:45:00,70.08,70.08,70.08,70.08,203,0
2015-01-26,19:15:00,70.05,70.08,70.05,70.06,4075,0
2015-01-26,19:20:00,70.08,70.08,70.08,70.08,1427,0
2015-01-26,19:25:00,70.1,70.1,70.1,70.1,399,0
2015-01-26,19:35:00,70.15,70.15,70.15,70.15,2800,0
2015-01-26,19:40:00,70.12,70.12,70.1,70.1,1112,0
2015-01-26,19:50:00,70.15,70.21,70.15,70.21,1190,0
2015-01-26,20:00:00,70.2,70.2,70.2,70.2,558,0
2015-01-26,20:05:00,70.21,70.21,70.21,70.21,2765,0
2015-01-26,20:15:00,70.18,70.18,70.14,70.14,400,0
2015-01-26,20:35:00,70.16,70.16,70.16,70.16,102,0
2015-01-26,20:40:00,70.16,70.16,70.16,70.16,1400,0
2015-01-26,20:50:00,70.11,70.11,70.09,70.09,400,0
2015-01-26,21:00:00,70.13,70.13,70.13,70.13,153,0
2015-01-26,21:05:00,70.12,70.12,70.12,70.12,100,0
2015-01-26,21:10:00,70.08,70.11,70.08,70.11,322,0
2015-01-26,21:20:00,70.07,70.07,70.05,70.05,1159,0
