Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-12-02,21:00:00,27.93,27.93,27.93,27.93,600,0
2014-12-02,21:05:00,27.96,27.96,27.96,27.96,261,0
2014-12-02,21:15:00,28.04,28.04,28.04,28.04,3124,0
2014-12-02,21:30:00,27.92,27.92,27.92,27.92,368,0
2014-12-02,21:35:00,27.97,27.97,27.97,27.97,782,0
2014-12-02,21:45:00,27.95,27.95,27.95,27.95,178,0
2014-12-02,22:00:00,27.94,27.94,27.93,27.93,400,0
2014-12-03,15:35:00,28.11,28.11,28.11,28.11,100,0
2014-12-03,15:45:00,28.05,28.08,28.05,28.07,8000,0
2014-12-03,16:25:00,28.08,28.08,28.08,28.08,755,0
2014-12-03,17:50:00,28.06,28.06,28.06,28.06,500,0
2014-12-03,18:00:00,27.99,27.99,27.97,27.97,350,0
2014-12-03,18:10:00,28.0,28.0,28.0,28.0,200,0
2014-12-03,18:20:00,28.09,28.1,28.02,28.02,8740,0
2014-12-03,18:30:00,28.08,28.09,28.08,28.09,1200,0
2014-12-03,19:05:00,28.09,28.1,28.09,28.09,2000,0
2014-12-03,19:10:00,28.1,28.11,28.1,28.11,217,0
2014-12-03,19:20:00,28.09,28.1,28.09,28.1,1932,0
2014-12-03,19:50:00,28.08,28.08,28.08,28.08,262,0
2014-12-03,20:25:00,28.0,28.0,28.0,28.0,590,0
2014-12-03,20:45:00,28.01,28.01,27.99,27.99,948,0
2014-12-03,21:55:00,27.98,28.07,27.98,28.05,1183,0
2014-12-04,16:25:00,28.02,28.02,28.02,28.02,291,0
2014-12-04,16:55:00,27.99,27.99,27.99,27.99,455,0
2014-12-04,19:05:00,28.07,28.08,28.0,28.0,788,0
2014-12-04,19:30:00,27.97,27.97,27.97,27.97,1800,0
2014-12-04,20:30:00,28.05,28.06,28.0,28.0,1108,0
2014-12-04,21:25:00,28.03,28.03,27.98,27.98,549,0
2014-12-04,21:35:00,27.96,27.96,27.96,27.96,710,0
2014-12-04,21:55:00,28.02,28.02,28.02,28.02,224,0
2014-12-05,16:00:00,27.96,27.96,27.95,27.95,2980,0
2014-12-05,17:20:00,28.04,28.04,28.04,28.04,400,0
2014-12-05,17:55:00,28.07,28.08,28.07,28.08,4445,0
2014-12-05,19:25:00,27.96,27.96,27.96,27.96,600,0
2014-12-05,19:45:00,28.09,28.11,28.06,28.1,10434,0
2014-12-05,20:25:00,28.07,28.07,28.07,28.07,300,0
2014-12-05,21:05:00,28.05,28.05,27.97,27.97,484,0
2014-12-05,21:10:00,28.06,28.06,28.06,28.06,800,0
2014-12-05,21:20:00,28.06,28.06,28.06,28.06,1900,0
2014-12-08,15:35:00,28.03,28.03,27.95,27.97,1055,0
2014-12-08,15:45:00,27.95,27.95,27.95,27.95,400,0
2014-12-08,17:35:00,27.95,27.95,27.94,27.94,421,0
2014-12-08,17:45:00,27.95,27.95,27.95,27.95,500,0
2014-12-08,18:05:00,27.92,27.99,27.87,27.95,12200,0
2014-12-08,18:10:00,27.93,27.95,27.89,27.9,3300,0
2014-12-08,18:15:00,27.93,27.99,27.89,27.99,13400,0
2014-12-08,18:25:00,27.86,27.89,27.86,27.89,200,0
2014-12-08,18:30:00,27.88,27.88,27.86,27.87,11730,0
2014-12-08,18:35:00,27.86,27.86,27.86,27.86,300,0
2014-12-08,18:40:00,27.87,27.87,27.87,27.87,174,0
2014-12-08,18:45:00,27.86,27.86,27.86,27.86,100,0
2014-12-08,19:15:00,27.85,27.87,27.85,27.86,5100,0
2014-12-08,19:20:00,27.85,27.87,27.85,27.85,2684,0
2014-12-08,19:45:00,27.85,27.85,27.79,27.79,300,0
2014-12-08,20:35:00,27.84,27.84,27.83,27.83,900,0
2014-12-08,20:45:00,27.86,27.86,27.86,27.86,400,0
2014-12-08,21:00:00,27.78,27.78,27.78,27.78,600,0
2014-12-08,21:15:00,27.85,27.85,27.75,27.75,1800,0
2014-12-08,21:20:00,27.86,27.86,27.86,27.86,995,0
2014-12-08,21:55:00,27.85,27.85,27.85,27.85,200,0
2014-12-09,16:30:00,27.88,27.88,27.88,27.88,360,0
2014-12-09,16:35:00,27.87,27.88,27.86,27.88,1500,0
2014-12-09,17:35:00,27.91,27.91,27.91,27.91,811,0
2014-12-09,17:50:00,27.89,27.89,27.89,27.89,197,0
2014-12-09,17:55:00,27.82,27.82,27.82,27.82,600,0
2014-12-09,18:20:00,27.82,27.82,27.82,27.82,392,0
2014-12-09,18:55:00,27.85,27.85,27.83,27.83,3245,0
2014-12-09,19:00:00,27.89,27.89,27.89,27.89,900,0
2014-12-09,19:20:00,27.87,27.87,27.87,27.87,180,0
2014-12-09,19:50:00,28.06,28.06,28.06,28.06,400,0
2014-12-09,20:15:00,27.85,27.85,27.85,27.85,380,0
2014-12-09,20:35:00,28.07,28.07,28.07,28.07,574,0
2014-12-09,20:45:00,28.05,28.05,28.05,28.05,2450,0
2014-12-10,15:35:00,28.03,28.03,28.03,28.03,386,0
2014-12-10,15:40:00,27.98,27.98,27.98,27.98,342,0
2014-12-10,15:45:00,27.93,27.93,27.92,27.92,600,0
2014-12-10,17:45:00,27.88,27.88,27.88,27.88,409,0
2014-12-10,17:50:00,27.84,27.84,27.84,27.84,500,0
2014-12-10,18:05:00,27.88,27.88,27.88,27.88,1300,0
2014-12-10,20:20:00,27.83,27.83,27.83,27.83,340,0
2014-12-10,20:25:00,27.8,27.8,27.8,27.8,226,0
2014-12-10,20:30:00,27.82,27.82,27.82,27.82,200,0
2014-12-10,20:35:00,27.81,27.81,27.8,27.8,400,0
2014-12-10,20:40:00,27.81,27.81,27.81,27.81,100,0
2014-12-10,20:45:00,27.79,27.79,27.77,27.78,5900,0
2014-12-10,20:50:00,27.81,27.81,27.79,27.8,4400,0
2014-12-10,20:55:00,27.8,27.81,27.76,27.8,6130,0
2014-12-10,21:00:00,27.79,27.79,27.78,27.79,1100,0
2014-12-10,21:05:00,27.78,27.84,27.78,27.84,1800,0
2014-12-10,21:10:00,27.81,27.91,27.8,27.82,6808,0
2014-12-10,21:15:00,27.8,27.82,27.8,27.82,1500,0
2014-12-10,21:20:00,27.8,27.8,27.8,27.8,456,0
2014-12-10,21:25:00,27.82,27.82,27.82,27.82,100,0
2014-12-10,21:30:00,27.82,27.82,27.82,27.82,600,0
2014-12-10,21:40:00,27.76,27.82,27.76,27.82,2900,0
2014-12-10,21:45:00,27.8,27.8,27.8,27.8,100,0
2014-12-10,21:50:00,27.79,27.79,27.79,27.79,202,0
2014-12-10,21:55:00,27.76,27.78,27.76,27.77,2100,0
2014-12-10,22:00:00,27.79,27.79,27.75,27.79,1576,0
2014-12-11,15:35:00,27.92,27.92,27.73,27.73,4489,0
2014-12-11,15:45:00,28.0,28.0,28.0,28.0,100,0
2014-12-11,16:25:00,28.02,28.02,28.02,28.02,408,0
2014-12-11,16:35:00,28.04,28.05,28.04,28.05,1533,0
2014-12-11,16:40:00,27.86,27.86,27.86,27.86,800,0
2014-12-11,17:00:00,27.94,27.94,27.94,27.94,600,0
2014-12-11,17:25:00,27.98,27.98,27.98,27.98,324,0
2014-12-11,17:55:00,28.03,28.03,28.03,28.03,181,0
2014-12-11,18:00:00,28.02,28.02,28.02,28.02,250,0
2014-12-11,18:30:00,28.02,28.02,28.02,28.02,420,0
2014-12-11,19:05:00,27.99,27.99,27.99,27.99,4746,0
2014-12-11,20:00:00,27.92,27.92,27.92,27.92,580,0
2014-12-11,20:05:00,27.97,27.97,27.97,27.97,146,0
2014-12-11,20:10:00,27.94,27.97,27.92,27.97,712,0
2014-12-11,20:20:00,27.98,27.98,27.97,27.97,900,0
2014-12-11,20:25:00,27.98,27.98,27.98,27.98,1280,0
2014-12-11,20:30:00,27.95,27.95,27.94,27.94,200,0
2014-12-11,20:35:00,27.93,27.93,27.91,27.92,4200,0
2014-12-11,20:40:00,27.9,27.95,27.89,27.92,5005,0
2014-12-11,20:45:00,27.91,27.91,27.91,27.91,235,0
2014-12-11,20:55:00,27.92,27.92,27.92,27.92,6000,0
2014-12-12,15:35:00,28.47,28.47,27.83,27.95,524,0
2014-12-12,16:30:00,27.92,27.95,27.92,27.95,1000,0
2014-12-12,17:20:00,27.81,27.81,27.81,27.81,200,0
2014-12-12,17:25:00,27.81,27.81,27.81,27.81,200,0
2014-12-12,17:30:00,27.75,27.75,27.75,27.75,870,0
2014-12-12,18:15:00,27.81,27.82,27.81,27.82,672,0
2014-12-12,18:55:00,27.78,27.85,27.78,27.85,4000,0
2014-12-12,19:00:00,27.83,27.83,27.83,27.83,200,0
2014-12-12,19:40:00,27.88,27.88,27.78,27.78,584,0
2014-12-12,20:05:00,27.87,27.87,27.87,27.87,382,0
2014-12-12,20:35:00,27.85,27.85,27.85,27.85,100,0
2014-12-12,20:40:00,27.84,27.84,27.84,27.84,100,0
2014-12-12,20:45:00,27.84,27.84,27.84,27.84,100,0
2014-12-12,20:50:00,27.84,27.84,27.84,27.84,200,0
2014-12-12,20:55:00,27.84,27.84,27.84,27.84,300,0
2014-12-12,21:00:00,27.84,27.84,27.84,27.84,100,0
2014-12-12,21:20:00,27.83,27.83,27.83,27.83,100,0
2014-12-12,21:30:00,27.83,27.83,27.83,27.83,100,0
2014-12-12,21:35:00,27.82,27.82,27.82,27.82,100,0
2014-12-12,21:40:00,27.81,27.81,27.81,27.81,200,0
2014-12-12,21:45:00,27.8,27.8,27.77,27.79,3400,0
2014-12-12,21:55:00,27.79,27.79,27.76,27.76,234,0
2014-12-12,22:00:00,27.76,27.76,27.76,27.76,1000,0
2014-12-15,16:15:00,27.83,27.83,27.83,27.83,288,0
2014-12-15,16:40:00,27.92,27.92,27.92,27.92,758,0
2014-12-15,17:10:00,28.02,28.02,27.99,27.99,994,0
2014-12-15,17:20:00,27.95,27.95,27.93,27.94,24640,0
2014-12-15,17:50:00,27.92,28.1,27.92,28.1,1580,0
2014-12-15,18:00:00,28.04,28.04,28.04,28.04,200,0
2014-12-15,18:05:00,28.08,28.09,27.86,28.09,1742,0
2014-12-15,18:10:00,28.08,28.08,28.08,28.08,1965,0
2014-12-15,18:35:00,27.9,27.9,27.86,27.87,2400,0
2014-12-15,19:15:00,27.86,27.86,27.86,27.86,400,0
2014-12-15,19:45:00,27.88,27.88,27.88,27.88,240,0
2014-12-15,20:05:00,27.87,27.87,27.87,27.87,115,0
2014-12-15,20:10:00,27.86,27.87,27.86,27.87,2676,0
2014-12-15,20:15:00,27.87,27.87,27.86,27.86,3200,0
2014-12-15,20:25:00,27.87,27.87,27.84,27.84,7000,0
2014-12-15,20:30:00,27.87,27.87,27.87,27.87,200,0
2014-12-15,21:45:00,27.85,27.87,27.85,27.87,2800,0
2014-12-15,21:50:00,27.78,27.86,27.78,27.86,4500,0
2014-12-15,21:55:00,27.87,27.87,27.85,27.85,1965,0
2014-12-16,15:55:00,27.7,27.7,27.7,27.7,359,0
2014-12-16,16:05:00,27.55,27.55,27.55,27.55,200,0
2014-12-16,16:35:00,27.83,27.83,27.83,27.83,700,0
2014-12-16,16:55:00,27.76,27.76,27.73,27.73,1800,0
2014-12-16,18:00:00,27.94,27.94,27.94,27.94,140,0
2014-12-16,18:40:00,27.78,27.78,27.78,27.78,341,0
2014-12-16,19:00:00,27.84,27.84,27.76,27.76,680,0
2014-12-16,19:50:00,27.78,27.78,27.7,27.7,515,0
2014-12-16,19:55:00,27.74,27.79,27.74,27.79,685,0
2014-12-16,20:30:00,27.7,27.7,27.7,27.7,490,0
2014-12-16,20:40:00,27.79,27.79,27.79,27.79,1370,0
2014-12-16,21:45:00,27.71,27.71,27.7,27.71,1000,0
2014-12-16,21:55:00,27.7,27.72,27.7,27.72,3554,0
2014-12-16,22:00:00,27.73,27.73,27.7,27.7,200,0
2014-12-17,16:40:00,27.89,27.91,27.84,27.84,1770,0
2014-12-17,16:55:00,27.89,27.89,27.89,27.89,612,0
2014-12-17,17:30:00,27.95,27.95,27.89,27.89,700,0
2014-12-17,18:20:00,27.88,27.88,27.88,27.88,800,0
2014-12-17,18:50:00,27.89,27.89,27.89,27.89,718,0
2014-12-17,18:55:00,27.89,27.89,27.89,27.89,4000,0
2014-12-17,19:35:00,27.93,27.97,27.93,27.97,800,0
2014-12-17,19:45:00,27.88,27.97,27.87,27.97,3500,0
2014-12-17,20:00:00,27.9,27.9,27.9,27.9,750,0
2014-12-17,20:55:00,27.89,27.89,27.89,27.89,218,0
2014-12-17,21:05:00,27.89,27.89,27.89,27.89,150,0
2014-12-17,21:10:00,27.92,27.92,27.92,27.92,276,0
2014-12-17,21:15:00,27.89,27.9,27.89,27.9,1150,0
2014-12-17,21:30:00,27.86,27.86,27.86,27.86,956,0
2014-12-17,21:35:00,27.95,27.96,27.95,27.96,1300,0
2014-12-17,21:50:00,27.97,27.97,27.97,27.97,819,0
2014-12-17,22:00:00,27.88,27.88,27.88,27.88,300,0
2014-12-18,15:45:00,27.98,27.98,27.98,27.98,1100,0
2014-12-18,16:00:00,27.99,27.99,27.99,27.99,100,0
2014-12-18,16:25:00,28.01,28.01,28.01,28.01,4340,0
2014-12-18,16:45:00,27.97,27.98,27.97,27.97,1116,0
2014-12-18,16:50:00,27.97,27.99,27.95,27.99,1685,0
2014-12-18,17:05:00,27.95,27.95,27.95,27.95,1000,0
2014-12-18,17:10:00,27.93,27.93,27.93,27.93,500,0
2014-12-18,17:40:00,27.95,27.95,27.95,27.95,960,0
2014-12-18,18:05:00,27.97,27.98,27.97,27.97,602,0
2014-12-18,19:30:00,27.98,27.98,27.98,27.98,100,0
2014-12-18,19:55:00,27.96,27.96,27.96,27.96,400,0
2014-12-18,20:10:00,27.93,27.93,27.93,27.93,259,0
2014-12-18,20:15:00,27.96,27.96,27.95,27.95,2684,0
2014-12-18,20:30:00,27.94,27.95,27.94,27.95,1400,0
2014-12-18,20:40:00,27.94,27.94,27.93,27.93,600,0
2014-12-18,21:05:00,27.95,27.95,27.95,27.95,456,0
2014-12-18,21:10:00,27.86,27.93,27.85,27.9,20394,0
2014-12-18,21:25:00,27.93,27.95,27.93,27.95,698,0
2014-12-18,21:40:00,27.91,27.91,27.91,27.91,693,0
2014-12-18,21:50:00,27.95,27.96,27.95,27.96,1100,0
2014-12-18,21:55:00,27.95,28.0,27.95,27.96,2794,0
2014-12-18,22:00:00,27.97,27.98,27.93,27.93,1450,0
2014-12-19,15:45:00,28.02,28.02,27.93,27.93,528,0
2014-12-19,16:00:00,27.9,27.9,27.79,27.79,300,0
2014-12-19,16:10:00,27.92,27.92,27.9,27.9,895,0
2014-12-19,17:15:00,27.76,27.76,27.76,27.76,1228,0
2014-12-19,18:20:00,27.9,27.92,27.9,27.92,26585,0
2014-12-19,18:25:00,27.89,27.89,27.89,27.89,200,0
