Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-22,22:00:00,12.17,12.17,12.17,12.17,1228,0
2015-01-23,15:45:00,12.182,12.182,12.182,12.182,3525,0
2015-01-23,15:50:00,12.202,12.202,12.192,12.192,504,0
2015-01-23,16:10:00,12.192,12.192,12.173,12.173,604,0
2015-01-23,16:20:00,12.202,12.202,12.192,12.192,4331,0
2015-01-23,16:30:00,12.202,12.202,12.202,12.202,753,0
2015-01-23,16:35:00,12.202,12.202,12.202,12.202,201,0
2015-01-23,16:40:00,12.202,12.212,12.202,12.212,806,0
2015-01-23,17:00:00,12.212,12.222,12.202,12.202,1354,0
2015-01-23,17:10:00,12.202,12.212,12.202,12.212,705,0
2015-01-23,17:15:00,12.212,12.212,12.212,12.212,101,0
2015-01-23,17:20:00,12.212,12.212,12.212,12.212,1208,0
2015-01-23,17:25:00,12.222,12.222,12.222,12.222,101,0
2015-01-23,17:30:00,12.222,12.222,12.222,12.222,201,0
2015-01-23,17:45:00,12.212,12.212,12.212,12.212,201,0
2015-01-23,17:50:00,12.222,12.222,12.222,12.222,101,0
2015-01-23,18:00:00,12.212,12.212,12.212,12.212,514,0
2015-01-23,18:10:00,12.222,12.222,12.222,12.222,201,0
2015-01-23,18:25:00,12.212,12.212,12.212,12.212,302,0
2015-01-23,19:10:00,12.212,12.212,12.212,12.212,403,0
2015-01-23,19:20:00,12.222,12.222,12.222,12.222,2770,0
2015-01-23,19:25:00,12.212,12.232,12.212,12.232,1813,0
2015-01-23,19:30:00,12.212,12.212,12.212,12.212,1833,0
2015-01-23,19:45:00,12.232,12.232,12.232,12.232,2820,0
2015-01-23,20:00:00,12.232,12.232,12.232,12.232,1309,0
2015-01-23,20:05:00,12.232,12.232,12.222,12.232,1108,0
2015-01-23,20:10:00,12.232,12.232,12.232,12.232,504,0
2015-01-23,20:40:00,12.212,12.212,12.202,12.212,1511,0
2015-01-23,21:15:00,12.202,12.212,12.202,12.212,705,0
2015-01-23,21:25:00,12.212,12.212,12.212,12.212,403,0
2015-01-23,21:35:00,12.212,12.212,12.202,12.202,851,0
2015-01-23,21:45:00,12.222,12.222,12.222,12.222,906,0
2015-01-23,21:50:00,12.212,12.212,12.212,12.212,816,0
2015-01-23,22:00:00,12.212,12.232,12.202,12.202,2439,0
2015-01-26,15:35:00,12.153,12.153,12.153,12.153,403,0
2015-01-26,15:40:00,12.192,12.202,12.182,12.182,504,0
2015-01-26,15:55:00,12.202,12.202,12.182,12.182,692,0
2015-01-26,16:00:00,12.182,12.182,12.182,12.182,201,0
2015-01-26,16:05:00,12.192,12.192,12.192,12.192,9971,0
2015-01-26,16:10:00,12.192,12.212,12.192,12.202,3827,0
2015-01-26,16:15:00,12.212,12.212,12.202,12.202,403,0
2015-01-26,16:20:00,12.202,12.202,12.202,12.202,101,0
2015-01-26,16:25:00,12.192,12.212,12.192,12.202,906,0
2015-01-26,16:30:00,12.202,12.202,12.192,12.192,1007,0
