Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,16:45:00,89.70,89.71,89.63,89.64,175718,0
2015-02-03,16:50:00,89.64,89.68,89.53,89.56,64628,0
2015-02-03,16:55:00,89.56,89.59,89.53,89.57,6338,0
2015-02-03,17:00:00,89.56,89.56,89.41,89.41,5502,0
2015-02-03,17:05:00,89.39,89.49,89.39,89.46,5983,0
2015-02-03,17:10:00,89.41,89.53,89.41,89.52,4892,0
2015-02-03,17:15:00,89.44,89.57,89.44,89.55,4900,0
2015-02-03,17:20:00,89.55,89.62,89.53,89.59,4701,0
2015-02-03,17:25:00,89.62,89.63,89.56,89.58,2658,0
2015-02-03,17:30:00,89.6,89.65,89.52,89.52,11468,0
2015-02-03,17:35:00,89.52,89.56,89.5,89.56,7788,0
2015-02-03,17:40:00,89.52,89.59,89.47,89.59,3833,0
2015-02-03,17:45:00,89.56,89.66,89.53,89.66,3500,0
2015-02-03,17:50:00,89.68,89.68,89.55,89.56,4928,0
2015-02-03,17:55:00,89.56,89.57,89.42,89.42,4500,0
2015-02-03,18:00:00,89.43,89.44,89.36,89.4,6176,0
2015-02-03,18:05:00,89.36,89.36,89.27,89.29,7350,0
2015-02-03,18:10:00,89.35,89.42,89.35,89.39,1634,0
2015-02-03,18:15:00,89.44,89.53,89.44,89.52,4120,0
2015-02-03,18:20:00,89.49,89.51,89.45,89.45,4220,0
2015-02-03,18:25:00,89.47,89.51,89.41,89.41,3370,0
2015-02-03,18:30:00,89.44,89.48,89.42,89.47,1706,0
2015-02-03,18:35:00,89.45,89.45,89.38,89.43,1706,0
2015-02-03,18:40:00,89.42,89.49,89.41,89.42,1001,0
2015-02-03,18:45:00,89.48,89.56,89.47,89.56,2858,0
2015-02-03,18:50:00,89.58,89.6,89.55,89.55,3500,0
2015-02-03,18:55:00,89.57,89.57,89.51,89.55,1562,0
2015-02-03,19:00:00,89.62,89.63,89.52,89.54,2732,0
2015-02-03,19:05:00,89.55,89.59,89.51,89.58,9573,0
2015-02-03,19:10:00,89.57,89.59,89.53,89.54,1691,0
2015-02-03,19:15:00,89.58,89.71,89.58,89.65,3872,0
2015-02-03,19:20:00,89.68,89.69,89.65,89.69,20207,0
2015-02-03,19:25:00,89.74,89.83,89.73,89.76,6692,0
2015-02-03,19:30:00,89.81,89.83,89.74,89.81,37280,0
2015-02-03,19:35:00,89.82,89.88,89.81,89.84,5597,0
2015-02-03,19:40:00,89.86,89.86,89.75,89.75,3312,0
2015-02-03,19:45:00,89.79,89.83,89.76,89.8,6602,0
2015-02-03,19:50:00,89.84,89.84,89.81,89.81,1715,0
2015-02-03,19:55:00,89.8,89.96,89.8,89.93,28832,0
2015-02-03,20:00:00,89.93,90.0,89.93,90.0,3940,0
2015-02-03,20:05:00,90.03,90.08,89.97,89.97,4340,0
2015-02-03,20:10:00,89.99,90.02,89.95,89.95,2200,0
2015-02-03,20:15:00,89.94,89.94,89.88,89.9,15027,0
2015-02-03,20:20:00,89.89,89.93,89.89,89.92,3485,0
2015-02-03,20:25:00,89.94,89.94,89.88,89.9,4874,0
2015-02-03,20:30:00,89.82,89.83,89.78,89.81,6370,0
2015-02-03,20:35:00,89.82,89.84,89.79,89.82,2043,0
2015-02-03,20:40:00,89.81,89.87,89.74,89.87,4756,0
2015-02-03,20:45:00,89.85,89.93,89.85,89.93,3623,0
2015-02-03,20:50:00,89.92,89.95,89.9,89.95,1350,0
2015-02-03,20:55:00,89.91,89.93,89.89,89.91,3907,0
2015-02-03,21:00:00,89.91,90.0,89.91,89.99,4794,0
2015-02-03,21:05:00,90.01,90.05,89.99,90.0,7911,0
2015-02-03,21:10:00,90.05,90.05,89.98,90.0,3761,0
2015-02-03,21:15:00,90.04,90.04,89.95,90.03,42003,0
2015-02-03,21:20:00,90.04,90.04,90.01,90.01,4384,0
2015-02-03,21:25:00,90.01,90.09,90.01,90.09,55594,0
