Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-05-16,19:35:00,64.35,64.35,64.35,64.35,203,0
2014-05-16,20:05:00,64.3,64.3,64.3,64.3,303,0
2014-05-16,21:30:00,64.528,64.528,64.528,64.528,101,0
2014-05-19,15:35:00,64.904,64.904,64.904,64.904,207,0
2014-05-19,18:45:00,64.478,64.478,64.478,64.478,203,0
2014-05-19,18:55:00,64.459,64.459,64.459,64.459,505,0
2014-05-20,15:35:00,64.27,64.27,64.27,64.27,210,0
2014-05-20,15:45:00,64.488,64.488,64.488,64.488,837,0
2014-05-20,19:10:00,64.27,64.27,64.27,64.27,424,0
2014-05-20,19:50:00,64.182,64.182,64.182,64.182,607,0
2014-05-20,20:10:00,64.122,64.122,64.122,64.122,3850,0
2014-05-21,18:50:00,63.914,63.914,63.914,63.914,1009,0
2014-05-21,21:25:00,64.122,64.122,64.122,64.122,101,0
2014-05-22,15:40:00,63.874,63.874,63.874,63.874,155,0
2014-05-22,17:05:00,64.023,64.023,64.023,64.023,505,0
2014-05-23,19:35:00,64.27,64.28,64.27,64.28,466,0
2014-05-23,20:10:00,64.231,64.231,64.231,64.231,536,0
2014-05-23,20:35:00,64.32,64.32,64.32,64.32,141,0
2014-05-23,21:00:00,64.33,64.35,64.33,64.35,303,0
2014-05-23,21:50:00,64.35,64.35,64.35,64.35,101,0
2014-05-27,18:10:00,64.597,64.597,64.597,64.597,283,0
2014-05-27,18:55:00,64.745,64.745,64.745,64.745,631,0
2014-05-28,17:00:00,64.25,64.25,64.25,64.25,166,0
2014-05-28,17:05:00,64.26,64.26,64.26,64.26,334,0
2014-05-28,18:30:00,64.469,64.469,64.469,64.469,402,0
2014-05-28,18:40:00,64.459,64.459,64.459,64.459,2421,0
2014-05-29,18:50:00,64.548,64.548,64.548,64.548,909,0
2014-05-29,21:00:00,64.488,64.488,64.488,64.488,101,0
2014-05-30,16:35:00,64.844,64.844,64.844,64.844,303,0
2014-05-30,16:50:00,64.904,64.904,64.904,64.904,1921,0
2014-05-30,18:30:00,64.904,64.904,64.904,64.904,404,0
2014-05-30,18:45:00,64.844,64.844,64.844,64.844,805,0
2014-05-30,18:55:00,64.835,64.835,64.745,64.745,607,0
2014-06-02,16:05:00,64.775,64.775,64.775,64.775,909,0
2014-06-02,18:45:00,64.954,64.963,64.954,64.963,1011,0
2014-06-03,16:35:00,64.924,64.934,64.924,64.934,607,0
2014-06-03,16:45:00,64.904,64.904,64.904,64.904,101,0
2014-06-03,17:00:00,64.864,64.864,64.864,64.864,316,0
2014-06-03,18:20:00,65.002,65.002,65.002,65.002,704,0
2014-06-03,21:10:00,64.904,64.904,64.904,64.904,118,0
2014-06-03,21:20:00,64.884,64.884,64.884,64.884,187,0
2014-06-04,18:50:00,64.884,64.884,64.874,64.874,1029,0
2014-06-05,17:25:00,65.417,65.417,65.417,65.417,303,0
2014-06-05,19:55:00,65.902,65.902,65.902,65.902,424,0
2014-06-05,21:35:00,66.031,66.031,66.031,66.031,328,0
2014-06-06,19:10:00,65.971,65.971,65.971,65.971,1208,0
2014-06-06,21:15:00,65.951,65.951,65.951,65.951,192,0
2014-06-09,18:50:00,65.397,65.397,65.397,65.397,827,0
2014-06-09,19:00:00,65.318,65.318,65.318,65.318,607,0
2014-06-10,17:35:00,64.735,64.735,64.735,64.735,151,0
2014-06-10,18:30:00,64.735,64.735,64.735,64.735,281,0
2014-06-11,17:35:00,64.459,64.459,64.459,64.459,1245,0
2014-06-12,21:40:00,64.449,64.449,64.449,64.449,593,0
2014-06-13,18:10:00,64.548,64.548,64.548,64.548,537,0
2014-06-13,18:45:00,64.409,64.409,64.409,64.409,101,0
2014-06-16,18:30:00,64.379,64.379,64.379,64.379,351,0
2014-06-17,16:45:00,64.113,64.113,64.113,64.113,1214,0
2014-06-17,20:05:00,64.399,64.399,64.399,64.399,1095,0
2014-06-18,15:40:00,64.28,64.28,64.28,64.28,607,0
2014-06-18,18:05:00,64.24,64.24,64.24,64.24,389,0
2014-06-18,19:35:00,64.369,64.369,64.369,64.369,433,0
2014-06-18,21:10:00,64.864,64.864,64.854,64.854,207,0
2014-06-19,18:45:00,65.131,65.131,65.131,65.131,282,0
2014-06-19,19:00:00,65.151,65.151,65.151,65.151,935,0
2014-06-20,15:35:00,65.199,65.199,65.199,65.199,403,0
2014-06-20,18:40:00,65.09,65.1,65.011,65.011,1020,0
2014-06-23,18:30:00,65.387,65.387,65.387,65.387,172,0
2014-06-23,19:00:00,65.516,65.516,65.516,65.516,448,0
2014-06-23,21:25:00,65.298,65.298,65.298,65.298,151,0
2014-06-23,21:35:00,65.298,65.298,65.298,65.298,101,0
2014-06-23,21:40:00,65.308,65.308,65.308,65.308,115,0
2014-06-24,19:05:00,65.456,65.476,65.447,65.456,913,0
