Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-14,21:50:00,15.59,15.60,15.59,15.60,420,0
2015-01-14,21:55:00,15.61,15.61,15.61,15.61,100,0
2015-01-14,22:00:00,15.61,15.63,15.6,15.6,1936,0
2015-01-15,15:35:00,15.89,15.89,15.85,15.85,600,0
2015-01-15,15:40:00,15.76,15.76,15.76,15.76,300,0
2015-01-15,15:45:00,15.72,15.75,15.72,15.72,5500,0
2015-01-15,15:50:00,15.59,15.59,15.53,15.53,2009,0
2015-01-15,16:05:00,15.56,15.57,15.56,15.57,1990,0
2015-01-15,16:30:00,15.64,15.64,15.62,15.62,783,0
2015-01-15,16:35:00,15.67,15.67,15.67,15.67,623,0
2015-01-15,16:40:00,15.65,15.65,15.65,15.65,135,0
2015-01-15,17:05:00,15.49,15.49,15.49,15.49,502,0
2015-01-15,17:30:00,15.48,15.48,15.42,15.42,3384,0
2015-01-15,17:35:00,15.51,15.51,15.51,15.51,1869,0
2015-01-15,18:00:00,15.55,15.55,15.55,15.55,540,0
2015-01-15,18:25:00,15.51,15.51,15.51,15.51,174,0
2015-01-15,18:50:00,15.51,15.51,15.51,15.51,500,0
2015-01-15,19:05:00,15.58,15.58,15.58,15.58,1050,0
2015-01-15,19:55:00,15.38,15.43,15.38,15.43,2300,0
2015-01-15,20:40:00,15.41,15.41,15.41,15.41,200,0
2015-01-15,20:45:00,15.38,15.38,15.38,15.38,1785,0
2015-01-15,21:15:00,15.37,15.37,15.33,15.33,510,0
2015-01-15,21:25:00,15.34,15.34,15.34,15.34,768,0
2015-01-15,21:35:00,15.35,15.35,15.35,15.35,588,0
2015-01-15,21:40:00,15.35,15.35,15.32,15.32,500,0
2015-01-15,21:45:00,15.32,15.32,15.32,15.32,100,0
2015-01-15,21:50:00,15.32,15.32,15.29,15.29,300,0
2015-01-15,21:55:00,15.25,15.25,15.25,15.25,200,0
2015-01-15,22:00:00,15.22,15.22,15.22,15.22,163,0
2015-01-16,15:35:00,15.36,15.36,15.36,15.36,300,0
2015-01-16,15:40:00,15.48,15.48,15.48,15.48,300,0
2015-01-16,15:45:00,15.49,15.52,15.49,15.52,700,0
2015-01-16,15:55:00,15.57,15.57,15.57,15.57,502,0
2015-01-16,16:10:00,15.58,15.61,15.58,15.61,3507,0
2015-01-16,16:20:00,15.65,15.65,15.65,15.65,300,0
2015-01-16,17:10:00,15.69,15.75,15.69,15.7,2077,0
2015-01-16,17:20:00,15.65,15.65,15.65,15.65,200,0
2015-01-16,17:25:00,15.63,15.63,15.61,15.61,800,0
2015-01-16,17:30:00,15.61,15.61,15.61,15.61,100,0
2015-01-16,17:35:00,15.62,15.65,15.62,15.65,655,0
2015-01-16,17:40:00,15.71,15.71,15.71,15.71,100,0
2015-01-16,17:50:00,15.67,15.67,15.67,15.67,1850,0
2015-01-16,17:55:00,15.68,15.68,15.65,15.65,800,0
2015-01-16,18:05:00,15.67,15.67,15.66,15.66,400,0
2015-01-16,18:10:00,15.64,15.64,15.64,15.64,100,0
2015-01-16,18:40:00,15.73,15.73,15.73,15.73,200,0
2015-01-16,18:45:00,15.69,15.7,15.68,15.68,900,0
2015-01-16,18:55:00,15.72,15.73,15.72,15.73,450,0
2015-01-16,19:05:00,15.74,15.74,15.74,15.74,500,0
2015-01-16,19:10:00,15.76,15.76,15.76,15.76,200,0
2015-01-16,20:05:00,15.78,15.78,15.78,15.78,800,0
2015-01-16,20:10:00,15.78,15.78,15.78,15.78,135,0
2015-01-16,20:15:00,15.78,15.78,15.78,15.78,250,0
2015-01-16,20:20:00,15.77,15.79,15.77,15.79,1800,0
2015-01-16,20:45:00,15.81,15.81,15.81,15.81,200,0
2015-01-16,21:00:00,15.84,15.84,15.84,15.84,200,0
2015-01-16,21:30:00,15.84,15.84,15.84,15.84,100,0
2015-01-16,21:45:00,15.87,15.87,15.87,15.87,615,0
2015-01-16,21:50:00,15.87,15.87,15.87,15.87,100,0
2015-01-16,21:55:00,15.88,15.88,15.88,15.88,883,0
2015-01-16,22:00:00,15.9,15.91,15.9,15.91,3089,0
2015-01-20,15:35:00,15.8,15.8,15.75,15.75,2084,0
2015-01-20,15:40:00,15.53,15.54,15.53,15.54,850,0
2015-01-20,15:45:00,15.53,15.54,15.53,15.54,450,0
2015-01-20,15:50:00,15.59,15.59,15.54,15.54,516,0
2015-01-20,15:55:00,15.5,15.5,15.5,15.5,700,0
2015-01-20,16:00:00,15.49,15.49,15.49,15.49,300,0
2015-01-20,16:05:00,15.54,15.54,15.54,15.54,550,0
2015-01-20,16:15:00,15.55,15.55,15.54,15.54,300,0
2015-01-20,16:25:00,15.52,15.52,15.52,15.52,718,0
2015-01-20,16:40:00,15.51,15.51,15.51,15.51,807,0
2015-01-20,16:55:00,15.54,15.54,15.52,15.52,736,0
2015-01-20,17:05:00,15.53,15.53,15.51,15.51,634,0
2015-01-20,17:25:00,15.6,15.63,15.6,15.63,260,0
2015-01-20,17:45:00,15.68,15.68,15.68,15.68,100,0
2015-01-20,17:50:00,15.66,15.66,15.66,15.66,300,0
2015-01-20,19:25:00,15.75,15.75,15.75,15.75,400,0
2015-01-20,19:35:00,15.74,15.74,15.74,15.74,192,0
2015-01-20,19:40:00,15.74,15.74,15.73,15.73,600,0
2015-01-20,19:45:00,15.72,15.73,15.72,15.73,928,0
2015-01-20,20:10:00,15.79,15.79,15.75,15.75,1290,0
2015-01-20,20:15:00,15.72,15.75,15.71,15.75,132425,0
2015-01-20,20:25:00,15.72,15.73,15.72,15.72,30000,0
2015-01-20,20:55:00,15.7,15.7,15.7,15.7,1790,0
2015-01-20,21:20:00,15.78,15.8,15.78,15.78,998,0
2015-01-20,21:25:00,15.82,15.82,15.81,15.81,6420,0
2015-01-20,21:30:00,15.81,15.81,15.8,15.8,1675,0
2015-01-20,21:40:00,15.8,15.8,15.8,15.8,200,0
2015-01-20,21:45:00,15.81,15.81,15.8,15.81,5260,0
2015-01-20,21:55:00,15.81,15.81,15.81,15.81,250,0
2015-01-20,22:00:00,15.79,15.8,15.79,15.79,2106,0
2015-01-21,15:35:00,15.91,15.91,15.91,15.91,621,0
2015-01-21,15:55:00,16.1,16.1,16.1,16.1,600,0
2015-01-21,16:10:00,16.16,16.16,16.16,16.16,222,0
2015-01-21,16:15:00,16.12,16.12,16.12,16.12,200,0
2015-01-21,16:20:00,16.15,16.15,16.15,16.15,200,0
2015-01-21,16:35:00,16.16,16.23,16.16,16.23,890,0
2015-01-21,16:40:00,16.22,16.22,16.22,16.22,3000,0
2015-01-21,16:45:00,16.19,16.19,16.17,16.17,300,0
2015-01-21,16:55:00,16.18,16.19,16.18,16.19,450,0
2015-01-21,17:15:00,16.11,16.11,16.11,16.11,100,0
2015-01-21,17:25:00,16.12,16.13,16.12,16.13,1210,0
2015-01-21,17:35:00,16.15,16.15,16.15,16.15,400,0
2015-01-21,17:40:00,16.19,16.19,16.19,16.19,309,0
2015-01-21,17:45:00,16.19,16.19,16.19,16.19,100,0
2015-01-21,17:50:00,16.19,16.19,16.19,16.19,451,0
2015-01-21,17:55:00,16.2,16.21,16.2,16.2,1491,0
2015-01-21,18:05:00,16.22,16.22,16.22,16.22,200,0
2015-01-21,18:10:00,16.24,16.24,16.22,16.22,2185,0
2015-01-21,18:15:00,16.22,16.22,16.22,16.22,100,0
2015-01-21,18:35:00,16.24,16.24,16.24,16.24,500,0
2015-01-21,18:45:00,16.23,16.23,16.23,16.23,550,0
2015-01-21,18:50:00,16.24,16.24,16.24,16.24,450,0
2015-01-21,18:55:00,16.23,16.23,16.21,16.21,300,0
2015-01-21,19:00:00,16.21,16.23,16.21,16.23,400,0
2015-01-21,19:10:00,16.2,16.2,16.2,16.2,338,0
2015-01-21,19:15:00,16.21,16.21,16.21,16.21,700,0
2015-01-21,19:30:00,16.19,16.19,16.13,16.13,960,0
2015-01-21,19:40:00,16.17,16.17,16.17,16.17,100,0
2015-01-21,19:45:00,16.16,16.16,16.16,16.16,100,0
2015-01-21,20:00:00,16.14,16.14,16.13,16.13,600,0
2015-01-21,20:05:00,16.12,16.12,16.12,16.12,250,0
2015-01-21,20:10:00,16.13,16.15,16.11,16.15,720,0
2015-01-21,20:15:00,16.15,16.15,16.15,16.15,242,0
2015-01-21,20:20:00,16.14,16.14,16.14,16.14,100,0
2015-01-21,20:25:00,16.19,16.19,16.17,16.17,450,0
2015-01-21,20:30:00,16.17,16.17,16.16,16.16,1092,0
2015-01-21,20:35:00,16.22,16.22,16.22,16.22,400,0
2015-01-21,20:40:00,16.22,16.22,16.22,16.22,600,0
2015-01-21,20:45:00,16.21,16.23,16.21,16.23,900,0
2015-01-21,20:50:00,16.23,16.24,16.23,16.24,8834,0
2015-01-21,21:05:00,16.21,16.21,16.19,16.19,1240,0
2015-01-21,21:10:00,16.19,16.19,16.19,16.19,200,0
2015-01-21,21:25:00,16.24,16.24,16.24,16.24,1026,0
2015-01-21,21:30:00,16.25,16.25,16.24,16.24,1900,0
2015-01-21,21:35:00,16.24,16.28,16.24,16.28,700,0
2015-01-21,21:40:00,16.28,16.28,16.27,16.27,5300,0
2015-01-21,21:50:00,16.3,16.3,16.3,16.3,375,0
2015-01-21,22:00:00,16.3,16.31,16.3,16.31,1358,0
2015-01-22,15:35:00,16.41,16.42,16.41,16.42,400,0
2015-01-22,15:40:00,16.4,16.4,16.4,16.4,800,0
2015-01-22,15:45:00,16.39,16.39,16.39,16.39,100,0
2015-01-22,15:50:00,16.44,16.44,16.43,16.44,850,0
2015-01-22,16:05:00,16.35,16.35,16.34,16.34,300,0
2015-01-22,16:30:00,16.43,16.43,16.39,16.39,950,0
2015-01-22,16:45:00,16.37,16.37,16.37,16.37,402,0
2015-01-22,16:50:00,16.39,16.39,16.39,16.39,400,0
2015-01-22,17:10:00,16.21,16.21,16.21,16.21,200,0
2015-01-22,17:15:00,16.21,16.21,16.18,16.19,1300,0
2015-01-22,17:20:00,16.23,16.27,16.23,16.26,800,0
2015-01-22,17:25:00,16.26,16.29,16.26,16.29,2285,0
2015-01-22,17:30:00,16.28,16.28,16.25,16.25,1741,0
2015-01-22,17:35:00,16.25,16.25,16.22,16.22,2100,0
2015-01-22,17:40:00,16.21,16.21,16.16,16.16,2762,0
2015-01-22,17:45:00,16.17,16.17,16.16,16.16,865,0
2015-01-22,17:50:00,16.17,16.17,16.16,16.16,1500,0
2015-01-22,17:55:00,16.16,16.16,16.13,16.13,2000,0
2015-01-22,18:00:00,16.13,16.13,16.11,16.11,1000,0
2015-01-22,18:05:00,16.12,16.13,16.12,16.12,1650,0
2015-01-22,18:10:00,16.11,16.12,16.04,16.04,1985,0
2015-01-22,18:15:00,16.08,16.1,16.08,16.1,803,0
2015-01-22,18:20:00,16.11,16.15,16.11,16.13,2400,0
2015-01-22,18:25:00,16.14,16.14,16.14,16.14,100,0
2015-01-22,18:30:00,16.24,16.24,16.19,16.19,2300,0
2015-01-22,18:35:00,16.17,16.17,16.15,16.15,700,0
2015-01-22,18:40:00,16.16,16.16,16.16,16.16,600,0
2015-01-22,18:45:00,16.19,16.21,16.19,16.2,1600,0
2015-01-22,18:50:00,16.22,16.26,16.22,16.26,800,0
2015-01-22,18:55:00,16.25,16.28,16.23,16.23,3197,0
2015-01-22,19:00:00,16.24,16.24,16.2,16.2,1102,0
2015-01-22,19:05:00,16.24,16.24,16.24,16.24,100,0
2015-01-22,19:10:00,16.25,16.25,16.2,16.2,3900,0
2015-01-22,19:15:00,16.19,16.19,16.19,16.19,100,0
2015-01-22,19:20:00,16.19,16.19,16.17,16.17,1800,0
2015-01-22,19:25:00,16.17,16.19,16.16,16.19,500,0
2015-01-22,19:30:00,16.17,16.17,16.15,16.15,3500,0
2015-01-22,19:35:00,16.15,16.15,16.15,16.15,800,0
2015-01-22,19:40:00,16.14,16.14,16.12,16.12,1500,0
2015-01-22,19:45:00,16.19,16.19,16.14,16.14,285,0
2015-01-22,19:50:00,16.19,16.19,16.16,16.16,2000,0
2015-01-22,19:55:00,16.16,16.17,16.16,16.16,1000,0
2015-01-22,20:00:00,16.16,16.16,16.15,16.16,700,0
2015-01-22,20:05:00,16.18,16.18,16.17,16.17,1500,0
2015-01-22,20:10:00,16.16,16.17,16.16,16.17,1802,0
2015-01-22,20:15:00,16.17,16.17,16.16,16.16,1234,0
2015-01-22,20:20:00,16.19,16.19,16.19,16.19,2400,0
2015-01-22,20:25:00,16.21,16.23,16.19,16.19,2075,0
2015-01-22,20:30:00,16.23,16.23,16.21,16.23,600,0
2015-01-22,20:35:00,16.23,16.27,16.23,16.23,3632,0
2015-01-22,20:40:00,16.24,16.25,16.2,16.25,1490,0
2015-01-22,20:45:00,16.24,16.26,16.23,16.26,939,0
2015-01-22,20:50:00,16.25,16.25,16.25,16.25,1700,0
2015-01-22,20:55:00,16.25,16.29,16.25,16.29,1000,0
2015-01-22,21:00:00,16.3,16.32,16.3,16.32,1400,0
2015-01-22,21:05:00,16.32,16.33,16.32,16.32,900,0
2015-01-22,21:10:00,16.32,16.32,16.32,16.32,1500,0
2015-01-22,21:15:00,16.32,16.35,16.29,16.35,800,0
2015-01-22,21:20:00,16.34,16.35,16.34,16.34,1400,0
2015-01-22,21:25:00,16.34,16.34,16.32,16.32,2200,0
2015-01-22,21:30:00,16.31,16.32,16.31,16.32,300,0
2015-01-22,21:35:00,16.33,16.33,16.32,16.32,1100,0
