Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-06,20:20:00,61.54,61.57,61.54,61.57,1640,0
2015-01-06,20:30:00,61.71,61.8,61.71,61.8,700,0
2015-01-06,20:35:00,61.78,61.78,61.78,61.78,400,0
2015-01-06,21:00:00,61.98,61.98,61.98,61.98,300,0
2015-01-06,21:15:00,62.01,62.03,62.01,62.03,2100,0
2015-01-06,21:20:00,62.01,62.01,62.01,62.01,200,0
2015-01-06,21:25:00,62.11,62.2,62.11,62.15,700,0
2015-01-06,21:30:00,62.08,62.08,62.08,62.08,100,0
2015-01-06,21:35:00,62.12,62.12,62.12,62.12,300,0
2015-01-06,21:50:00,61.96,61.96,61.96,61.96,100,0
2015-01-06,21:55:00,61.95,61.95,61.95,61.95,300,0
2015-01-06,22:00:00,61.65,61.65,61.65,61.65,150,0
2015-01-07,15:35:00,62.14,62.15,62.14,62.15,400,0
2015-01-07,15:45:00,62.07,62.14,62.07,62.14,1200,0
2015-01-07,15:55:00,62.15,62.21,62.15,62.17,691,0
2015-01-07,16:00:00,62.14,62.14,62.14,62.14,300,0
2015-01-07,16:05:00,62.27,62.28,62.27,62.28,630,0
2015-01-07,16:15:00,62.25,62.25,62.25,62.25,180,0
2015-01-07,16:20:00,62.16,62.16,62.16,62.16,200,0
2015-01-07,16:25:00,62.18,62.18,62.18,62.18,200,0
2015-01-07,16:35:00,62.07,62.07,62.07,62.07,100,0
2015-01-07,16:50:00,62.09,62.09,62.09,62.09,100,0
2015-01-07,17:10:00,62.16,62.16,62.1,62.1,200,0
2015-01-07,17:15:00,62.03,62.03,62.03,62.03,500,0
2015-01-07,17:55:00,62.2,62.22,62.2,62.22,400,0
2015-01-07,18:00:00,62.33,62.33,62.33,62.33,100,0
2015-01-07,18:10:00,62.38,62.43,62.38,62.4,900,0
2015-01-07,18:15:00,62.31,62.32,62.31,62.32,500,0
2015-01-07,18:35:00,62.42,62.42,62.42,62.42,424,0
2015-01-07,19:10:00,62.36,62.36,62.36,62.36,100,0
2015-01-07,19:25:00,62.33,62.33,62.24,62.24,621,0
2015-01-07,19:45:00,62.31,62.34,62.31,62.34,805,0
2015-01-07,20:05:00,62.38,62.42,62.38,62.42,900,0
2015-01-07,20:10:00,62.4,62.4,62.39,62.39,400,0
2015-01-07,20:20:00,62.28,62.28,62.28,62.28,100,0
2015-01-07,20:35:00,62.36,62.36,62.36,62.36,300,0
2015-01-07,21:10:00,62.26,62.31,62.26,62.31,400,0
2015-01-07,21:15:00,62.32,62.32,62.32,62.32,200,0
2015-01-07,21:20:00,62.25,62.25,62.25,62.25,900,0
2015-01-07,21:50:00,62.28,62.28,62.28,62.28,100,0
2015-01-07,22:00:00,62.37,62.37,62.37,62.37,100,0
2015-01-08,15:45:00,63.15,63.2,63.15,63.2,400,0
2015-01-08,15:50:00,63.17,63.17,63.17,63.17,200,0
2015-01-08,16:20:00,63.39,63.39,63.39,63.39,450,0
2015-01-08,17:05:00,63.58,63.63,63.58,63.63,1700,0
2015-01-08,17:10:00,63.61,63.61,63.61,63.61,100,0
2015-01-08,17:15:00,63.55,63.55,63.55,63.55,200,0
2015-01-08,17:40:00,63.52,63.52,63.48,63.48,460,0
2015-01-08,17:50:00,63.5,63.55,63.5,63.5,11430,0
2015-01-08,18:15:00,63.4,63.4,63.38,63.38,4246,0
2015-01-08,18:20:00,63.38,63.38,63.38,63.38,100,0
2015-01-08,18:30:00,63.42,63.42,63.42,63.42,2600,0
2015-01-08,19:10:00,63.57,63.57,63.57,63.57,300,0
2015-01-08,19:20:00,63.56,63.56,63.56,63.56,1624,0
2015-01-08,20:00:00,63.5,63.5,63.5,63.5,200,0
2015-01-08,20:05:00,63.47,63.47,63.47,63.47,100,0
2015-01-08,20:20:00,63.48,63.48,63.48,63.48,200,0
2015-01-08,20:25:00,63.53,63.53,63.53,63.53,200,0
2015-01-08,20:40:00,63.59,63.59,63.59,63.59,100,0
2015-01-08,20:45:00,63.62,63.62,63.62,63.62,450,0
2015-01-08,21:25:00,63.6,63.6,63.6,63.6,200,0
2015-01-08,21:30:00,63.57,63.57,63.57,63.57,100,0
2015-01-08,21:50:00,63.52,63.52,63.51,63.51,1948,0
2015-01-08,22:00:00,63.56,63.56,63.56,63.56,225,0
2015-01-09,15:35:00,63.55,63.55,63.55,63.55,100,0
2015-01-09,15:40:00,63.37,63.38,63.37,63.38,200,0
2015-01-09,15:45:00,63.46,63.51,63.46,63.51,300,0
2015-01-09,15:50:00,63.52,63.52,63.52,63.52,200,0
2015-01-09,15:55:00,63.32,63.41,63.32,63.41,1370,0
2015-01-09,16:00:00,63.42,63.42,63.34,63.34,300,0
2015-01-09,16:05:00,63.38,63.43,63.38,63.4,300,0
2015-01-09,16:10:00,63.38,63.4,63.38,63.4,200,0
2015-01-09,16:15:00,63.46,63.46,63.41,63.42,500,0
2015-01-09,16:20:00,63.39,63.42,63.37,63.39,500,0
2015-01-09,16:30:00,63.19,63.19,63.19,63.19,200,0
2015-01-09,16:45:00,63.02,63.02,63.02,63.02,200,0
2015-01-09,16:50:00,63.02,63.08,63.02,63.06,300,0
2015-01-09,16:55:00,63.13,63.13,63.13,63.13,100,0
2015-01-09,17:05:00,63.0,63.0,62.94,62.94,400,0
2015-01-09,17:20:00,62.83,62.83,62.83,62.83,300,0
2015-01-09,17:25:00,62.76,62.79,62.76,62.79,300,0
2015-01-09,17:30:00,62.85,62.85,62.85,62.85,200,0
2015-01-09,17:35:00,62.82,62.82,62.82,62.82,400,0
2015-01-09,18:00:00,63.06,63.06,63.06,63.06,400,0
2015-01-09,18:10:00,63.16,63.16,63.16,63.16,100,0
2015-01-09,18:15:00,63.21,63.21,63.21,63.21,400,0
2015-01-09,18:35:00,63.2,63.2,63.2,63.2,900,0
2015-01-09,19:15:00,63.09,63.12,63.09,63.12,500,0
2015-01-09,19:20:00,63.21,63.21,63.21,63.21,600,0
2015-01-09,19:30:00,63.15,63.15,63.15,63.15,300,0
2015-01-09,19:35:00,63.15,63.18,63.15,63.18,400,0
2015-01-09,19:45:00,63.11,63.11,63.11,63.11,500,0
2015-01-09,19:50:00,63.12,63.12,63.12,63.12,400,0
2015-01-09,20:05:00,63.11,63.11,63.11,63.11,200,0
2015-01-09,20:20:00,63.11,63.11,63.11,63.11,400,0
2015-01-09,20:40:00,63.12,63.12,63.12,63.12,200,0
2015-01-09,20:50:00,63.14,63.14,63.14,63.14,400,0
2015-01-09,20:55:00,63.15,63.15,63.15,63.15,200,0
2015-01-09,21:00:00,63.15,63.15,63.15,63.15,100,0
2015-01-09,21:05:00,63.21,63.21,63.21,63.21,100,0
2015-01-09,21:10:00,63.28,63.34,63.25,63.28,15607,0
2015-01-09,21:20:00,63.29,63.29,63.29,63.29,100,0
2015-01-09,21:30:00,63.25,63.25,63.25,63.25,100,0
2015-01-09,21:35:00,63.15,63.17,63.15,63.17,450,0
2015-01-09,21:40:00,63.17,63.17,63.17,63.17,200,0
2015-01-09,21:45:00,63.2,63.2,63.2,63.2,127,0
2015-01-09,21:50:00,63.19,63.19,63.19,63.19,200,0
2015-01-09,21:55:00,63.12,63.12,63.12,63.12,100,0
2015-01-09,22:00:00,63.08,63.08,63.04,63.06,1150,0
2015-01-12,15:40:00,62.82,62.84,62.82,62.84,300,0
2015-01-12,15:45:00,62.73,62.73,62.64,62.65,1077,0
2015-01-12,15:50:00,62.69,62.69,62.69,62.69,200,0
2015-01-12,16:00:00,62.43,62.43,62.42,62.42,500,0
2015-01-12,16:05:00,62.36,62.36,62.36,62.36,100,0
2015-01-12,16:10:00,62.39,62.39,62.39,62.39,200,0
2015-01-12,16:15:00,62.41,62.43,62.41,62.43,200,0
2015-01-12,16:20:00,62.37,62.5,62.37,62.5,1300,0
2015-01-12,16:25:00,62.46,62.46,62.43,62.43,1000,0
2015-01-12,16:30:00,62.5,62.5,62.42,62.42,500,0
2015-01-12,16:35:00,62.38,62.41,62.38,62.41,300,0
2015-01-12,16:40:00,62.39,62.41,62.39,62.41,400,0
2015-01-12,16:45:00,62.45,62.56,62.45,62.56,400,0
2015-01-12,16:50:00,62.58,62.58,62.58,62.58,100,0
2015-01-12,17:00:00,62.57,62.57,62.57,62.57,100,0
2015-01-12,17:05:00,62.72,62.72,62.72,62.72,100,0
2015-01-12,17:10:00,62.66,62.66,62.66,62.66,100,0
2015-01-12,17:15:00,62.7,62.7,62.69,62.69,200,0
2015-01-12,17:20:00,62.61,62.64,62.61,62.64,400,0
2015-01-12,17:25:00,62.62,62.67,62.61,62.65,400,0
2015-01-12,17:40:00,62.57,62.62,62.57,62.62,600,0
2015-01-12,17:45:00,62.6,62.6,62.6,62.6,200,0
2015-01-12,18:15:00,62.64,62.64,62.62,62.62,1400,0
2015-01-12,18:35:00,62.64,62.64,62.64,62.64,200,0
2015-01-12,18:40:00,62.63,62.63,62.63,62.63,100,0
2015-01-12,18:45:00,62.59,62.59,62.57,62.57,300,0
2015-01-12,19:00:00,62.55,62.55,62.55,62.55,948,0
2015-01-12,19:50:00,62.55,62.55,62.55,62.55,200,0
2015-01-12,20:30:00,62.43,62.43,62.43,62.43,2075,0
2015-01-12,20:55:00,62.4,62.44,62.4,62.44,600,0
2015-01-12,21:10:00,62.43,62.43,62.4,62.4,500,0
2015-01-12,21:20:00,62.5,62.5,62.49,62.49,700,0
2015-01-12,21:25:00,62.45,62.45,62.4,62.42,450,0
2015-01-12,21:30:00,62.38,62.38,62.38,62.38,450,0
2015-01-12,21:35:00,62.45,62.45,62.4,62.4,800,0
2015-01-12,21:40:00,62.33,62.33,62.33,62.33,2745,0
2015-01-12,21:50:00,62.5,62.58,62.5,62.55,838,0
2015-01-12,22:00:00,62.46,62.46,62.46,62.46,300,0
2015-01-13,15:35:00,63.24,63.24,63.24,63.24,1000,0
2015-01-13,15:40:00,63.23,63.23,63.23,63.23,210,0
2015-01-13,15:45:00,63.28,63.35,63.28,63.35,400,0
2015-01-13,15:50:00,63.43,63.43,63.43,63.43,400,0
2015-01-13,15:55:00,63.45,63.46,63.41,63.43,872,0
2015-01-13,16:00:00,63.49,63.49,63.48,63.48,1852,0
2015-01-13,16:05:00,63.53,63.53,63.46,63.47,2341,0
2015-01-13,16:10:00,63.48,63.5,63.44,63.5,1792,0
2015-01-13,16:15:00,63.46,63.55,63.46,63.55,1040,0
2015-01-13,16:20:00,63.51,63.54,63.48,63.54,2311,0
2015-01-13,16:25:00,63.5,63.5,63.48,63.48,855,0
2015-01-13,16:55:00,63.5,63.5,63.5,63.5,1002,0
2015-01-13,17:05:00,63.45,63.45,63.45,63.45,1280,0
2015-01-13,17:20:00,63.46,63.46,63.46,63.46,1050,0
2015-01-13,17:55:00,63.36,63.36,63.36,63.36,1057,0
2015-01-13,18:05:00,63.21,63.21,63.21,63.21,400,0
2015-01-13,18:35:00,63.04,63.04,63.03,63.03,400,0
2015-01-13,19:00:00,62.97,62.97,62.97,62.97,100,0
2015-01-13,19:05:00,63.03,63.03,63.03,63.03,500,0
2015-01-13,19:20:00,62.99,62.99,62.99,62.99,100,0
2015-01-13,19:25:00,62.86,62.86,62.83,62.83,200,0
2015-01-13,19:30:00,62.7,62.7,62.7,62.7,200,0
2015-01-13,19:40:00,62.52,62.52,62.51,62.51,200,0
2015-01-13,19:45:00,62.44,62.44,62.44,62.44,200,0
2015-01-13,19:50:00,62.46,62.46,62.46,62.46,640,0
2015-01-13,19:55:00,62.36,62.36,62.05,62.06,400,0
2015-01-13,20:00:00,62.04,62.07,62.04,62.07,600,0
2015-01-13,20:05:00,62.14,62.14,62.05,62.09,900,0
2015-01-13,20:10:00,61.98,62.0,61.96,62.0,500,0
2015-01-13,20:15:00,61.92,61.92,61.87,61.87,200,0
2015-01-13,20:35:00,62.18,62.18,62.18,62.18,500,0
2015-01-13,20:55:00,62.22,62.22,62.21,62.21,420,0
2015-01-13,21:00:00,62.18,62.18,62.18,62.18,600,0
2015-01-13,21:25:00,62.11,62.11,62.11,62.11,200,0
2015-01-13,21:30:00,62.07,62.07,62.04,62.04,200,0
2015-01-13,21:35:00,62.07,62.22,62.07,62.22,500,0
2015-01-13,21:50:00,62.28,62.28,62.26,62.26,200,0
2015-01-13,21:55:00,62.2,62.2,62.18,62.18,200,0
2015-01-13,22:00:00,62.24,62.24,62.2,62.24,12558,0
2015-01-14,15:40:00,61.79,61.8,61.79,61.8,300,0
2015-01-14,15:45:00,61.78,61.78,61.73,61.75,1600,0
2015-01-14,15:50:00,61.74,61.78,61.67,61.78,1100,0
2015-01-14,15:55:00,61.76,61.76,61.73,61.73,500,0
2015-01-14,16:00:00,61.82,61.82,61.75,61.78,800,0
2015-01-14,16:05:00,61.81,61.89,61.81,61.85,900,0
2015-01-14,16:10:00,61.92,61.95,61.92,61.95,300,0
2015-01-14,16:15:00,62.04,62.04,62.04,62.04,400,0
2015-01-14,16:25:00,61.88,61.88,61.87,61.87,200,0
2015-01-14,16:35:00,61.94,61.94,61.79,61.83,600,0
2015-01-14,16:40:00,61.8,61.86,61.8,61.81,1045,0
2015-01-14,16:50:00,61.86,61.86,61.86,61.86,100,0
2015-01-14,16:55:00,61.91,61.91,61.82,61.82,445,0
2015-01-14,17:00:00,61.78,61.86,61.78,61.86,1612,0
2015-01-14,17:05:00,61.86,61.86,61.69,61.74,1066,0
2015-01-14,17:10:00,61.73,61.73,61.62,61.62,866,0
2015-01-14,17:25:00,61.69,61.69,61.63,61.63,672,0
2015-01-14,17:30:00,61.68,61.68,61.64,61.64,1200,0
2015-01-14,17:35:00,61.62,61.66,61.59,61.59,1237,0
2015-01-14,17:40:00,61.64,61.65,61.63,61.65,800,0
2015-01-14,17:45:00,61.82,61.82,61.8,61.8,524,0
2015-01-14,17:50:00,61.78,61.81,61.78,61.79,946,0
2015-01-14,17:55:00,61.78,61.81,61.78,61.81,700,0
2015-01-14,18:05:00,61.63,61.65,61.63,61.65,1015,0
2015-01-14,18:10:00,61.65,61.65,61.61,61.61,600,0
2015-01-14,18:15:00,61.59,61.59,61.47,61.47,1002,0
2015-01-14,18:20:00,61.53,61.53,61.51,61.51,700,0
2015-01-14,18:25:00,61.49,61.58,61.49,61.58,800,0
2015-01-14,18:30:00,61.57,61.57,61.57,61.57,700,0
2015-01-14,18:35:00,61.54,61.57,61.54,61.56,4800,0
2015-01-14,18:45:00,61.6,61.6,61.6,61.6,200,0
2015-01-14,18:50:00,61.57,61.57,61.54,61.54,200,0
2015-01-14,18:55:00,61.51,61.55,61.5,61.55,3875,0
2015-01-14,19:00:00,61.54,61.54,61.54,61.54,200,0
2015-01-14,19:10:00,61.6,61.6,61.6,61.6,400,0
2015-01-14,19:15:00,61.54,61.54,61.54,61.54,200,0
2015-01-14,19:20:00,61.47,61.51,61.47,61.51,400,0
2015-01-14,19:25:00,61.49,61.49,61.49,61.49,200,0
2015-01-14,19:30:00,61.47,61.47,61.47,61.47,1000,0
2015-01-14,19:40:00,61.42,61.42,61.4,61.42,1839,0
2015-01-14,19:45:00,61.4,61.4,61.32,61.32,1100,0
