Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-12-29,18:35:00,5.97,5.97,5.97,5.97,100,0
2014-12-29,18:50:00,5.98,6.0,5.97,5.98,1325,0
2014-12-29,18:55:00,5.97,5.97,5.93,5.93,590,0
2014-12-29,19:05:00,5.93,5.93,5.86,5.9,2993,0
2014-12-29,19:15:00,5.85,5.85,5.85,5.85,2275,0
2014-12-29,19:20:00,5.9,5.9,5.89,5.89,850,0
2014-12-29,19:25:00,5.89,5.89,5.89,5.89,1100,0
2014-12-29,19:35:00,5.95,5.95,5.9,5.9,500,0
2014-12-29,19:45:00,5.91,5.91,5.91,5.91,300,0
2014-12-29,19:50:00,5.91,5.91,5.9,5.9,200,0
2014-12-29,20:05:00,5.91,5.91,5.9,5.9,700,0
2014-12-29,20:10:00,5.9,5.9,5.9,5.9,376,0
2014-12-29,20:20:00,5.95,5.95,5.88,5.88,2000,0
2014-12-29,20:25:00,5.89,5.89,5.89,5.89,200,0
2014-12-29,20:30:00,5.88,5.88,5.88,5.88,500,0
2014-12-29,20:40:00,5.88,5.88,5.88,5.88,100,0
2014-12-29,21:00:00,5.88,5.88,5.85,5.85,1054,0
2014-12-29,21:10:00,5.9,5.9,5.89,5.89,500,0
2014-12-29,21:15:00,5.88,5.89,5.88,5.89,500,0
2014-12-29,21:20:00,5.9,5.99,5.88,5.99,3551,0
2014-12-29,21:40:00,5.95,5.95,5.95,5.95,100,0
2014-12-29,21:45:00,5.98,5.98,5.98,5.98,200,0
2014-12-29,21:50:00,5.96,5.96,5.96,5.96,500,0
2014-12-29,22:00:00,5.98,5.98,5.94,5.94,486,0
2014-12-30,15:35:00,5.97,5.97,5.97,5.97,100,0
2014-12-30,16:00:00,6.02,6.02,6.02,6.02,2000,0
2014-12-30,16:05:00,5.97,5.97,5.97,5.97,500,0
2014-12-30,16:20:00,5.92,5.96,5.92,5.96,300,0
2014-12-30,16:25:00,5.96,5.96,5.95,5.95,400,0
2014-12-30,16:30:00,5.88,5.88,5.88,5.88,200,0
2014-12-30,16:45:00,5.87,5.87,5.87,5.87,700,0
2014-12-30,16:50:00,5.93,5.93,5.93,5.93,100,0
2014-12-30,17:10:00,5.9,5.9,5.9,5.9,100,0
2014-12-30,17:30:00,5.92,5.92,5.92,5.92,200,0
2014-12-30,17:45:00,5.93,5.93,5.89,5.89,300,0
2014-12-30,18:00:00,5.91,5.92,5.9,5.9,2100,0
2014-12-30,18:10:00,5.86,5.86,5.86,5.86,400,0
2014-12-30,18:40:00,5.85,5.85,5.85,5.85,2196,0
2014-12-30,18:45:00,5.82,5.82,5.82,5.82,100,0
2014-12-30,18:55:00,5.85,5.85,5.82,5.82,300,0
2014-12-30,19:15:00,5.82,5.82,5.82,5.82,100,0
2014-12-30,19:25:00,5.87,5.87,5.87,5.87,300,0
2014-12-30,19:30:00,5.83,5.83,5.8,5.82,700,0
2014-12-30,19:35:00,5.85,5.85,5.8,5.81,1390,0
2014-12-30,19:40:00,5.81,5.81,5.8,5.8,1219,0
2014-12-30,19:45:00,5.86,5.86,5.86,5.86,200,0
2014-12-30,20:00:00,5.87,5.87,5.87,5.87,1200,0
2014-12-30,20:20:00,5.85,5.86,5.85,5.85,500,0
2014-12-30,20:30:00,5.87,5.92,5.87,5.92,5442,0
2014-12-30,20:45:00,5.94,5.94,5.94,5.94,100,0
2014-12-30,20:55:00,5.96,5.96,5.96,5.96,100,0
2014-12-30,21:10:00,5.9,5.9,5.9,5.9,100,0
2014-12-30,21:20:00,5.91,5.91,5.91,5.91,100,0
2014-12-30,21:25:00,5.96,5.96,5.93,5.93,400,0
2014-12-30,21:30:00,5.96,5.97,5.96,5.97,1252,0
2014-12-30,21:35:00,5.96,5.96,5.93,5.93,500,0
2014-12-30,21:40:00,5.91,5.94,5.91,5.94,200,0
2014-12-30,21:45:00,5.97,5.97,5.97,5.97,100,0
2014-12-30,21:50:00,5.96,5.96,5.96,5.96,200,0
2014-12-30,21:55:00,5.96,5.96,5.95,5.95,500,0
2014-12-30,22:00:00,5.93,5.93,5.93,5.93,400,0
2014-12-31,15:40:00,5.98,5.98,5.98,5.98,100,0
2014-12-31,16:10:00,5.98,5.98,5.96,5.96,400,0
2014-12-31,16:15:00,5.87,5.89,5.87,5.89,525,0
2014-12-31,16:20:00,5.89,5.89,5.81,5.81,3876,0
2014-12-31,16:25:00,5.9,5.91,5.89,5.89,2800,0
2014-12-31,16:45:00,5.9,5.9,5.88,5.88,600,0
2014-12-31,17:15:00,5.88,5.88,5.88,5.88,100,0
2014-12-31,18:05:00,5.89,5.89,5.87,5.87,1498,0
2014-12-31,18:30:00,5.88,5.88,5.88,5.88,100,0
2014-12-31,18:40:00,5.88,5.88,5.84,5.84,601,0
2014-12-31,19:10:00,5.89,5.89,5.89,5.89,300,0
2014-12-31,19:25:00,5.82,5.88,5.73,5.77,9133,0
2014-12-31,19:55:00,5.85,5.85,5.85,5.85,300,0
2014-12-31,20:00:00,5.81,5.81,5.81,5.81,100,0
2014-12-31,20:05:00,5.83,5.83,5.83,5.83,100,0
2014-12-31,20:20:00,5.84,5.84,5.84,5.84,1000,0
2014-12-31,20:30:00,5.81,5.81,5.81,5.81,100,0
2014-12-31,20:40:00,5.81,5.87,5.81,5.81,1400,0
2014-12-31,20:45:00,5.9,5.9,5.9,5.9,100,0
2014-12-31,21:05:00,5.82,5.82,5.77,5.77,2500,0
2014-12-31,21:10:00,5.77,5.8,5.75,5.8,6500,0
2014-12-31,21:15:00,5.79,5.84,5.77,5.84,10500,0
2014-12-31,21:25:00,5.84,5.84,5.84,5.84,600,0
2014-12-31,21:30:00,5.84,5.88,5.78,5.78,1787,0
2014-12-31,21:45:00,5.87,5.87,5.83,5.83,600,0
2014-12-31,21:50:00,5.8,5.84,5.75,5.77,2493,0
2014-12-31,21:55:00,5.78,5.86,5.78,5.86,1300,0
2014-12-31,22:00:00,5.87,5.91,5.87,5.91,2505,0
2015-01-02,16:05:00,5.88,5.88,5.88,5.88,624,0
2015-01-02,16:50:00,5.8,5.8,5.8,5.8,100,0
2015-01-02,17:05:00,5.82,5.82,5.82,5.82,100,0
2015-01-02,17:10:00,5.82,5.82,5.82,5.82,300,0
