Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-07-09,16:45:00,9.33,9.33,9.33,9.33,2500,0
2014-07-09,17:30:00,9.32,9.32,9.32,9.32,3000,0
2014-07-09,17:55:00,9.26,9.26,9.25,9.25,1800,0
2014-07-09,18:00:00,9.24,9.26,9.24,9.25,15100,0
2014-07-09,19:25:00,9.29,9.29,9.29,9.29,500,0
2014-07-09,20:35:00,9.29,9.29,9.29,9.29,584,0
2014-07-09,22:00:00,9.31,9.31,9.3,9.3,1437,0
2014-07-10,16:10:00,9.28,9.28,9.28,9.28,200,0
2014-07-10,16:15:00,9.28,9.28,9.28,9.28,100,0
2014-07-10,16:25:00,9.28,9.28,9.28,9.28,600,0
2014-07-10,16:50:00,9.29,9.29,9.29,9.29,828,0
2014-07-10,17:50:00,9.3,9.3,9.3,9.3,1977,0
2014-07-10,18:10:00,9.34,9.34,9.34,9.34,7168,0
2014-07-10,19:45:00,9.31,9.31,9.31,9.31,1116,0
2014-07-11,17:05:00,9.31,9.31,9.31,9.31,400,0
2014-07-11,18:30:00,9.32,9.33,9.32,9.33,3300,0
2014-07-11,20:50:00,9.34,9.34,9.34,9.34,500,0
2014-07-11,21:40:00,9.34,9.34,9.34,9.34,1100,0
2014-07-14,15:35:00,9.31,9.31,9.23,9.23,1733,0
2014-07-14,16:50:00,9.27,9.27,9.27,9.27,100,0
2014-07-14,17:10:00,9.28,9.28,9.28,9.28,254,0
2014-07-14,22:00:00,9.28,9.28,9.28,9.28,127,0
2014-07-15,15:35:00,9.24,9.24,9.24,9.24,1100,0
2014-07-15,16:05:00,9.29,9.29,9.29,9.29,300,0
2014-07-15,16:15:00,9.27,9.27,9.27,9.27,104,0
2014-07-15,18:00:00,9.24,9.24,9.22,9.22,600,0
2014-07-15,20:35:00,9.22,9.22,9.22,9.22,120,0
2014-07-15,21:50:00,9.23,9.23,9.23,9.23,500,0
2014-07-15,22:00:00,9.23,9.23,9.23,9.23,500,0
2014-07-16,20:55:00,9.22,9.22,9.2,9.2,1075,0
2014-07-16,22:00:00,9.2,9.2,9.2,9.2,551,0
2014-07-17,17:40:00,9.27,9.27,9.27,9.27,476,0
2014-07-17,21:25:00,9.29,9.29,9.29,9.29,288,0
2014-07-21,15:40:00,9.33,9.33,9.33,9.33,500,0
2014-07-21,22:00:00,9.33,9.33,9.33,9.33,100,0
2014-07-22,17:30:00,9.29,9.29,9.29,9.29,500,0
2014-07-22,17:45:00,9.3,9.3,9.3,9.3,1200,0
2014-07-22,17:55:00,9.31,9.31,9.31,9.31,1000,0
2014-07-22,18:10:00,9.32,9.32,9.32,9.32,200,0
2014-07-22,18:25:00,9.35,9.35,9.35,9.35,200,0
2014-07-23,16:50:00,9.28,9.3,9.28,9.3,2100,0
2014-07-23,17:55:00,9.31,9.31,9.31,9.31,167,0
2014-07-23,21:45:00,9.28,9.28,9.28,9.28,10982,0
2014-07-23,21:50:00,9.3,9.3,9.3,9.3,100,0
2014-07-23,22:00:00,9.28,9.28,9.28,9.28,500,0
2014-07-24,21:30:00,9.29,9.29,9.29,9.29,150,0
2014-07-24,21:55:00,9.27,9.27,9.27,9.27,200,0
2014-07-24,22:00:00,9.27,9.27,9.27,9.27,150,0
2014-07-25,16:05:00,9.31,9.31,9.31,9.31,400,0
2014-07-25,17:30:00,9.33,9.33,9.33,9.33,393,0
2014-07-25,20:05:00,9.29,9.29,9.29,9.29,100,0
2014-07-25,20:15:00,9.29,9.29,9.29,9.29,100,0
2014-07-25,20:35:00,9.29,9.29,9.29,9.29,200,0
2014-07-25,20:45:00,9.29,9.29,9.29,9.29,100,0
2014-07-25,20:55:00,9.29,9.29,9.29,9.29,100,0
2014-07-25,21:05:00,9.29,9.29,9.29,9.29,100,0
2014-07-25,21:10:00,9.29,9.29,9.29,9.29,100,0
2014-07-25,21:20:00,9.29,9.29,9.29,9.29,100,0
2014-07-25,21:30:00,9.29,9.29,9.29,9.29,100,0
2014-07-25,21:40:00,9.29,9.29,9.29,9.29,200,0
2014-07-25,21:45:00,9.29,9.29,9.29,9.29,100,0
2014-07-25,22:00:00,9.29,9.29,9.29,9.29,100,0
2014-07-28,15:35:00,9.36,9.36,9.36,9.36,1000,0
2014-07-28,16:15:00,9.35,9.35,9.35,9.35,1575,0
2014-07-28,20:30:00,9.33,9.33,9.33,9.33,856,0
2014-07-28,21:25:00,9.34,9.38,9.34,9.38,460,0
2014-07-28,22:00:00,9.37,9.37,9.37,9.37,1200,0
2014-07-29,15:45:00,9.28,9.28,9.28,9.28,100,0
2014-07-29,17:10:00,9.31,9.31,9.31,9.31,230,0
2014-07-29,18:05:00,9.25,9.25,9.25,9.25,428,0
2014-07-29,18:45:00,9.23,9.23,9.23,9.23,150,0
2014-07-29,21:20:00,9.23,9.23,9.23,9.23,500,0
2014-07-29,22:00:00,9.23,9.23,9.23,9.23,100,0
2014-07-30,15:50:00,9.26,9.26,9.26,9.26,100,0
2014-07-30,16:30:00,9.26,9.26,9.26,9.26,200,0
2014-07-30,17:30:00,9.31,9.31,9.31,9.31,100,0
2014-07-30,17:40:00,9.31,9.31,9.31,9.31,100,0
2014-07-30,17:45:00,9.31,9.31,9.31,9.31,100,0
2014-07-30,17:50:00,9.31,9.31,9.31,9.31,300,0
