Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-12-23,21:10:00,20.82,20.82,20.82,20.82,1001,0
2014-12-23,21:15:00,20.817,20.827,20.817,20.827,2015,0
2014-12-23,21:30:00,21.057,21.107,21.057,21.107,901,0
2014-12-23,21:35:00,21.067,21.067,21.067,21.067,501,0
2014-12-23,21:45:00,21.187,21.187,21.187,21.187,601,0
2014-12-23,21:50:00,20.997,21.197,20.997,21.197,400,0
2014-12-23,21:55:00,21.197,21.197,21.197,21.197,1001,0
2014-12-23,22:00:00,21.167,21.167,21.007,21.007,701,0
2014-12-24,15:35:00,21.077,21.077,21.077,21.077,2553,0
2014-12-24,15:45:00,20.987,20.987,20.847,20.847,501,0
2014-12-24,15:50:00,21.057,21.057,21.057,21.057,461,0
2014-12-24,15:55:00,21.057,21.057,20.927,20.927,2202,0
2014-12-24,16:15:00,20.807,20.807,20.807,20.807,1001,0
2014-12-24,16:40:00,20.847,20.847,20.847,20.847,1101,0
2014-12-24,16:45:00,20.987,20.987,20.987,20.987,299,0
2014-12-24,16:50:00,21.057,21.057,21.057,21.057,1632,0
2014-12-24,16:55:00,21.007,21.007,21.007,21.007,501,0
2014-12-24,17:00:00,21.037,21.077,21.037,21.077,817,0
2014-12-24,17:05:00,21.067,21.087,21.047,21.047,2605,0
2014-12-24,17:25:00,21.227,21.227,21.227,21.227,3003,0
2014-12-24,17:45:00,21.227,21.227,21.167,21.197,2807,0
2014-12-24,18:15:00,21.247,21.247,21.247,21.247,1502,0
2014-12-24,18:50:00,21.377,21.377,21.377,21.377,501,0
2014-12-24,19:00:00,21.087,21.087,21.087,21.087,300,0
2014-12-26,15:35:00,21.307,21.307,21.307,21.307,227,0
2014-12-26,15:45:00,21.626,21.626,21.626,21.626,100,0
2014-12-26,16:10:00,21.676,21.676,21.476,21.476,5136,0
2014-12-26,16:20:00,21.496,21.496,21.496,21.496,200,0
2014-12-26,16:35:00,21.476,21.476,21.476,21.476,763,0
2014-12-26,16:50:00,21.476,21.476,21.476,21.476,100,0
2014-12-26,17:05:00,21.337,21.337,21.337,21.337,100,0
2014-12-26,17:15:00,21.287,21.287,21.287,21.287,1802,0
2014-12-26,17:25:00,21.287,21.506,21.287,21.417,1502,0
2014-12-26,17:35:00,21.387,21.387,21.387,21.387,100,0
2014-12-26,17:50:00,21.546,21.546,21.546,21.546,100,0
2014-12-26,18:20:00,20.897,20.897,20.897,20.897,200,0
2014-12-26,18:25:00,20.847,20.987,20.807,20.987,3504,0
2014-12-26,18:30:00,21.167,21.526,21.167,21.526,300,0
2014-12-26,18:35:00,21.277,21.277,21.267,21.267,200,0
2014-12-26,19:10:00,21.297,21.297,20.937,20.937,200,0
2014-12-26,19:35:00,21.297,21.297,21.297,21.297,300,0
2014-12-26,19:50:00,21.277,21.277,21.277,21.277,400,0
2014-12-26,20:15:00,20.927,20.927,20.927,20.927,100,0
2014-12-26,20:25:00,20.887,21.217,20.887,21.217,1101,0
2014-12-26,20:40:00,21.227,21.227,20.987,20.987,2928,0
2014-12-26,20:45:00,21.127,21.127,20.987,21.067,1101,0
2014-12-26,20:50:00,21.087,21.107,21.057,21.107,1001,0
2014-12-26,20:55:00,21.127,21.147,21.077,21.147,2328,0
2014-12-26,21:10:00,21.257,21.257,21.177,21.177,200,0
2014-12-26,21:25:00,21.027,21.027,21.027,21.027,285,0
2014-12-26,21:50:00,20.997,20.997,20.997,20.997,300,0
2014-12-26,21:55:00,21.007,21.117,20.977,21.077,1652,0
2014-12-26,22:00:00,20.977,21.067,20.977,20.977,601,0
2014-12-29,15:35:00,20.71,20.93,20.0,20.0,6998,0
2014-12-29,15:40:00,20.9,20.9,20.8,20.87,1850,0
2014-12-29,15:45:00,20.5,20.5,20.42,20.42,2350,0
2014-12-29,15:50:00,20.59,20.6,20.59,20.6,300,0
2014-12-29,15:55:00,20.65,20.92,20.65,20.92,344,0
2014-12-29,16:00:00,20.45,20.7,20.45,20.6,1258,0
2014-12-29,16:20:00,20.53,20.53,20.53,20.53,112,0
2014-12-29,16:25:00,20.55,20.55,20.55,20.55,500,0
2014-12-29,16:35:00,20.5,20.5,20.5,20.5,200,0
2014-12-29,16:45:00,20.53,20.53,20.53,20.53,200,0
2014-12-29,16:50:00,20.5,20.5,20.5,20.5,315,0
2014-12-29,16:55:00,20.79,20.79,20.79,20.79,200,0
2014-12-29,17:05:00,20.66,20.66,20.55,20.55,680,0
2014-12-29,17:20:00,20.55,20.59,20.55,20.59,548,0
2014-12-29,17:25:00,20.5,20.5,20.43,20.43,300,0
2014-12-29,17:30:00,20.46,20.46,20.45,20.45,200,0
2014-12-29,17:45:00,20.3,20.3,20.3,20.3,150,0
2014-12-29,17:50:00,20.25,20.25,20.25,20.25,300,0
2014-12-29,18:00:00,20.25,20.25,20.25,20.25,300,0
2014-12-29,18:05:00,20.21,20.21,20.21,20.21,100,0
2014-12-29,18:10:00,20.25,20.25,20.15,20.15,2188,0
2014-12-29,18:20:00,20.16,20.16,20.0,20.0,7900,0
2014-12-29,18:25:00,19.93,20.13,19.93,20.13,4150,0
2014-12-29,18:30:00,20.0,20.02,19.98,19.98,400,0
2014-12-29,18:35:00,19.96,20.0,19.96,20.0,800,0
2014-12-29,18:45:00,19.82,19.82,19.82,19.82,300,0
2014-12-29,18:50:00,19.93,19.93,19.93,19.93,100,0
2014-12-29,18:55:00,19.89,19.91,19.89,19.91,2000,0
2014-12-29,19:30:00,19.82,19.82,19.82,19.82,230,0
2014-12-29,19:40:00,19.9,19.9,19.9,19.9,100,0
2014-12-29,19:45:00,19.86,19.86,19.76,19.76,900,0
2014-12-29,19:50:00,19.75,19.75,19.75,19.75,281,0
2014-12-29,20:05:00,19.75,19.83,19.75,19.83,250,0
2014-12-29,20:10:00,19.86,19.86,19.86,19.86,200,0
2014-12-29,20:20:00,19.9,19.93,19.9,19.93,1500,0
2014-12-29,21:05:00,19.72,19.72,19.67,19.67,14000,0
2014-12-29,21:25:00,19.59,19.59,19.58,19.58,1560,0
2014-12-29,21:30:00,19.52,19.52,19.52,19.52,200,0
2014-12-29,21:45:00,19.79,19.79,19.65,19.69,1700,0
2014-12-29,21:50:00,19.83,19.83,19.83,19.83,100,0
2014-12-29,22:00:00,19.66,19.78,19.59,19.78,2986,0
2014-12-30,15:35:00,20.05,20.05,20.05,20.05,300,0
2014-12-30,15:40:00,20.09,20.09,20.01,20.05,1217,0
2014-12-30,15:45:00,19.93,19.93,19.93,19.93,200,0
2014-12-30,16:05:00,20.03,20.03,20.0,20.03,1800,0
2014-12-30,16:10:00,19.8,19.98,19.8,19.9,1152,0
2014-12-30,16:20:00,20.0,20.1,20.0,20.02,6500,0
2014-12-30,16:25:00,20.0,20.0,20.0,20.0,299,0
2014-12-30,16:30:00,20.0,20.05,20.0,20.0,1310,0
2014-12-30,17:00:00,20.05,20.05,20.05,20.05,3750,0
2014-12-30,17:15:00,20.01,20.01,20.01,20.01,500,0
2014-12-30,17:20:00,20.35,20.4,20.35,20.4,5273,0
2014-12-30,17:30:00,20.4,20.4,20.27,20.27,1220,0
2014-12-30,17:35:00,20.3,20.3,20.3,20.3,640,0
2014-12-30,17:45:00,20.24,20.24,20.24,20.24,540,0
2014-12-30,18:55:00,20.11,20.11,20.11,20.11,100,0
2014-12-30,19:00:00,20.11,20.11,20.11,20.11,100,0
2014-12-30,19:15:00,20.13,20.13,20.13,20.13,100,0
2014-12-30,19:35:00,20.24,20.24,20.24,20.24,120,0
2014-12-30,20:05:00,20.23,20.23,20.23,20.23,400,0
2014-12-30,20:10:00,20.17,20.17,20.17,20.17,100,0
2014-12-30,20:15:00,20.16,20.18,20.16,20.18,1500,0
2014-12-30,20:25:00,20.19,20.23,20.19,20.22,1202,0
2014-12-30,21:05:00,20.12,20.12,20.12,20.12,100,0
2014-12-30,21:25:00,20.2,20.2,20.2,20.2,100,0
2014-12-30,21:30:00,20.19,20.19,20.19,20.19,200,0
2014-12-30,21:40:00,20.19,20.29,20.19,20.25,11353,0
2014-12-30,21:45:00,20.25,20.25,20.25,20.25,5361,0
2014-12-30,21:50:00,20.28,20.28,20.28,20.28,300,0
