Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-08,18:20:00,84.78,84.78,84.78,84.78,118,0
2015-01-08,18:40:00,84.5,84.5,84.5,84.5,400,0
2015-01-08,19:25:00,84.64,84.64,84.64,84.64,400,0
2015-01-08,19:50:00,84.89,84.89,84.89,84.89,200,0
2015-01-08,20:00:00,84.76,84.76,84.76,84.76,100,0
2015-01-08,20:05:00,84.56,84.57,84.53,84.53,600,0
2015-01-08,20:10:00,84.54,84.61,84.54,84.61,300,0
2015-01-08,20:20:00,84.74,84.74,84.74,84.74,150,0
2015-01-08,20:35:00,84.63,84.74,84.61,84.67,890,0
2015-01-08,20:45:00,84.65,84.65,84.65,84.65,200,0
2015-01-08,21:10:00,84.85,84.85,84.85,84.85,100,0
2015-01-08,21:15:00,84.63,84.63,84.63,84.63,300,0
2015-01-08,21:35:00,84.6,84.61,84.6,84.61,200,0
2015-01-08,21:40:00,84.73,84.73,84.73,84.73,400,0
2015-01-08,21:55:00,84.53,84.53,84.53,84.53,169,0
2015-01-08,22:00:00,84.77,84.8,84.74,84.74,34400,0
2015-01-09,16:45:00,84.22,84.22,84.22,84.22,475,0
2015-01-09,17:00:00,84.31,84.31,84.31,84.31,100,0
2015-01-09,17:05:00,84.13,84.13,84.13,84.13,400,0
2015-01-09,17:20:00,84.06,84.06,83.91,83.92,3000,0
2015-01-09,18:50:00,84.23,84.23,84.12,84.23,400,0
2015-01-09,18:55:00,84.16,84.17,83.97,83.97,2152,0
2015-01-09,19:35:00,84.17,84.17,84.17,84.17,115,0
2015-01-09,19:45:00,84.19,84.19,84.19,84.19,354,0
2015-01-09,19:50:00,84.15,84.15,84.03,84.03,272,0
2015-01-09,20:10:00,84.2,84.2,84.2,84.2,100,0
2015-01-09,20:40:00,84.1,84.1,84.1,84.1,600,0
2015-01-09,20:45:00,84.13,84.13,84.13,84.13,800,0
2015-01-09,21:05:00,84.15,84.16,84.11,84.11,3680,0
2015-01-09,21:30:00,84.29,84.29,84.29,84.29,927,0
2015-01-09,21:35:00,84.19,84.22,84.19,84.22,300,0
2015-01-09,21:45:00,84.21,84.21,84.21,84.21,100,0
2015-01-09,21:50:00,84.19,84.19,84.13,84.13,600,0
2015-01-09,22:00:00,84.15,84.15,84.11,84.11,200,0
2015-01-12,15:40:00,84.22,84.22,84.22,84.22,200,0
2015-01-12,16:00:00,83.55,83.59,83.55,83.59,700,0
2015-01-12,16:05:00,83.37,83.37,83.37,83.37,100,0
2015-01-12,16:20:00,83.62,83.62,83.62,83.62,920,0
2015-01-12,16:35:00,83.65,83.65,83.65,83.65,1800,0
2015-01-12,16:40:00,83.64,83.65,83.64,83.65,1800,0
2015-01-12,17:00:00,83.83,83.89,83.83,83.89,300,0
2015-01-12,17:20:00,83.86,83.86,83.85,83.85,1799,0
2015-01-12,17:55:00,83.79,83.79,83.79,83.79,434,0
2015-01-12,18:05:00,83.98,83.98,83.86,83.86,400,0
2015-01-12,18:15:00,83.92,83.92,83.92,83.92,800,0
2015-01-12,18:25:00,84.0,84.01,83.75,83.9,2000,0
2015-01-12,18:35:00,83.92,83.92,83.81,83.83,5512,0
2015-01-12,19:40:00,83.89,83.89,83.89,83.89,300,0
