Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-20,21:20:00,80.59,80.59,80.59,80.59,700,0
2015-01-20,21:30:00,80.58,80.58,80.58,80.58,100,0
2015-01-20,21:35:00,80.56,80.56,80.53,80.53,1800,0
2015-01-20,21:45:00,80.65,80.65,80.64,80.64,325,0
2015-01-20,21:55:00,80.56,80.56,80.56,80.56,300,0
2015-01-20,22:00:00,80.55,80.59,80.54,80.59,822,0
2015-01-21,15:35:00,80.73,80.73,80.0,80.02,2790,0
2015-01-21,15:40:00,80.2,80.2,80.2,80.2,400,0
2015-01-21,15:45:00,80.9,80.9,80.75,80.75,698,0
2015-01-21,15:50:00,80.64,80.79,80.5,80.5,1471,0
2015-01-21,15:55:00,80.63,80.63,80.63,80.63,1100,0
2015-01-21,16:10:00,80.78,80.78,80.78,80.78,400,0
2015-01-21,16:15:00,80.5,80.6,80.5,80.6,1000,0
2015-01-21,16:30:00,80.9,80.9,80.8,80.8,600,0
2015-01-21,16:35:00,80.83,80.88,80.83,80.88,750,0
2015-01-21,16:50:00,80.9,80.9,80.9,80.9,400,0
2015-01-21,17:10:00,81.04,81.04,81.03,81.03,600,0
2015-01-21,17:20:00,81.04,81.04,81.04,81.04,100,0
2015-01-21,17:25:00,81.04,81.04,81.01,81.01,600,0
2015-01-21,17:30:00,81.07,81.07,81.07,81.07,160,0
2015-01-21,17:35:00,81.06,81.11,81.06,81.11,525,0
2015-01-21,17:50:00,81.14,81.14,81.14,81.14,200,0
2015-01-21,17:55:00,81.22,81.22,81.22,81.22,200,0
2015-01-21,18:00:00,81.26,81.26,81.23,81.23,800,0
2015-01-21,18:15:00,81.26,81.26,81.26,81.26,400,0
2015-01-21,18:20:00,81.21,81.21,81.17,81.17,2848,0
2015-01-21,18:50:00,81.02,81.04,81.02,81.04,400,0
2015-01-21,18:55:00,81.06,81.06,80.85,80.85,600,0
2015-01-21,19:05:00,80.88,80.88,80.88,80.88,300,0
2015-01-21,19:10:00,80.87,80.87,80.87,80.87,496,0
2015-01-21,19:30:00,80.83,80.83,80.83,80.83,146,0
2015-01-21,19:35:00,80.78,80.78,80.78,80.78,200,0
2015-01-21,19:50:00,80.9,80.9,80.9,80.9,375,0
2015-01-21,20:05:00,80.78,80.82,80.78,80.82,2330,0
2015-01-21,20:25:00,80.91,80.91,80.91,80.91,100,0
2015-01-21,20:30:00,80.9,80.94,80.9,80.94,740,0
2015-01-21,20:35:00,80.94,80.94,80.94,80.94,1000,0
2015-01-21,20:40:00,80.89,80.89,80.8,80.8,1500,0
2015-01-21,21:00:00,81.05,81.06,81.05,81.06,1000,0
2015-01-21,21:05:00,81.05,81.08,81.05,81.08,1272,0
2015-01-21,21:10:00,81.0,81.08,81.0,81.0,1325,0
2015-01-21,21:20:00,81.11,81.12,81.11,81.12,1200,0
2015-01-21,21:25:00,81.12,81.12,81.12,81.12,300,0
2015-01-21,21:30:00,81.15,81.2,81.15,81.16,1600,0
2015-01-21,21:35:00,81.19,81.19,81.19,81.19,222,0
2015-01-21,21:40:00,81.19,81.27,81.18,81.27,2342,0
2015-01-21,21:45:00,81.27,81.27,81.21,81.26,2100,0
2015-01-21,21:50:00,81.24,81.27,81.24,81.27,1088,0
2015-01-21,22:00:00,81.31,81.44,81.31,81.38,2084,0
