Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-08,16:05:00,26.15,26.15,26.14,26.14,2400,0
2015-01-08,16:10:00,26.1,26.16,26.05,26.05,5100,0
2015-01-08,16:15:00,26.14,26.16,26.14,26.16,800,0
2015-01-08,16:20:00,26.19,26.19,26.15,26.15,3242,0
2015-01-08,16:25:00,26.21,26.21,26.16,26.16,1215,0
2015-01-08,16:30:00,26.18,26.18,26.16,26.16,740,0
2015-01-08,16:35:00,26.14,26.14,26.1,26.1,800,0
2015-01-08,16:40:00,26.06,26.07,26.05,26.06,1400,0
2015-01-08,16:45:00,26.06,26.06,26.06,26.06,300,0
2015-01-08,16:55:00,26.1,26.1,26.1,26.1,500,0
2015-01-08,17:00:00,26.14,26.14,26.13,26.13,1446,0
2015-01-08,17:05:00,26.13,26.18,26.12,26.12,1500,0
2015-01-08,17:10:00,26.18,26.18,26.18,26.18,5000,0
2015-01-08,17:25:00,26.16,26.16,26.15,26.16,1400,0
2015-01-08,17:30:00,26.13,26.13,26.13,26.13,500,0
2015-01-08,17:40:00,26.14,26.14,26.14,26.14,200,0
2015-01-08,17:45:00,26.17,26.18,26.17,26.18,2215,0
2015-01-08,17:50:00,26.21,26.21,26.21,26.21,800,0
2015-01-08,18:00:00,26.16,26.16,26.16,26.16,200,0
2015-01-08,18:15:00,26.17,26.17,26.14,26.14,2400,0
2015-01-08,18:20:00,26.07,26.07,26.07,26.07,150,0
2015-01-08,18:30:00,26.17,26.17,26.17,26.17,200,0
2015-01-08,18:35:00,26.2,26.2,26.2,26.2,140,0
2015-01-08,18:40:00,26.17,26.17,26.17,26.17,800,0
2015-01-08,19:05:00,26.25,26.25,26.2,26.2,1050,0
2015-01-08,19:10:00,26.25,26.25,26.24,26.24,1600,0
2015-01-08,19:30:00,26.25,26.25,26.25,26.25,190,0
2015-01-08,19:45:00,26.23,26.23,26.23,26.23,550,0
2015-01-08,20:00:00,26.23,26.23,26.22,26.22,300,0
2015-01-08,20:05:00,26.22,26.22,26.22,26.22,200,0
2015-01-08,20:10:00,26.3,26.31,26.3,26.31,3422,0
2015-01-08,20:20:00,26.3,26.3,26.3,26.3,100,0
2015-01-08,20:30:00,26.3,26.34,26.3,26.34,4310,0
2015-01-08,20:40:00,26.34,26.34,26.33,26.33,550,0
2015-01-08,20:45:00,26.3,26.3,26.3,26.3,600,0
2015-01-08,20:55:00,26.29,26.29,26.29,26.29,400,0
2015-01-08,21:30:00,26.44,26.44,26.4,26.4,800,0
2015-01-08,21:35:00,26.4,26.42,26.39,26.41,1225,0
2015-01-08,21:40:00,26.41,26.41,26.39,26.41,3000,0
2015-01-08,21:45:00,26.39,26.39,26.39,26.39,400,0
2015-01-08,21:55:00,26.41,26.41,26.41,26.41,1000,0
2015-01-08,22:00:00,26.39,26.45,26.39,26.45,1281,0
2015-01-09,15:35:00,26.6,26.6,26.45,26.45,3200,0
2015-01-09,15:40:00,26.41,26.41,26.34,26.34,600,0
2015-01-09,15:45:00,26.32,26.32,26.32,26.32,500,0
2015-01-09,15:50:00,26.33,26.33,26.32,26.32,300,0
2015-01-09,15:55:00,26.34,26.34,26.34,26.34,150,0
2015-01-09,16:00:00,26.25,26.25,26.25,26.25,200,0
2015-01-09,16:10:00,26.31,26.35,26.31,26.35,926,0
2015-01-09,16:15:00,26.34,26.35,26.34,26.34,2100,0
2015-01-09,16:20:00,26.34,26.34,26.34,26.34,496,0
2015-01-09,16:25:00,26.31,26.32,26.29,26.32,622,0
2015-01-09,16:30:00,26.27,26.27,26.26,26.26,500,0
2015-01-09,16:35:00,26.2,26.2,26.2,26.2,1000,0
2015-01-09,16:40:00,26.2,26.2,26.2,26.2,100,0
2015-01-09,16:45:00,26.3,26.3,26.3,26.3,180,0
2015-01-09,16:50:00,26.25,26.32,26.25,26.32,620,0
2015-01-09,17:00:00,26.33,26.34,26.33,26.34,1920,0
2015-01-09,17:10:00,26.33,26.33,26.33,26.33,600,0
2015-01-09,17:15:00,26.3,26.3,26.29,26.29,5800,0
2015-01-09,17:50:00,26.48,26.48,26.48,26.48,500,0
2015-01-09,17:55:00,26.46,26.46,26.46,26.46,883,0
2015-01-09,18:05:00,26.48,26.54,26.48,26.54,3272,0
2015-01-09,18:10:00,26.54,26.54,26.54,26.54,2000,0
2015-01-09,18:20:00,26.53,26.53,26.5,26.5,300,0
2015-01-09,18:30:00,26.52,26.52,26.52,26.52,755,0
2015-01-09,18:35:00,26.53,26.53,26.53,26.53,1131,0
2015-01-09,18:40:00,26.57,26.57,26.57,26.57,754,0
2015-01-09,18:45:00,26.57,26.57,26.57,26.57,300,0
2015-01-09,18:50:00,26.55,26.55,26.54,26.54,800,0
2015-01-09,18:55:00,26.53,26.53,26.5,26.5,400,0
2015-01-09,19:00:00,26.5,26.5,26.45,26.45,800,0
2015-01-09,19:05:00,26.42,26.43,26.42,26.43,500,0
2015-01-09,19:15:00,26.58,26.58,26.58,26.58,2000,0
2015-01-09,19:20:00,26.59,26.59,26.59,26.59,400,0
2015-01-09,19:25:00,26.58,26.58,26.58,26.58,5000,0
2015-01-09,20:00:00,26.7,26.7,26.7,26.7,450,0
2015-01-09,20:10:00,26.65,26.65,26.65,26.65,400,0
2015-01-09,20:40:00,26.7,26.73,26.7,26.73,800,0
2015-01-09,20:45:00,26.77,26.77,26.77,26.77,6223,0
2015-01-09,20:50:00,26.73,26.73,26.73,26.73,1525,0
2015-01-09,21:05:00,26.7,26.7,26.7,26.7,200,0
2015-01-09,21:10:00,26.7,26.71,26.7,26.71,1226,0
2015-01-09,21:25:00,26.69,26.69,26.69,26.69,100,0
2015-01-09,21:30:00,26.64,26.64,26.64,26.64,365,0
2015-01-09,21:35:00,26.63,26.63,26.63,26.63,855,0
2015-01-09,21:45:00,26.64,26.64,26.64,26.64,200,0
2015-01-09,21:50:00,26.64,26.65,26.64,26.65,1500,0
2015-01-09,21:55:00,26.61,26.61,26.61,26.61,3450,0
2015-01-09,22:00:00,26.6,26.61,26.55,26.57,2300,0
2015-01-12,15:35:00,27.1,27.25,27.03,27.03,2751,0
2015-01-12,15:40:00,26.99,27.25,26.94,27.25,4685,0
2015-01-12,15:45:00,27.19,27.19,26.94,26.94,650,0
2015-01-12,15:50:00,27.23,27.23,27.0,27.0,1950,0
2015-01-12,15:55:00,26.9,26.9,26.9,26.9,1300,0
2015-01-12,16:00:00,26.9,26.9,26.77,26.77,1915,0
2015-01-12,16:05:00,26.75,26.75,26.75,26.75,162,0
2015-01-12,16:10:00,26.71,26.8,26.71,26.8,1656,0
2015-01-12,16:15:00,26.8,26.8,26.63,26.63,1200,0
2015-01-12,16:20:00,26.6,26.65,26.6,26.65,1150,0
2015-01-12,16:25:00,26.62,26.62,26.62,26.62,500,0
2015-01-12,16:30:00,26.57,26.57,26.55,26.55,550,0
2015-01-12,16:35:00,26.5,26.5,26.48,26.48,2645,0
2015-01-12,16:45:00,26.5,26.52,26.5,26.52,754,0
2015-01-12,16:50:00,26.52,26.52,26.47,26.47,1236,0
2015-01-12,16:55:00,26.47,26.5,26.47,26.49,918,0
2015-01-12,17:00:00,26.53,26.53,26.53,26.53,1255,0
2015-01-12,17:05:00,26.63,26.63,26.63,26.63,350,0
2015-01-12,17:10:00,26.59,26.59,26.56,26.56,800,0
2015-01-12,17:15:00,26.57,26.59,26.57,26.58,661,0
2015-01-12,17:20:00,26.55,26.55,26.55,26.55,8300,0
2015-01-12,17:30:00,26.51,26.55,26.51,26.55,1033,0
2015-01-12,17:35:00,26.51,26.51,26.51,26.51,870,0
2015-01-12,17:40:00,26.51,26.53,26.5,26.5,4260,0
2015-01-12,17:50:00,26.51,26.51,26.47,26.47,2000,0
2015-01-12,17:55:00,26.45,26.45,26.45,26.45,100,0
2015-01-12,18:20:00,26.55,26.55,26.54,26.55,1800,0
2015-01-12,18:25:00,26.59,26.59,26.59,26.59,300,0
2015-01-12,18:30:00,26.56,26.56,26.56,26.56,200,0
2015-01-12,18:45:00,26.64,26.64,26.64,26.64,1000,0
2015-01-12,18:50:00,26.64,26.64,26.64,26.64,938,0
2015-01-12,18:55:00,26.64,26.65,26.64,26.65,6400,0
2015-01-12,19:00:00,26.65,26.65,26.65,26.65,2733,0
2015-01-12,19:05:00,26.66,26.66,26.66,26.66,200,0
2015-01-12,19:10:00,26.62,26.62,26.62,26.62,3000,0
2015-01-12,19:30:00,26.59,26.59,26.58,26.58,800,0
2015-01-12,19:35:00,26.57,26.57,26.57,26.57,800,0
2015-01-12,19:45:00,26.62,26.62,26.62,26.62,400,0
2015-01-12,20:05:00,26.72,26.72,26.72,26.72,200,0
2015-01-12,20:10:00,26.72,26.72,26.72,26.72,200,0
2015-01-12,20:15:00,26.72,26.72,26.72,26.72,1712,0
2015-01-12,20:20:00,26.71,26.71,26.71,26.71,600,0
2015-01-12,20:25:00,26.68,26.68,26.67,26.67,574,0
2015-01-12,20:30:00,26.69,26.69,26.69,26.69,270,0
2015-01-12,20:35:00,26.67,26.67,26.67,26.67,487,0
2015-01-12,20:40:00,26.66,26.66,26.66,26.66,400,0
2015-01-12,20:50:00,26.68,26.68,26.68,26.68,4500,0
2015-01-12,21:10:00,26.64,26.64,26.64,26.64,3950,0
2015-01-12,21:15:00,26.64,26.64,26.64,26.64,200,0
2015-01-12,21:20:00,26.67,26.67,26.67,26.67,300,0
2015-01-12,21:25:00,26.62,26.66,26.62,26.66,2500,0
2015-01-12,21:35:00,26.57,26.57,26.57,26.57,200,0
2015-01-12,21:40:00,26.56,26.56,26.54,26.54,2400,0
2015-01-12,22:00:00,26.62,26.62,26.62,26.62,100,0
2015-01-13,15:35:00,26.96,26.96,26.89,26.94,4923,0
2015-01-13,15:40:00,26.94,26.94,26.93,26.94,2300,0
2015-01-13,15:45:00,26.96,26.96,26.92,26.92,2000,0
2015-01-13,15:50:00,26.8,26.84,26.8,26.82,4802,0
2015-01-13,15:55:00,26.91,26.92,26.91,26.92,250,0
2015-01-13,16:00:00,26.98,26.98,26.98,26.98,1100,0
2015-01-13,16:05:00,27.0,27.0,27.0,27.0,200,0
2015-01-13,16:10:00,27.0,27.0,27.0,27.0,1050,0
2015-01-13,16:15:00,27.08,27.09,27.06,27.06,900,0
2015-01-13,16:20:00,27.08,27.13,27.08,27.13,3110,0
2015-01-13,16:25:00,27.13,27.13,27.13,27.13,100,0
2015-01-13,16:30:00,27.13,27.13,27.13,27.13,600,0
2015-01-13,16:35:00,27.06,27.12,27.06,27.12,780,0
2015-01-13,16:40:00,27.12,27.12,27.12,27.12,1474,0
2015-01-13,16:45:00,27.05,27.06,27.0,27.0,2100,0
2015-01-13,16:50:00,26.99,26.99,26.99,26.99,160,0
2015-01-13,16:55:00,26.99,27.04,26.98,26.98,1500,0
2015-01-13,17:00:00,26.98,26.98,26.97,26.97,700,0
2015-01-13,17:25:00,27.05,27.05,27.05,27.05,400,0
2015-01-13,18:00:00,27.05,27.05,27.02,27.02,1957,0
2015-01-13,18:05:00,27.01,27.01,27.01,27.01,400,0
2015-01-13,18:10:00,27.0,27.0,27.0,27.0,11136,0
2015-01-13,18:15:00,27.0,27.0,26.95,26.99,6225,0
2015-01-13,18:20:00,26.96,26.96,26.94,26.94,2850,0
2015-01-13,18:25:00,26.92,26.92,26.85,26.88,9100,0
2015-01-13,18:35:00,26.87,26.87,26.87,26.87,1400,0
2015-01-13,18:40:00,26.87,26.87,26.87,26.87,3000,0
2015-01-13,19:10:00,26.96,26.96,26.96,26.96,200,0
2015-01-13,19:15:00,26.96,26.96,26.96,26.96,185,0
2015-01-13,19:25:00,26.78,26.78,26.78,26.78,900,0
2015-01-13,19:30:00,26.78,26.78,26.78,26.78,200,0
2015-01-13,19:35:00,26.75,26.75,26.75,26.75,1000,0
2015-01-13,19:40:00,26.7,26.7,26.69,26.69,770,0
2015-01-13,19:50:00,26.65,26.65,26.61,26.61,638,0
2015-01-13,19:55:00,26.52,26.52,26.5,26.5,400,0
2015-01-13,20:00:00,26.43,26.45,26.37,26.37,1700,0
2015-01-13,20:10:00,26.3,26.3,26.28,26.28,3500,0
2015-01-13,20:15:00,26.28,26.28,26.16,26.16,1972,0
2015-01-13,20:25:00,26.16,26.16,26.16,26.16,200,0
2015-01-13,20:40:00,26.33,26.48,26.33,26.48,1100,0
