Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,15:50:00,84.87,84.88,84.87,84.88,4450,0
2015-02-03,15:55:00,84.88,84.88,84.87,84.87,4841,0
2015-02-03,16:00:00,84.87,84.87,84.87,84.87,2595,0
2015-02-03,16:05:00,84.88,84.89,84.87,84.87,10405,0
2015-02-03,16:10:00,84.87,84.88,84.87,84.87,8186,0
2015-02-03,16:15:00,84.87,84.88,84.87,84.87,4929,0
2015-02-03,16:20:00,84.87,84.88,84.87,84.88,3934,0
2015-02-03,16:25:00,84.88,84.88,84.88,84.88,1253,0
2015-02-03,16:30:00,84.88,84.88,84.87,84.88,2694,0
2015-02-03,16:35:00,84.87,84.88,84.87,84.87,5769,0
2015-02-03,16:40:00,84.87,84.87,84.86,84.87,18525,0
2015-02-03,16:45:00,84.87,84.87,84.87,84.87,672,0
2015-02-03,16:50:00,84.87,84.87,84.86,84.87,12968,0
2015-02-03,16:55:00,84.87,84.88,84.87,84.88,41015,0
2015-02-03,17:00:00,84.88,84.88,84.87,84.87,14968,0
2015-02-03,17:05:00,84.88,84.88,84.87,84.87,1848,0
2015-02-03,17:10:00,84.88,84.88,84.87,84.87,7367,0
2015-02-03,17:15:00,84.88,84.88,84.87,84.88,8457,0
2015-02-03,17:20:00,84.87,84.88,84.87,84.87,21256,0
2015-02-03,17:25:00,84.88,84.88,84.87,84.88,2707,0
2015-02-03,17:30:00,84.88,84.88,84.87,84.88,10577,0
2015-02-03,17:35:00,84.87,84.88,84.87,84.87,2566,0
2015-02-03,17:40:00,84.88,84.88,84.87,84.87,4727,0
2015-02-03,17:45:00,84.88,84.88,84.86,84.87,33587,0
2015-02-03,17:55:00,84.86,84.87,84.86,84.86,4233,0
2015-02-03,18:00:00,84.86,84.88,84.86,84.87,104228,0
2015-02-03,18:05:00,84.87,84.89,84.87,84.89,106791,0
2015-02-03,18:10:00,84.88,84.89,84.87,84.87,53582,0
2015-02-03,18:15:00,84.87,84.88,84.87,84.87,9880,0
2015-02-03,18:20:00,84.88,84.88,84.87,84.87,6406,0
2015-02-03,18:25:00,84.88,84.88,84.87,84.87,3014,0
2015-02-03,18:30:00,84.87,84.88,84.87,84.87,3058,0
2015-02-03,18:35:00,84.88,84.88,84.87,84.87,8784,0
2015-02-03,18:40:00,84.87,84.88,84.87,84.87,901,0
2015-02-03,18:45:00,84.88,84.88,84.88,84.88,9464,0
2015-02-03,18:50:00,84.88,84.88,84.88,84.88,3023,0
2015-02-03,18:55:00,84.88,84.88,84.88,84.88,1482,0
2015-02-03,19:00:00,84.88,84.88,84.87,84.87,20692,0
2015-02-03,19:05:00,84.87,84.87,84.86,84.86,4870,0
2015-02-03,19:10:00,84.87,84.87,84.86,84.87,3173,0
2015-02-03,19:15:00,84.87,84.87,84.85,84.86,34069,0
2015-02-03,19:20:00,84.86,84.87,84.85,84.87,29161,0
2015-02-03,19:25:00,84.86,84.87,84.85,84.86,10471,0
2015-02-03,19:30:00,84.86,84.86,84.86,84.86,4219,0
2015-02-03,19:35:00,84.86,84.86,84.85,84.85,4609,0
2015-02-03,19:40:00,84.85,84.86,84.85,84.86,4040,0
2015-02-03,19:45:00,84.86,84.86,84.85,84.85,1300,0
2015-02-03,19:50:00,84.86,84.86,84.85,84.86,13901,0
2015-02-03,19:55:00,84.86,84.86,84.85,84.86,5131,0
2015-02-03,20:00:00,84.85,84.86,84.85,84.86,8061,0
2015-02-03,20:05:00,84.86,84.86,84.85,84.86,10475,0
2015-02-03,20:10:00,84.86,84.86,84.85,84.86,12686,0
2015-02-03,20:15:00,84.86,84.86,84.85,84.85,5638,0
2015-02-03,20:20:00,84.86,84.86,84.86,84.86,4216,0
2015-02-03,20:25:00,84.86,84.86,84.85,84.86,10084,0
2015-02-03,20:30:00,84.86,84.86,84.85,84.86,14161,0
2015-02-03,20:35:00,84.85,84.86,84.85,84.86,3480,0
2015-02-03,20:40:00,84.86,84.86,84.85,84.86,24692,0
2015-02-03,20:45:00,84.86,84.86,84.85,84.86,2900,0
2015-02-03,20:50:00,84.85,84.86,84.84,84.86,74753,0
2015-02-03,20:55:00,84.85,84.85,84.85,84.85,3537,0
2015-02-03,21:00:00,84.85,84.86,84.85,84.86,6049,0
2015-02-03,21:05:00,84.86,84.86,84.84,84.85,15119,0
2015-02-03,21:10:00,84.85,84.85,84.84,84.84,6888,0
2015-02-03,21:15:00,84.84,84.85,84.84,84.84,2057,0
2015-02-03,21:20:00,84.85,84.85,84.85,84.85,2441,0
2015-02-03,21:25:00,84.85,84.85,84.84,84.85,37680,0
