Date,Time,Open,High,Low,Close,Volume,OpenInt
2013-06-05,18:45:00,19.72,19.72,19.72,19.72,254,0
2013-06-05,18:45:00,19.718,19.718,19.718,19.718,254,0
2013-06-05,20:30:00,19.846,19.846,19.846,19.846,254,0
2013-06-05,20:35:00,19.846,19.846,19.846,19.846,204,0
2013-06-05,21:05:00,19.904,19.904,19.904,19.904,204,0
2013-06-05,21:30:00,19.904,19.904,19.904,19.904,304,0
2013-06-05,21:40:00,19.756,19.756,19.756,19.756,100,0
2013-06-06,15:35:00,19.708,19.708,19.708,19.708,406,0
2013-06-06,15:40:00,19.659,19.659,19.659,19.659,334,0
2013-06-06,18:25:00,19.678,19.678,19.678,19.678,406,0
2013-06-10,17:50:00,19.57,19.57,19.57,19.57,172,0
2013-06-10,20:55:00,19.521,19.521,19.521,19.521,132,0
2013-06-11,20:25:00,19.433,19.433,19.433,19.433,2035,0
2013-06-12,17:10:00,19.443,19.443,19.443,19.443,204,0
2013-06-12,19:30:00,19.541,19.541,19.541,19.541,152,0
2013-06-12,20:45:00,19.472,19.472,19.472,19.472,152,0
2013-06-12,21:05:00,19.511,19.511,19.511,19.511,304,0
2013-06-14,21:50:00,19.492,19.492,19.492,19.492,100,0
2013-06-17,19:00:00,19.433,19.433,19.403,19.403,915,0
2013-06-17,20:35:00,19.443,19.443,19.443,19.443,2137,0
2013-06-18,21:50:00,19.472,19.472,19.472,19.472,248,0
2013-06-19,20:05:00,19.413,19.413,19.403,19.403,611,0
2013-06-19,20:10:00,19.374,19.374,19.374,19.374,508,0
2013-06-19,20:20:00,19.374,19.374,19.374,19.374,100,0
2013-06-19,20:25:00,19.364,19.364,19.364,19.364,915,0
2013-06-19,20:50:00,19.354,19.354,19.354,19.354,508,0
2013-06-20,17:05:00,19.168,19.168,19.168,19.168,304,0
2013-06-20,19:05:00,19.118,19.148,19.118,19.148,10175,0
2013-06-20,19:10:00,19.118,19.138,19.108,19.108,18109,0
2013-06-21,15:50:00,19.098,19.098,19.098,19.098,406,0
2013-06-21,16:20:00,19.078,19.078,19.078,19.078,6105,0
2013-06-21,17:10:00,19.019,19.019,19.019,19.019,406,0
2013-06-21,17:25:00,19.128,19.128,19.088,19.088,2035,0
2013-06-25,18:40:00,18.823,18.823,18.823,18.823,204,0
2013-06-25,19:05:00,18.843,18.843,18.843,18.843,204,0
2013-06-26,18:30:00,18.893,18.893,18.893,18.893,2950,0
2013-06-26,21:30:00,18.903,18.903,18.903,18.903,915,0
2013-06-28,17:15:00,19.019,19.019,19.019,19.019,100,0
2013-06-28,17:50:00,19.009,19.009,19.009,19.009,100,0
2013-06-28,18:25:00,18.98,18.98,18.98,18.98,100,0
2013-06-28,19:30:00,18.99,18.99,18.99,18.99,204,0
2013-07-01,15:35:00,18.961,18.961,18.961,18.961,111,0
2013-07-01,15:45:00,18.99,18.99,18.99,18.99,111,0
2013-07-01,16:55:00,19.009,19.009,19.009,19.009,111,0
2013-07-01,20:50:00,19.078,19.078,19.078,19.078,204,0
2013-07-05,15:35:00,19.118,19.118,19.118,19.118,663,0
2013-07-05,15:40:00,19.128,19.128,19.128,19.128,406,0
2013-07-05,15:45:00,19.118,19.118,19.118,19.118,100,0
2013-07-05,18:25:00,19.049,19.049,19.049,19.049,508,0
2013-07-05,18:55:00,19.029,19.029,19.019,19.019,1050,0
2013-07-11,15:35:00,19.551,19.551,19.168,19.168,204,0
2013-07-11,16:30:00,19.108,19.108,19.108,19.108,100,0
2013-07-12,16:00:00,19.158,19.158,19.158,19.158,915,0
2013-07-12,18:35:00,19.108,19.108,19.108,19.108,611,0
2013-07-12,18:40:00,19.108,19.108,19.108,19.108,406,0
2013-07-12,20:45:00,19.108,19.108,19.108,19.108,1118,0
2013-07-15,16:40:00,19.148,19.168,19.148,19.168,204,0
2013-07-15,18:25:00,19.158,19.158,19.158,19.158,100,0
2013-07-15,20:35:00,19.168,19.168,19.168,19.168,100,0
2013-07-15,21:35:00,19.178,19.178,19.178,19.178,100,0
2013-07-16,16:10:00,19.198,19.198,19.198,19.198,204,0
2013-07-22,21:05:00,19.335,19.335,19.335,19.335,204,0
2013-07-22,21:10:00,19.325,19.325,19.325,19.325,814,0
2013-07-24,17:15:00,19.198,19.198,19.198,19.198,355,0
2013-07-31,17:20:00,19.118,19.118,19.108,19.108,1607,0
2013-08-02,18:45:00,19.198,19.198,19.198,19.198,264,0
2013-08-07,17:15:00,19.295,19.295,19.295,19.295,100,0
2013-08-07,17:55:00,19.305,19.305,19.305,19.305,100,0
2013-08-07,18:55:00,19.295,19.295,19.295,19.295,100,0
2013-08-07,19:50:00,19.305,19.305,19.305,19.305,100,0
2013-08-07,20:30:00,19.305,19.305,19.305,19.305,100,0
2013-08-07,21:25:00,19.325,19.325,19.325,19.325,244,0
2013-08-09,17:00:00,19.276,19.276,19.276,19.276,814,0
2013-08-14,17:45:00,19.178,19.178,19.148,19.168,1393,0
2013-08-14,17:50:00,19.168,19.168,19.158,19.158,1565,0
2013-08-14,19:50:00,19.158,19.158,19.148,19.148,1565,0
2013-08-16,18:00:00,19.019,19.019,19.019,19.019,304,0
2013-08-16,18:30:00,18.99,18.99,18.99,18.99,100,0
2013-08-16,19:00:00,18.98,18.98,18.98,18.98,100,0
2013-08-16,19:20:00,18.97,18.97,18.97,18.97,100,0
2013-08-16,19:40:00,18.961,18.961,18.961,18.961,100,0
2013-08-16,20:00:00,18.951,18.951,18.951,18.951,100,0
2013-08-16,20:15:00,18.951,18.951,18.951,18.951,100,0
2013-08-16,20:30:00,18.951,18.951,18.951,18.951,100,0
2013-08-20,22:00:00,18.999,18.999,18.999,18.999,204,0
2013-08-22,15:35:00,18.893,18.893,18.853,18.853,204,0
2013-08-26,15:35:00,19.039,19.039,19.039,19.039,915,0
2013-08-26,22:00:00,19.019,19.019,19.019,19.019,204,0
2013-08-27,18:45:00,19.059,19.059,19.059,19.059,575,0
2013-08-30,21:15:00,18.99,18.99,18.99,18.99,2035,0
2013-09-03,18:10:00,18.917,18.917,18.917,18.917,100,0
2013-09-03,19:05:00,18.936,18.936,18.936,18.936,100,0
2013-09-03,19:30:00,18.946,18.946,18.946,18.946,100,0
2013-09-03,20:00:00,18.946,18.946,18.946,18.946,100,0
2013-09-03,20:25:00,18.936,18.936,18.936,18.936,100,0
2013-09-03,20:45:00,18.936,18.936,18.936,18.936,100,0
2013-09-03,21:25:00,18.936,18.936,18.936,18.936,370,0
2013-09-04,15:50:00,18.907,18.907,18.907,18.907,100,0
2013-09-06,22:00:00,18.798,18.798,18.798,18.798,100,0
2013-09-09,15:35:00,18.818,18.818,18.818,18.818,100,0
2013-09-10,20:05:00,18.888,18.888,18.788,18.808,4167,0
2013-09-10,20:10:00,18.838,18.838,18.808,18.808,5489,0
2013-09-10,20:15:00,18.818,18.828,18.778,18.778,1424,0
2013-09-24,15:35:00,19.272,19.272,19.272,19.272,100,0
2013-09-24,20:40:00,19.222,19.222,19.222,19.222,414,0
