Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-09-16,18:40:00,44.63,44.63,44.63,44.63,101,0
2014-09-16,18:50:00,44.628,44.628,44.42,44.628,607,0
2014-09-16,19:30:00,44.628,44.628,44.628,44.628,101,0
2014-09-16,20:15:00,44.638,44.638,44.638,44.638,405,0
2014-09-16,20:40:00,44.697,44.697,44.697,44.697,101,0
2014-09-16,20:55:00,44.647,44.647,44.647,44.647,101,0
2014-09-16,21:40:00,44.647,44.647,44.647,44.647,101,0
2014-09-16,21:45:00,44.638,44.647,44.638,44.647,405,0
2014-09-16,22:00:00,44.618,44.638,44.618,44.638,202,0
2014-09-17,18:35:00,44.45,44.45,44.45,44.45,482,0
2014-09-17,20:10:00,44.42,44.45,44.42,44.45,304,0
2014-09-17,20:25:00,44.45,44.45,44.45,44.45,304,0
2014-09-17,21:25:00,44.568,44.568,44.4,44.4,557,0
2014-09-17,21:35:00,44.43,44.43,44.43,44.43,726,0
2014-09-17,21:40:00,44.4,44.4,44.4,44.4,101,0
2014-09-17,22:00:00,44.38,44.38,44.38,44.38,503,0
2014-09-18,16:05:00,44.469,44.469,44.469,44.469,101,0
2014-09-18,16:10:00,44.263,44.42,44.263,44.42,658,0
2014-09-18,16:25:00,44.282,44.282,44.282,44.282,303,0
2014-09-18,18:35:00,44.213,44.213,44.213,44.213,202,0
2014-09-18,19:30:00,44.253,44.253,44.253,44.253,202,0
2014-09-18,19:40:00,44.479,44.479,44.479,44.479,202,0
2014-09-18,20:40:00,44.41,44.41,44.41,44.41,606,0
2014-09-18,20:50:00,44.44,44.44,44.44,44.44,404,0
2014-09-18,22:00:00,44.499,44.539,44.45,44.45,1519,0
2014-09-19,16:05:00,44.894,44.894,44.894,44.894,202,0
2014-09-19,16:40:00,44.618,44.618,44.618,44.618,101,0
2014-09-19,18:10:00,44.568,44.568,44.568,44.568,111,0
2014-09-19,18:50:00,44.568,44.568,44.539,44.539,3622,0
2014-09-19,19:20:00,44.479,44.479,44.341,44.361,3746,0
2014-09-19,19:25:00,44.37,44.37,44.37,44.37,139,0
2014-09-22,18:00:00,43.976,43.976,43.976,43.976,111,0
2014-09-22,19:10:00,44.114,44.114,44.114,44.114,451,0
2014-09-22,20:15:00,44.134,44.134,44.134,44.134,101,0
2014-09-22,21:25:00,43.936,43.936,43.936,43.936,117,0
2014-09-22,21:40:00,43.956,43.956,43.956,43.956,101,0
2014-09-22,21:55:00,43.986,43.986,43.986,43.986,303,0
2014-09-23,17:15:00,43.887,43.887,43.887,43.887,873,0
