Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-30,19:50:00,31.76,31.85,31.72,31.79,840,0
2015-01-30,19:55:00,31.83,32.0,31.81,32.0,4499,0
2015-01-30,20:00:00,32.15,32.77,32.15,32.26,4331,0
2015-01-30,20:05:00,32.5,32.74,32.42,32.42,1340,0
2015-01-30,20:10:00,32.49,32.53,32.41,32.41,2380,0
2015-01-30,20:15:00,32.42,32.61,32.4,32.61,2875,0
2015-01-30,20:20:00,32.69,33.03,32.65,33.03,5275,0
2015-01-30,20:25:00,32.85,33.01,32.78,33.01,6076,0
2015-01-30,20:30:00,33.07,33.4,33.07,33.37,4300,0
2015-01-30,20:35:00,33.27,33.29,33.06,33.06,5385,0
2015-01-30,20:40:00,33.13,33.13,33.1,33.1,700,0
2015-01-30,20:45:00,33.08,33.09,32.98,33.0,12720,0
2015-01-30,20:50:00,32.97,32.99,32.9,32.9,1290,0
2015-01-30,20:55:00,32.92,32.92,32.75,32.75,5200,0
2015-01-30,21:00:00,32.77,32.91,32.7,32.78,4064,0
2015-01-30,21:05:00,32.84,32.87,32.78,32.87,800,0
2015-01-30,21:10:00,32.76,32.87,32.74,32.87,1800,0
2015-01-30,21:15:00,32.87,32.96,32.87,32.92,1700,0
2015-01-30,21:20:00,32.99,33.05,32.9,33.05,4250,0
2015-01-30,21:25:00,33.08,33.09,33.0,33.03,3569,0
2015-01-30,21:30:00,33.04,33.11,33.01,33.05,10300,0
2015-01-30,21:35:00,33.13,33.13,33.09,33.09,4963,0
2015-01-30,21:40:00,33.06,33.08,33.04,33.06,2300,0
2015-01-30,21:45:00,33.02,33.05,32.93,32.96,3720,0
2015-01-30,21:50:00,32.94,32.98,32.94,32.95,5096,0
2015-01-30,21:55:00,32.95,32.95,32.83,32.9,4200,0
2015-01-30,22:00:00,32.89,32.97,32.86,32.95,9566,0
2015-02-02,15:35:00,34.22,34.26,34.0,34.01,24418,0
2015-02-02,15:40:00,34.0,34.06,33.9,33.94,7000,0
2015-02-02,15:45:00,34.02,34.16,34.0,34.13,4212,0
2015-02-02,15:50:00,34.12,34.16,34.05,34.07,5100,0
2015-02-02,15:55:00,34.04,34.06,33.93,33.93,3910,0
2015-02-02,16:00:00,34.06,34.1,34.02,34.03,2986,0
2015-02-02,16:05:00,33.99,33.99,33.85,33.85,4750,0
2015-02-02,16:10:00,33.93,34.03,33.85,33.98,4135,0
2015-02-02,16:15:00,33.96,33.96,33.85,33.85,2700,0
2015-02-02,16:20:00,33.85,33.97,33.82,33.82,2400,0
2015-02-02,16:25:00,33.8,33.8,33.67,33.77,7230,0
2015-02-02,16:30:00,33.82,33.87,33.7,33.85,17071,0
2015-02-02,16:35:00,33.85,33.92,33.84,33.86,5280,0
2015-02-02,16:40:00,33.82,33.98,33.82,33.98,2988,0
2015-02-02,16:45:00,33.97,34.09,33.95,34.06,3930,0
2015-02-02,16:50:00,34.07,34.08,34.02,34.04,4769,0
2015-02-02,16:55:00,34.0,34.11,34.0,34.0,4913,0
2015-02-02,17:00:00,34.03,34.06,33.97,34.0,1964,0
2015-02-02,17:05:00,34.02,34.03,34.0,34.01,1950,0
2015-02-02,17:10:00,34.02,34.02,33.93,33.93,1000,0
2015-02-02,17:15:00,33.98,34.02,33.85,33.87,3053,0
2015-02-02,17:20:00,33.91,33.93,33.83,33.93,1600,0
2015-02-02,17:25:00,33.91,34.04,33.91,34.03,2580,0
2015-02-02,17:30:00,34.05,34.3,34.05,34.3,7610,0
2015-02-02,17:35:00,34.29,34.5,34.26,34.37,3450,0
2015-02-02,17:40:00,34.42,34.47,34.41,34.47,4500,0
2015-02-02,17:45:00,34.39,34.49,34.39,34.49,1050,0
2015-02-02,17:50:00,34.5,34.57,34.5,34.5,4748,0
2015-02-02,17:55:00,34.44,34.55,34.44,34.55,6950,0
2015-02-02,18:00:00,34.55,34.75,34.55,34.7,6150,0
2015-02-02,18:05:00,34.79,34.79,34.57,34.58,4800,0
2015-02-02,18:10:00,34.72,34.72,34.6,34.6,1500,0
2015-02-02,18:15:00,34.7,34.7,34.53,34.63,3167,0
2015-02-02,18:20:00,34.63,34.65,34.55,34.65,2375,0
2015-02-02,18:25:00,34.65,34.7,34.65,34.7,530,0
2015-02-02,18:30:00,34.67,34.67,34.6,34.6,827,0
2015-02-02,18:35:00,34.6,34.6,34.42,34.42,5813,0
2015-02-02,18:40:00,34.53,34.54,34.5,34.5,1563,0
2015-02-02,18:45:00,34.46,34.55,34.46,34.53,2940,0
2015-02-02,18:50:00,34.4,34.41,34.35,34.35,900,0
2015-02-02,18:55:00,34.32,34.45,34.32,34.45,2000,0
2015-02-02,19:00:00,34.52,34.52,34.41,34.41,383,0
2015-02-02,19:05:00,34.41,34.46,34.4,34.4,1700,0
2015-02-02,19:10:00,34.4,34.42,34.34,34.41,1542,0
2015-02-02,19:15:00,34.44,34.48,34.44,34.48,982,0
2015-02-02,19:20:00,34.43,34.43,34.36,34.36,1346,0
2015-02-02,19:25:00,34.44,34.5,34.44,34.5,200,0
2015-02-02,19:30:00,34.38,34.57,34.38,34.52,5550,0
2015-02-02,19:35:00,34.57,34.68,34.56,34.56,4685,0
2015-02-02,19:45:00,34.38,34.38,34.38,34.38,407,0
2015-02-02,19:50:00,34.53,34.54,34.48,34.48,1500,0
2015-02-02,19:55:00,34.53,34.56,34.53,34.56,432,0
2015-02-02,20:00:00,34.6,34.61,34.51,34.61,4700,0
2015-02-02,20:05:00,34.64,34.65,34.59,34.62,1250,0
2015-02-02,20:10:00,34.47,34.48,34.4,34.4,1800,0
2015-02-02,20:15:00,34.46,34.47,34.38,34.4,2965,0
2015-02-02,20:20:00,34.51,34.51,34.48,34.48,800,0
2015-02-02,20:25:00,34.58,34.58,34.58,34.58,4000,0
2015-02-02,20:30:00,34.74,34.8,34.74,34.8,400,0
2015-02-02,20:35:00,34.69,34.69,34.67,34.67,1000,0
2015-02-02,20:40:00,34.71,34.71,34.68,34.68,500,0
2015-02-02,20:45:00,34.72,34.72,34.72,34.72,700,0
2015-02-02,20:50:00,34.77,34.77,34.68,34.74,3002,0
2015-02-02,20:55:00,34.71,34.71,34.62,34.65,610,0
2015-02-02,21:00:00,34.68,34.68,34.68,34.68,2400,0
2015-02-02,21:05:00,34.67,34.68,34.67,34.68,1000,0
2015-02-02,21:10:00,34.65,34.65,34.65,34.65,570,0
2015-02-02,21:15:00,34.72,34.8,34.72,34.8,1088,0
2015-02-02,21:20:00,34.83,34.86,34.77,34.86,26102,0
2015-02-02,21:25:00,34.86,34.86,34.85,34.85,4050,0
2015-02-02,21:30:00,34.86,34.86,34.78,34.85,27662,0
2015-02-02,21:35:00,34.85,34.89,34.83,34.88,10954,0
2015-02-02,21:40:00,34.87,34.9,34.87,34.9,1900,0
2015-02-02,21:45:00,34.88,34.91,34.87,34.87,5625,0
2015-02-02,21:50:00,34.86,34.94,34.85,34.85,4304,0
2015-02-02,21:55:00,34.8,34.84,34.8,34.84,2700,0
2015-02-02,22:00:00,34.85,34.9,34.8,34.86,4670,0
2015-02-03,15:35:00,35.16,35.23,35.09,35.19,21294,0
2015-02-03,15:40:00,35.2,35.2,35.06,35.09,9083,0
2015-02-03,15:45:00,35.09,35.14,34.96,35.06,8610,0
2015-02-03,15:50:00,35.11,35.11,34.96,35.0,23300,0
2015-02-03,15:55:00,35.07,35.12,35.04,35.12,7329,0
2015-02-03,16:00:00,35.12,35.2,35.06,35.2,12321,0
2015-02-03,16:05:00,35.2,35.2,35.13,35.2,4986,0
2015-02-03,16:10:00,35.15,35.24,35.13,35.19,23465,0
2015-02-03,16:15:00,35.1,35.17,35.06,35.13,5690,0
2015-02-03,16:20:00,35.1,35.19,35.09,35.14,7200,0
2015-02-03,16:25:00,35.18,35.24,35.09,35.18,7795,0
2015-02-03,16:30:00,35.16,35.31,35.16,35.3,7320,0
2015-02-03,16:35:00,35.29,35.34,35.28,35.28,6710,0
2015-02-03,16:40:00,35.34,35.34,35.23,35.23,7286,0
2015-02-03,16:45:00,35.33,35.33,35.21,35.26,7395,0
2015-02-03,16:50:00,35.25,35.28,35.14,35.19,12825,0
2015-02-03,16:55:00,35.19,35.27,35.16,35.17,10171,0
