Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-27,17:40:00,10.31,10.31,10.31,10.31,200,0
2015-01-27,17:45:00,10.28,10.28,10.27,10.27,5000,0
2015-01-27,17:50:00,10.27,10.27,10.26,10.26,23900,0
2015-01-27,17:55:00,10.25,10.25,10.25,10.25,200,0
2015-01-27,18:00:00,10.24,10.25,10.2,10.2,25600,0
2015-01-27,18:05:00,10.2,10.2,10.2,10.2,2500,0
2015-01-27,18:10:00,10.2,10.22,10.2,10.22,24811,0
2015-01-27,18:15:00,10.21,10.23,10.21,10.23,1725,0
2015-01-27,18:20:00,10.23,10.24,10.23,10.24,2443,0
2015-01-27,18:30:00,10.24,10.24,10.24,10.24,3200,0
2015-01-27,18:40:00,10.24,10.24,10.23,10.23,2700,0
2015-01-27,18:45:00,10.24,10.24,10.24,10.24,20725,0
2015-01-27,18:50:00,10.24,10.24,10.23,10.23,3600,0
2015-01-27,19:00:00,10.23,10.24,10.23,10.24,7800,0
2015-01-27,19:10:00,10.27,10.27,10.23,10.23,1166,0
2015-01-27,19:20:00,10.27,10.27,10.27,10.27,26685,0
2015-01-27,19:25:00,10.28,10.28,10.28,10.28,785,0
2015-01-27,19:30:00,10.34,10.34,10.29,10.32,500,0
2015-01-27,19:35:00,10.34,10.34,10.32,10.34,1005,0
2015-01-27,19:45:00,10.32,10.32,10.32,10.32,300,0
2015-01-27,19:55:00,10.34,10.34,10.34,10.34,300,0
2015-01-27,20:05:00,10.31,10.31,10.31,10.31,300,0
2015-01-27,20:10:00,10.3,10.3,10.3,10.3,588,0
2015-01-27,20:25:00,10.31,10.31,10.31,10.31,3277,0
2015-01-27,20:40:00,10.35,10.35,10.35,10.35,893,0
2015-01-27,20:45:00,10.36,10.36,10.36,10.36,500,0
2015-01-27,20:55:00,10.36,10.36,10.36,10.36,1501,0
2015-01-27,21:05:00,10.38,10.39,10.38,10.39,1466,0
2015-01-27,21:15:00,10.4,10.47,10.4,10.46,2906,0
2015-01-27,21:20:00,10.44,10.44,10.44,10.44,216,0
2015-01-27,21:25:00,10.44,10.44,10.44,10.44,100,0
2015-01-27,21:30:00,10.45,10.45,10.45,10.45,1470,0
2015-01-27,21:35:00,10.47,10.47,10.45,10.47,1800,0
2015-01-27,21:40:00,10.48,10.48,10.46,10.48,800,0
2015-01-27,21:45:00,10.48,10.5,10.48,10.5,2000,0
2015-01-27,21:50:00,10.49,10.5,10.46,10.46,5700,0
2015-01-27,21:55:00,10.46,10.47,10.46,10.47,4900,0
2015-01-27,22:00:00,10.47,10.48,10.45,10.46,5306,0
2015-01-28,15:35:00,10.49,10.5,10.42,10.42,22314,0
2015-01-28,15:40:00,10.41,10.41,10.35,10.35,2150,0
2015-01-28,15:45:00,10.36,10.36,10.35,10.35,900,0
2015-01-28,15:55:00,10.35,10.35,10.34,10.34,1900,0
2015-01-28,16:00:00,10.34,10.34,10.34,10.34,917,0
2015-01-28,16:05:00,10.34,10.36,10.3,10.3,2863,0
2015-01-28,16:10:00,10.31,10.33,10.3,10.32,2100,0
2015-01-28,16:15:00,10.32,10.32,10.32,10.32,100,0
2015-01-28,16:20:00,10.32,10.32,10.32,10.32,100,0
2015-01-28,16:30:00,10.32,10.35,10.32,10.35,2900,0
2015-01-28,16:35:00,10.32,10.32,10.32,10.32,500,0
2015-01-28,16:45:00,10.32,10.32,10.31,10.31,300,0
2015-01-28,16:50:00,10.31,10.32,10.31,10.31,3150,0
2015-01-28,17:00:00,10.31,10.34,10.31,10.34,1750,0
2015-01-28,17:10:00,10.35,10.35,10.31,10.35,1500,0
2015-01-28,17:15:00,10.36,10.36,10.31,10.32,5200,0
2015-01-28,17:20:00,10.32,10.33,10.31,10.32,3180,0
2015-01-28,17:25:00,10.32,10.32,10.32,10.32,600,0
2015-01-28,17:40:00,10.32,10.32,10.32,10.32,1200,0
2015-01-28,17:45:00,10.35,10.35,10.35,10.35,113,0
2015-01-28,17:55:00,10.31,10.31,10.3,10.3,1050,0
2015-01-28,18:00:00,10.33,10.35,10.33,10.35,386,0
2015-01-28,18:05:00,10.31,10.31,10.31,10.31,200,0
2015-01-28,18:10:00,10.34,10.34,10.31,10.31,400,0
2015-01-28,18:20:00,10.31,10.31,10.31,10.31,180,0
2015-01-28,18:25:00,10.32,10.32,10.32,10.32,400,0
2015-01-28,18:30:00,10.32,10.32,10.32,10.32,300,0
2015-01-28,18:40:00,10.34,10.34,10.34,10.34,200,0
2015-01-28,18:45:00,10.34,10.34,10.34,10.34,460,0
2015-01-28,18:50:00,10.31,10.31,10.31,10.31,950,0
2015-01-28,18:55:00,10.3,10.33,10.3,10.33,6400,0
2015-01-28,19:00:00,10.3,10.33,10.3,10.33,500,0
2015-01-28,19:05:00,10.3,10.3,10.3,10.3,100,0
2015-01-28,19:10:00,10.3,10.3,10.26,10.26,1000,0
2015-01-28,19:15:00,10.26,10.26,10.26,10.26,100,0
2015-01-28,19:20:00,10.27,10.28,10.26,10.26,4700,0
2015-01-28,19:25:00,10.26,10.29,10.26,10.29,900,0
2015-01-28,19:40:00,10.28,10.28,10.28,10.28,100,0
2015-01-28,19:50:00,10.27,10.27,10.27,10.27,750,0
2015-01-28,19:55:00,10.27,10.27,10.27,10.27,200,0
2015-01-28,20:15:00,10.26,10.26,10.25,10.25,1100,0
