Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,16:50:00,27.86,28.11,27.75,27.99,446850,0
2015-02-03,16:55:00,27.99,28.11,27.86,27.95,260877,0
2015-02-03,17:00:00,27.94,28.23,27.82,28.2,436551,0
2015-02-03,17:05:00,28.23,28.28,27.94,28.17,409408,0
2015-02-03,17:10:00,28.19,28.24,27.67,27.72,307565,0
2015-02-03,17:15:00,27.71,27.97,27.6,27.76,137523,0
2015-02-03,17:20:00,27.76,27.86,27.6,27.67,202482,0
2015-02-03,17:25:00,27.67,27.77,27.52,27.55,218163,0
2015-02-03,17:30:00,27.53,27.87,27.46,27.83,284707,0
2015-02-03,17:35:00,27.82,27.9,27.56,27.73,134686,0
2015-02-03,17:40:00,27.73,27.93,27.59,27.69,243080,0
2015-02-03,17:45:00,27.69,27.84,27.4,27.47,274416,0
2015-02-03,17:50:00,27.46,27.9,27.4,27.71,220403,0
2015-02-03,17:55:00,27.73,28.22,27.65,28.21,373281,0
2015-02-03,18:00:00,28.2,28.46,28.07,28.37,436296,0
2015-02-03,18:05:00,28.38,28.58,28.25,28.37,446336,0
2015-02-03,18:10:00,28.39,28.4,28.02,28.2,305209,0
2015-02-03,18:15:00,28.18,28.18,27.74,27.8,236728,0
2015-02-03,18:20:00,27.78,27.98,27.78,27.92,156838,0
2015-02-03,18:25:00,27.91,28.2,27.77,28.18,166724,0
2015-02-03,18:30:00,28.12,28.29,27.92,27.92,258644,0
2015-02-03,18:35:00,27.91,28.21,27.87,27.99,168253,0
2015-02-03,18:40:00,28.03,28.14,27.8,28.04,152456,0
2015-02-03,18:45:00,28.03,28.21,27.87,27.87,176030,0
2015-02-03,18:50:00,27.85,27.96,27.71,27.85,307588,0
2015-02-03,18:55:00,27.84,28.07,27.84,27.95,96246,0
2015-02-03,19:00:00,27.94,27.95,27.62,27.84,205403,0
2015-02-03,19:05:00,27.81,27.89,27.62,27.74,187512,0
2015-02-03,19:10:00,27.76,27.88,27.64,27.73,156494,0
2015-02-03,19:15:00,27.74,27.89,27.53,27.65,185384,0
2015-02-03,19:20:00,27.62,27.75,27.59,27.64,104155,0
2015-02-03,19:25:00,27.67,27.67,27.26,27.29,504790,0
2015-02-03,19:30:00,27.28,27.33,27.18,27.26,199704,0
2015-02-03,19:35:00,27.24,27.33,27.16,27.29,162937,0
2015-02-03,19:40:00,27.29,27.53,27.22,27.49,223079,0
2015-02-03,19:45:00,27.5,27.52,27.22,27.28,172713,0
2015-02-03,19:50:00,27.29,27.43,27.21,27.4,134374,0
2015-02-03,19:55:00,27.37,27.46,27.15,27.16,188217,0
2015-02-03,20:00:00,27.16,27.18,26.81,26.86,548064,0
2015-02-03,20:05:00,26.84,27.04,26.76,27.0,325898,0
2015-02-03,20:10:00,27.0,27.23,26.87,27.17,205008,0
2015-02-03,20:15:00,27.2,27.2,27.04,27.16,149048,0
2015-02-03,20:20:00,27.13,27.17,27.0,27.11,90291,0
2015-02-03,20:25:00,27.1,27.25,27.04,27.24,95451,0
2015-02-03,20:30:00,27.24,27.47,27.23,27.36,217527,0
2015-02-03,20:35:00,27.33,27.51,27.27,27.31,212006,0
2015-02-03,20:40:00,27.33,27.5,27.1,27.1,134952,0
2015-02-03,20:45:00,27.12,27.2,27.01,27.05,121437,0
2015-02-03,20:50:00,27.08,27.18,27.0,27.03,130409,0
2015-02-03,20:55:00,27.03,27.08,26.92,26.94,187372,0
2015-02-03,21:00:00,26.94,26.99,26.81,26.81,212611,0
2015-02-03,21:05:00,26.8,26.93,26.73,26.83,312520,0
2015-02-03,21:10:00,26.81,27.09,26.79,26.83,199771,0
2015-02-03,21:15:00,26.84,27.2,26.81,26.87,133191,0
2015-02-03,21:20:00,26.88,27.1,26.85,27.09,143881,0
2015-02-03,21:25:00,27.08,27.08,26.71,26.71,201076,0
2015-02-03,21:30:00,26.72,27.0,26.7,26.85,178273,0
2015-02-03,21:35:00,26.84,27.0,26.68,27.0,349101,0
2015-02-03,21:40:00,27.0,27.0,26.68,26.72,191936,0
2015-02-03,21:45:00,26.71,26.72,26.49,26.5,439650,0
