Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-16,19:55:00,135.99,135.99,135.99,135.99,100,0
2015-01-16,20:00:00,136.0,136.0,136.0,136.0,200,0
2015-01-16,20:05:00,136.09,136.09,135.95,136.06,8519,0
2015-01-16,20:10:00,136.08,136.08,136.02,136.02,1735,0
2015-01-16,20:20:00,135.82,135.82,135.8,135.8,674,0
2015-01-16,20:30:00,135.87,135.9,135.87,135.9,600,0
2015-01-16,20:35:00,135.61,135.61,135.61,135.61,300,0
2015-01-16,20:40:00,135.17,135.17,135.16,135.16,1110,0
2015-01-16,20:45:00,135.35,135.59,135.35,135.59,1318,0
2015-01-16,20:50:00,135.58,135.58,135.56,135.56,596,0
2015-01-16,20:55:00,135.83,135.83,135.73,135.73,1300,0
2015-01-16,21:00:00,135.91,135.91,135.91,135.91,300,0
2015-01-16,21:05:00,135.72,135.74,135.6,135.74,1500,0
2015-01-16,21:10:00,135.84,135.84,135.84,135.84,100,0
2015-01-16,21:15:00,135.59,135.59,135.59,135.59,1400,0
2015-01-16,21:30:00,136.02,136.02,136.02,136.02,800,0
2015-01-16,21:40:00,136.59,136.59,136.58,136.59,1500,0
2015-01-16,21:45:00,136.73,136.85,136.65,136.85,2100,0
2015-01-16,21:50:00,137.37,137.37,137.32,137.32,800,0
2015-01-16,21:55:00,137.35,137.41,137.34,137.35,4067,0
2015-01-16,22:00:00,137.55,137.69,137.48,137.69,4443,0
2015-01-20,15:35:00,138.54,139.19,138.49,139.19,4700,0
2015-01-20,15:40:00,138.81,138.81,137.77,137.77,3200,0
2015-01-20,15:55:00,137.13,137.13,137.02,137.03,1750,0
2015-01-20,16:10:00,137.59,137.59,137.59,137.59,500,0
2015-01-20,16:15:00,137.55,137.59,137.55,137.59,630,0
2015-01-20,16:20:00,137.27,137.27,137.27,137.27,1100,0
2015-01-20,16:25:00,137.45,137.45,137.45,137.45,300,0
2015-01-20,16:35:00,136.85,136.85,136.85,136.85,200,0
2015-01-20,16:40:00,136.7,136.78,136.7,136.78,1000,0
2015-01-20,16:45:00,136.37,136.37,136.36,136.36,1300,0
2015-01-20,16:50:00,136.54,136.64,136.54,136.64,200,0
2015-01-20,16:55:00,136.7,136.72,136.7,136.72,800,0
2015-01-20,17:00:00,136.48,136.6,136.48,136.6,1200,0
2015-01-20,17:15:00,136.52,136.52,136.52,136.52,500,0
2015-01-20,17:20:00,136.59,136.59,136.4,136.4,2101,0
2015-01-20,17:30:00,136.4,136.4,136.4,136.4,600,0
2015-01-20,17:35:00,136.45,136.45,136.45,136.45,1495,0
2015-01-20,17:40:00,136.3,136.3,136.3,136.3,500,0
2015-01-20,17:45:00,136.0,136.0,136.0,136.0,600,0
2015-01-20,17:50:00,135.46,135.46,135.46,135.46,1050,0
2015-01-20,17:55:00,135.52,135.59,135.52,135.59,1300,0
2015-01-20,18:00:00,135.8,135.8,135.68,135.68,1529,0
2015-01-20,18:05:00,135.71,135.71,135.71,135.71,100,0
2015-01-20,18:10:00,135.51,135.9,135.49,135.9,3740,0
2015-01-20,18:15:00,135.87,135.95,135.8,135.95,863,0
2015-01-20,18:20:00,135.75,135.75,135.72,135.72,1400,0
