Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,16:50:00,38.92,38.94,38.92,38.93,29938,0
2015-02-03,16:55:00,38.93,38.96,38.92,38.96,188984,0
2015-02-03,17:00:00,38.95,38.97,38.93,38.94,18311,0
2015-02-03,17:05:00,38.93,38.96,38.92,38.93,109029,0
2015-02-03,17:10:00,38.92,38.98,38.92,38.97,69771,0
2015-02-03,17:15:00,38.96,39.0,38.94,38.99,92406,0
2015-02-03,17:20:00,38.98,39.01,38.97,39.01,225461,0
2015-02-03,17:25:00,39.01,39.02,38.99,39.02,82174,0
2015-02-03,17:30:00,39.03,39.04,39.02,39.03,52514,0
2015-02-03,17:35:00,39.04,39.05,39.02,39.02,44406,0
2015-02-03,17:40:00,39.02,39.03,39.0,39.02,25341,0
2015-02-03,17:45:00,39.02,39.03,39.01,39.02,40311,0
2015-02-03,17:50:00,39.02,39.03,38.99,39.0,49857,0
2015-02-03,17:55:00,39.01,39.01,38.98,38.99,147202,0
2015-02-03,18:00:00,38.99,38.99,38.97,38.98,133487,0
2015-02-03,18:05:00,38.98,38.98,38.93,38.94,43039,0
2015-02-03,18:10:00,38.95,38.97,38.95,38.97,22265,0
2015-02-03,18:15:00,38.97,39.01,38.96,39.0,29070,0
2015-02-03,18:20:00,39.0,39.01,38.99,39.0,23100,0
2015-02-03,18:25:00,39.0,39.01,38.99,38.99,11868,0
2015-02-03,18:30:00,39.0,39.02,38.99,39.02,19524,0
2015-02-03,18:35:00,39.01,39.02,38.99,39.01,41073,0
2015-02-03,18:40:00,39.02,39.03,39.01,39.03,18127,0
2015-02-03,18:45:00,39.03,39.07,39.02,39.07,63196,0
2015-02-03,18:50:00,39.07,39.1,39.07,39.08,24238,0
2015-02-03,18:55:00,39.09,39.09,39.05,39.07,71112,0
2015-02-03,19:00:00,39.07,39.09,39.06,39.06,12499,0
2015-02-03,19:05:00,39.06,39.09,39.06,39.09,83012,0
2015-02-03,19:10:00,39.09,39.14,39.08,39.13,52427,0
2015-02-03,19:15:00,39.13,39.18,39.11,39.18,73074,0
2015-02-03,19:20:00,39.17,39.18,39.14,39.16,114223,0
2015-02-03,19:25:00,39.17,39.21,39.16,39.21,74455,0
2015-02-03,19:30:00,39.21,39.24,39.19,39.24,49115,0
2015-02-03,19:35:00,39.23,39.27,39.23,39.24,36738,0
2015-02-03,19:40:00,39.23,39.24,39.2,39.2,55019,0
2015-02-03,19:45:00,39.21,39.21,39.18,39.2,47252,0
2015-02-03,19:50:00,39.19,39.21,39.18,39.19,79829,0
2015-02-03,19:55:00,39.18,39.19,39.15,39.19,56447,0
2015-02-03,20:00:00,39.19,39.2,39.17,39.17,29416,0
2015-02-03,20:05:00,39.17,39.18,39.16,39.17,99074,0
2015-02-03,20:10:00,39.16,39.19,39.14,39.15,44980,0
2015-02-03,20:15:00,39.15,39.16,39.14,39.15,84938,0
2015-02-03,20:20:00,39.14,39.17,39.14,39.15,27710,0
2015-02-03,20:25:00,39.15,39.17,39.14,39.15,59600,0
