Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-11-25,16:20:00,1.03,1.03,1.03,1.03,1000,0
2014-11-25,16:25:00,1.03,1.03,1.03,1.03,700,0
2014-11-25,17:25:00,1.04,1.04,1.04,1.04,900,0
2014-11-25,18:20:00,1.03,1.03,1.03,1.03,2000,0
2014-11-25,18:25:00,1.03,1.05,1.03,1.05,7600,0
2014-11-25,18:30:00,1.03,1.03,1.03,1.03,2000,0
2014-11-25,18:55:00,1.04,1.04,1.04,1.04,600,0
2014-11-25,19:05:00,1.03,1.03,1.03,1.03,150,0
2014-11-25,19:20:00,1.03,1.03,1.03,1.03,2000,0
2014-11-25,19:25:00,1.03,1.04,1.03,1.04,4400,0
2014-11-25,20:45:00,1.04,1.04,1.04,1.04,1500,0
2014-11-25,21:05:00,1.03,1.04,1.03,1.04,300,0
2014-11-25,21:20:00,1.04,1.04,1.03,1.03,7220,0
2014-11-25,21:25:00,1.03,1.03,1.03,1.03,3000,0
2014-11-25,21:35:00,1.03,1.03,1.03,1.03,1000,0
2014-11-25,21:40:00,1.03,1.03,1.03,1.03,1236,0
2014-11-25,21:50:00,1.04,1.04,1.04,1.04,200,0
2014-11-25,22:00:00,1.04,1.04,1.04,1.04,1864,0
2014-11-26,15:40:00,1.03,1.03,1.03,1.03,600,0
2014-11-26,15:45:00,1.04,1.04,1.01,1.02,1500,0
2014-11-26,16:10:00,1.02,1.02,1.02,1.02,500,0
2014-11-26,17:45:00,1.02,1.02,1.01,1.01,3500,0
2014-11-26,17:55:00,1.03,1.03,1.03,1.03,100,0
2014-11-26,18:10:00,1.03,1.03,1.03,1.03,2500,0
2014-11-26,18:15:00,1.03,1.03,1.03,1.03,7500,0
2014-11-26,18:20:00,1.03,1.03,1.03,1.03,400,0
2014-11-26,18:25:00,1.03,1.03,1.03,1.03,200,0
2014-11-26,18:30:00,1.04,1.04,1.04,1.04,370,0
2014-11-26,18:40:00,1.03,1.03,1.03,1.03,100,0
2014-11-26,19:00:00,1.03,1.03,1.03,1.03,100,0
2014-11-26,19:05:00,1.04,1.04,1.04,1.04,2000,0
2014-11-26,19:10:00,1.03,1.03,1.03,1.03,100,0
2014-11-26,19:30:00,1.03,1.03,1.03,1.03,400,0
2014-11-26,19:40:00,1.03,1.03,1.03,1.03,400,0
2014-11-26,20:05:00,1.04,1.04,1.04,1.04,316,0
2014-11-26,20:15:00,1.03,1.03,1.03,1.03,1600,0
2014-11-26,21:25:00,1.03,1.03,1.03,1.03,100,0
2014-11-26,21:40:00,1.03,1.03,1.03,1.03,200,0
2014-11-26,21:50:00,1.04,1.04,1.03,1.03,790,0
2014-11-26,21:55:00,1.03,1.03,1.02,1.02,3500,0
2014-11-26,22:00:00,1.01,1.01,1.01,1.01,450,0
2014-11-28,16:00:00,1.0,1.0,0.98,0.99,5700,0
2014-11-28,16:05:00,1.0,1.0,0.98,0.98,780,0
2014-11-28,16:10:00,0.98,0.98,0.98,0.98,400,0
2014-11-28,17:00:00,0.98,0.98,0.98,0.98,2100,0
2014-11-28,17:05:00,0.98,0.98,0.98,0.98,450,0
2014-11-28,17:25:00,0.98,0.98,0.98,0.98,2000,0
2014-11-28,17:30:00,0.98,0.98,0.98,0.98,5000,0
2014-11-28,17:35:00,0.98,0.98,0.98,0.98,500,0
2014-11-28,17:45:00,0.98,0.98,0.98,0.98,200,0
2014-11-28,18:00:00,0.98,0.98,0.96,0.97,17400,0
2014-11-28,18:05:00,0.97,0.97,0.97,0.97,300,0
2014-11-28,18:40:00,0.96,0.96,0.96,0.96,4500,0
2014-11-28,18:55:00,0.96,0.96,0.96,0.96,3311,0
2014-11-28,19:00:00,0.96,0.96,0.96,0.96,400,0
2014-12-01,15:45:00,0.99,1.02,0.99,1.01,3300,0
2014-12-01,15:50:00,1.01,1.01,0.97,0.97,5900,0
2014-12-01,15:55:00,1.02,1.02,0.97,0.97,1100,0
2014-12-01,16:10:00,0.96,1.02,0.96,1.02,400,0
2014-12-01,16:30:00,0.97,0.97,0.97,0.97,100,0
2014-12-01,16:35:00,1.02,1.02,1.02,1.02,100,0
2014-12-01,17:20:00,0.97,0.97,0.97,0.97,516,0
2014-12-01,19:10:00,0.99,0.99,0.99,0.99,650,0
2014-12-01,19:40:00,1.02,1.04,1.02,1.04,200,0
2014-12-01,20:10:00,0.99,1.02,0.97,1.02,5700,0
2014-12-01,20:15:00,0.98,1.02,0.97,0.98,2640,0
2014-12-01,20:25:00,1.02,1.02,1.02,1.02,200,0
2014-12-01,21:40:00,0.99,1.0,0.99,0.99,1290,0
2014-12-01,21:45:00,1.0,1.01,1.0,1.01,200,0
2014-12-01,21:50:00,0.99,1.0,0.99,0.99,2400,0
2014-12-01,21:55:00,0.99,1.01,0.99,1.01,200,0
2014-12-01,22:00:00,1.0,1.0,1.0,1.0,2800,0
2014-12-02,15:35:00,1.0,1.02,1.0,1.02,1400,0
2014-12-02,15:40:00,1.0,1.0,1.0,1.0,290,0
2014-12-02,15:45:00,1.02,1.02,1.02,1.02,200,0
2014-12-02,16:10:00,0.97,0.97,0.97,0.97,200,0
2014-12-02,16:15:00,1.01,1.01,1.01,1.01,100,0
2014-12-02,16:30:00,0.97,0.97,0.97,0.97,200,0
2014-12-02,16:35:00,1.01,1.01,1.01,1.01,100,0
2014-12-02,16:55:00,1.0,1.01,1.0,1.01,7600,0
2014-12-02,17:10:00,1.01,1.01,1.01,1.01,1024,0
2014-12-02,17:15:00,1.01,1.01,1.01,1.01,824,0
2014-12-02,17:20:00,0.99,0.99,0.99,0.99,400,0
2014-12-02,17:25:00,0.98,1.01,0.98,1.01,300,0
2014-12-02,17:40:00,0.99,0.99,0.99,0.99,100,0
2014-12-02,17:55:00,0.98,0.98,0.98,0.98,500,0
2014-12-02,18:00:00,1.0,1.0,1.0,1.0,100,0
2014-12-02,18:40:00,1.01,1.01,1.01,1.01,1999,0
2014-12-02,18:50:00,0.98,1.01,0.98,1.01,200,0
2014-12-02,19:25:00,1.0,1.0,1.0,1.0,100,0
2014-12-02,19:35:00,1.01,1.01,1.01,1.01,100,0
2014-12-02,20:05:00,1.0,1.01,1.0,1.01,700,0
2014-12-02,20:10:00,0.96,1.0,0.96,1.0,515,0
2014-12-02,20:15:00,1.0,1.01,1.0,1.01,200,0
2014-12-02,20:55:00,1.0,1.0,1.0,1.0,100,0
2014-12-02,21:15:00,0.97,0.97,0.96,0.96,9201,0
2014-12-02,21:20:00,0.97,0.97,0.97,0.97,200,0
2014-12-02,21:30:00,0.96,0.96,0.96,0.96,900,0
2014-12-02,21:40:00,0.97,0.97,0.97,0.97,100,0
2014-12-02,21:45:00,0.96,0.96,0.96,0.96,2500,0
2014-12-02,21:50:00,0.96,0.97,0.96,0.97,200,0
2014-12-02,21:55:00,0.96,0.97,0.95,0.97,8220,0
2014-12-02,22:00:00,0.95,1.0,0.95,1.0,6300,0
2014-12-03,15:45:00,0.97,0.97,0.97,0.97,1628,0
2014-12-03,16:05:00,0.97,0.97,0.95,0.95,2000,0
2014-12-03,16:15:00,0.96,0.96,0.96,0.96,200,0
2014-12-03,16:45:00,0.96,0.96,0.96,0.96,1500,0
2014-12-03,17:10:00,0.97,0.97,0.97,0.97,1000,0
2014-12-03,17:25:00,0.97,0.97,0.97,0.97,510,0
2014-12-03,18:00:00,0.96,0.96,0.96,0.96,4000,0
2014-12-03,18:10:00,0.97,0.97,0.97,0.97,100,0
2014-12-03,19:50:00,0.96,0.96,0.96,0.96,151,0
2014-12-03,20:50:00,0.97,0.97,0.97,0.97,100,0
2014-12-03,21:05:00,0.99,0.99,0.97,0.97,2700,0
2014-12-03,21:10:00,0.97,0.97,0.97,0.97,200,0
2014-12-03,21:15:00,0.97,0.97,0.97,0.97,300,0
2014-12-03,21:25:00,0.97,0.97,0.97,0.97,600,0
2014-12-03,21:30:00,0.97,0.97,0.97,0.97,600,0
2014-12-03,21:50:00,0.97,0.97,0.97,0.97,2400,0
2014-12-04,15:45:00,0.96,0.97,0.96,0.97,800,0
2014-12-04,16:05:00,0.97,0.97,0.97,0.97,500,0
2014-12-04,16:20:00,0.97,0.97,0.97,0.97,2100,0
2014-12-04,16:30:00,0.96,0.96,0.96,0.96,300,0
2014-12-04,16:45:00,0.96,0.96,0.96,0.96,300,0
2014-12-04,17:40:00,0.96,0.96,0.96,0.96,1000,0
2014-12-04,18:30:00,0.99,0.99,0.99,0.99,100,0
2014-12-04,19:10:00,0.96,0.96,0.96,0.96,100,0
2014-12-04,20:10:00,0.99,0.99,0.99,0.99,335,0
2014-12-04,20:25:00,0.99,0.99,0.99,0.99,100,0
2014-12-04,21:00:00,0.97,0.99,0.95,0.99,10200,0
2014-12-04,21:05:00,0.96,0.96,0.96,0.96,1000,0
2014-12-04,21:15:00,0.94,0.94,0.94,0.94,3500,0
2014-12-04,21:35:00,0.98,0.98,0.98,0.98,100,0
2014-12-04,21:50:00,0.95,0.99,0.95,0.99,300,0
2014-12-04,22:00:00,0.96,0.99,0.95,0.95,1100,0
2014-12-05,15:50:00,0.94,0.94,0.94,0.94,4000,0
2014-12-05,15:55:00,0.94,0.94,0.94,0.94,2500,0
2014-12-05,16:05:00,0.95,0.95,0.95,0.95,2900,0
2014-12-05,16:45:00,0.95,0.95,0.95,0.95,500,0
2014-12-05,17:10:00,0.94,0.94,0.94,0.94,1000,0
2014-12-05,17:15:00,0.94,0.94,0.94,0.94,334,0
2014-12-05,18:20:00,0.95,0.95,0.95,0.95,2000,0
2014-12-05,19:20:00,0.94,0.94,0.94,0.94,3997,0
2014-12-05,19:40:00,0.94,0.94,0.94,0.94,3000,0
2014-12-05,19:55:00,0.95,0.95,0.94,0.94,1000,0
2014-12-05,20:05:00,0.94,0.94,0.94,0.94,400,0
2014-12-05,21:00:00,0.94,0.94,0.94,0.94,1000,0
2014-12-05,21:05:00,0.94,0.94,0.94,0.94,300,0
2014-12-05,21:30:00,0.94,0.94,0.94,0.94,200,0
2014-12-05,21:35:00,0.94,0.94,0.94,0.94,1300,0
2014-12-05,21:45:00,0.94,0.94,0.94,0.94,10200,0
2014-12-05,21:50:00,0.94,0.94,0.94,0.94,1341,0
2014-12-05,21:55:00,0.94,0.94,0.94,0.94,3600,0
2014-12-05,22:00:00,0.94,0.94,0.94,0.94,351,0
2014-12-08,15:35:00,0.95,1.0,0.95,1.0,400,0
2014-12-08,16:50:00,0.95,0.98,0.95,0.98,4300,0
2014-12-08,16:55:00,0.94,0.98,0.94,0.98,200,0
2014-12-08,17:25:00,0.94,0.94,0.94,0.94,800,0
2014-12-08,18:30:00,0.94,0.94,0.94,0.94,1000,0
2014-12-08,18:35:00,0.94,0.97,0.94,0.97,2500,0
2014-12-08,19:55:00,0.96,0.96,0.96,0.96,125,0
2014-12-08,20:05:00,0.95,0.95,0.95,0.95,300,0
2014-12-08,20:10:00,0.95,0.95,0.95,0.95,374,0
2014-12-08,20:20:00,0.95,0.95,0.95,0.95,100,0
2014-12-08,20:25:00,0.97,0.97,0.97,0.97,100,0
2014-12-08,21:05:00,0.95,0.97,0.95,0.97,200,0
2014-12-08,21:15:00,0.97,0.97,0.97,0.97,300,0
2014-12-08,21:25:00,0.95,0.95,0.95,0.95,100,0
2014-12-08,21:35:00,0.95,0.98,0.95,0.98,700,0
2014-12-08,21:40:00,0.95,0.95,0.95,0.95,700,0
2014-12-08,21:45:00,0.94,0.95,0.94,0.95,3301,0
2014-12-08,21:50:00,0.94,0.94,0.94,0.94,10600,0
2014-12-08,21:55:00,0.95,0.98,0.95,0.98,5300,0
2014-12-09,15:40:00,0.97,0.97,0.97,0.97,1050,0
2014-12-09,15:50:00,0.94,0.94,0.94,0.94,1900,0
2014-12-09,16:00:00,0.96,0.96,0.96,0.96,100,0
2014-12-09,16:40:00,0.94,0.96,0.94,0.96,5700,0
2014-12-09,17:00:00,0.95,0.95,0.95,0.95,283,0
2014-12-09,17:05:00,0.96,1.0,0.96,0.98,2605,0
2014-12-09,17:10:00,0.95,0.95,0.95,0.95,1500,0
2014-12-09,17:15:00,0.96,0.96,0.96,0.96,212,0
2014-12-09,17:45:00,0.97,0.97,0.97,0.97,2500,0
2014-12-09,18:10:00,0.96,0.96,0.95,0.95,5517,0
2014-12-09,18:15:00,0.95,0.99,0.95,0.99,3983,0
2014-12-09,18:55:00,0.96,0.96,0.96,0.96,2600,0
2014-12-09,19:00:00,0.96,0.96,0.96,0.96,100,0
2014-12-09,19:15:00,0.96,0.99,0.96,0.99,2900,0
2014-12-09,19:20:00,0.96,0.96,0.96,0.96,600,0
2014-12-09,19:30:00,0.96,0.96,0.96,0.96,5100,0
2014-12-09,19:40:00,0.95,0.96,0.95,0.96,700,0
2014-12-09,19:45:00,0.94,0.94,0.94,0.94,100,0
2014-12-09,19:50:00,0.96,0.96,0.96,0.96,100,0
2014-12-09,19:55:00,0.94,0.96,0.94,0.96,200,0
2014-12-09,20:00:00,0.94,0.96,0.94,0.96,200,0
2014-12-09,20:05:00,0.96,1.0,0.96,1.0,7500,0
2014-12-09,20:10:00,0.96,1.0,0.96,1.0,200,0
2014-12-09,20:15:00,0.97,1.0,0.97,1.0,500,0
2014-12-09,20:25:00,0.97,1.0,0.97,1.0,1300,0
2014-12-09,20:35:00,0.96,0.96,0.96,0.96,1400,0
2014-12-09,20:45:00,0.96,0.96,0.95,0.95,400,0
2014-12-09,20:50:00,0.96,0.96,0.96,0.96,200,0
2014-12-09,21:00:00,0.96,1.0,0.96,0.98,4300,0
2014-12-09,21:10:00,0.99,0.99,0.99,0.99,100,0
2014-12-09,21:15:00,0.99,0.99,0.99,0.99,1000,0
2014-12-09,21:40:00,0.96,0.99,0.96,0.99,300,0
2014-12-09,21:50:00,0.96,0.96,0.96,0.96,200,0
2014-12-09,21:55:00,0.98,0.99,0.98,0.99,2900,0
2014-12-10,15:50:00,0.97,0.97,0.97,0.97,2800,0
2014-12-10,16:10:00,0.95,0.95,0.95,0.95,4900,0
2014-12-10,16:15:00,0.94,0.97,0.94,0.97,3200,0
2014-12-10,16:35:00,0.95,0.97,0.93,0.95,3440,0
2014-12-10,16:40:00,0.96,0.96,0.96,0.96,100,0
2014-12-10,17:15:00,0.97,0.97,0.95,0.95,1180,0
2014-12-10,17:30:00,0.95,0.95,0.95,0.95,412,0
2014-12-10,17:40:00,0.95,0.95,0.95,0.95,312,0
2014-12-10,18:20:00,0.95,0.95,0.94,0.94,400,0
2014-12-10,18:25:00,0.95,0.95,0.95,0.95,300,0
2014-12-10,18:35:00,0.94,0.94,0.92,0.92,5800,0
2014-12-10,18:40:00,0.93,0.94,0.93,0.94,4076,0
2014-12-10,18:55:00,0.95,0.95,0.95,0.95,500,0
2014-12-10,19:15:00,0.94,0.94,0.94,0.94,500,0
2014-12-10,19:20:00,0.94,0.94,0.94,0.94,200,0
2014-12-10,19:30:00,0.94,0.94,0.94,0.94,100,0
2014-12-10,19:55:00,0.93,0.94,0.93,0.94,1200,0
2014-12-10,20:20:00,0.93,0.93,0.93,0.93,2000,0
2014-12-10,20:45:00,0.93,0.93,0.92,0.93,3216,0
2014-12-10,20:50:00,0.94,0.94,0.93,0.93,1600,0
2014-12-10,20:55:00,0.93,0.93,0.93,0.93,200,0
2014-12-10,21:05:00,0.94,0.95,0.94,0.95,400,0
2014-12-10,21:40:00,0.94,0.94,0.94,0.94,1000,0
2014-12-10,21:50:00,0.95,0.95,0.95,0.95,1100,0
2014-12-10,21:55:00,0.93,0.95,0.92,0.94,7000,0
2014-12-10,22:00:00,0.93,0.95,0.9,0.9,10800,0
2014-12-11,15:40:00,0.94,0.94,0.93,0.93,3800,0
2014-12-11,15:55:00,0.95,0.95,0.95,0.95,100,0
2014-12-11,16:05:00,0.92,0.92,0.92,0.92,7900,0
2014-12-11,16:10:00,0.92,0.92,0.92,0.92,800,0
2014-12-11,17:05:00,0.94,0.94,0.94,0.94,2000,0
